keep,scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17
n,Pterodroma madeira,Zino's Petrel,Pterodroma madeira,Zino's Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma neglecta,Kermadec Petrel,Pterodroma neglecta,Kermadec Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma sandwichensis,Hawaiian Petrel,Pterodroma sandwichensis,Hawaiian Petrel,PROCELLARIIFORMES,Procellariidae
n,Pterodroma solandri,Providence Petrel,Pterodroma solandri,Providence Petrel,PROCELLARIIFORMES,Procellariidae
n,Ptiliogonys cinereus,Gray Silky-flycatcher,Ptiliogonys cinereus,Gray Silky-flycatcher,PASSERIFORMES,Ptiliogonatidae
n,Puffinus baroli,Barolo Shearwater,Puffinus baroli,Barolo Shearwater,PROCELLARIIFORMES,Procellariidae
n,Puffinus lherminieri,Sargasso Shearwater,Puffinus lherminieri,Sargasso Shearwater,PROCELLARIIFORMES,Procellariidae
n,Puffinus newelli,Newell's Shearwater,Puffinus newelli,Newell's Shearwater,PROCELLARIIFORMES,Procellariidae
n,Pycnonotus cafer,Red-vented Bulbul,Pycnonotus cafer,Red-vented Bulbul,PASSERIFORMES,Pycnonotidae
n,Pycnonotus jocosus,Red-whiskered Bulbul,Pycnonotus jocosus,Red-whiskered Bulbul,PASSERIFORMES,Pycnonotidae
n,Pygochelidon cyanoleuca,Blue-and-white Swallow,Pygochelidon cyanoleuca,Blue-and-white Swallow,PASSERIFORMES,Hirundinidae
n,Pyrrhula pyrrhula,Eurasian Bullfinch,Pyrrhula pyrrhula,Eurasian Bullfinch,PASSERIFORMES,Fringillidae
n,Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,Thick-billed Parrot,PSITTACIFORMES,Psittacidae
n,Ridgwayia pinicola,Aztec Thrush,Ridgwayia pinicola,Aztec Thrush,PASSERIFORMES,Turdidae
n,Rupornis magnirostris,Roadside Hawk,Rupornis magnirostris,Roadside Hawk,ACCIPITRIFORMES,Accipitridae
n,Saxicola stejnegeri,Amur Stonechat,Saxicola stejnegeri,Amur Stonechat,PASSERIFORMES,Muscicapidae
n,Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,CHARADRIIFORMES,Scolopacidae
n,Selasphorus heloisa,Bumblebee Hummingbird,Selasphorus heloisa,Bumblebee Hummingbird,APODIFORMES,Trochilidae
n,Spinus notatus,Black-headed Siskin,Spinus notatus,Black-headed Siskin,PASSERIFORMES,Fringillidae
n,Spinus spinus,Eurasian Siskin,Spinus spinus,Eurasian Siskin,PASSERIFORMES,Fringillidae
n,Spizella wortheni,Worthen's Sparrow,Spizella wortheni,Worthen's Sparrow,PASSERIFORMES,Passerellidae
n,Spodiopsar cineraceus,White-cheeked Starling,Spodiopsar cineraceus,White-cheeked Starling,PASSERIFORMES,Sturnidae
n,Sporophila bouvronides,Lesson's Seedeater,Sporophila bouvronides,Lesson's Seedeater,PASSERIFORMES,Thraupidae
n,Sporophila torqueola,Cinnamon-rumped Seedeater,Sporophila torqueola,Cinnamon-rumped Seedeater,PASSERIFORMES,Thraupidae
n,Stercorarius maccormicki,South Polar Skua,Stercorarius maccormicki,South Polar Skua,CHARADRIIFORMES,Stercorariidae
n,Streptopelia turtur,European Turtle-Dove,Streptopelia turtur,European Turtle-Dove,COLUMBIFORMES,Columbidae
n,Streptoprocne zonaris,White-collared Swift,Streptoprocne zonaris,White-collared Swift,APODIFORMES,Apodidae
n,Strix virgata,Mottled Owl,Strix virgata,Mottled Owl,STRIGIFORMES,Strigidae
n,Sula brewsteri,Cocos Booby,Sula brewsteri,Cocos Booby,SULIFORMES,Sulidae
n,Sula sula,Red-footed Booby,Sula sula,Red-footed Booby,SULIFORMES,Sulidae
n,Tachornis phoenicobia,Antillean Palm Swift,Tachornis phoenicobia,Antillean Palm Swift,APODIFORMES,Apodidae
n,Tachycineta albilinea,Mangrove Swallow,Tachycineta albilinea,Mangrove Swallow,PASSERIFORMES,Hirundinidae
n,Tachycineta cyaneoviridis,Bahama Swallow,Tachycineta cyaneoviridis,Bahama Swallow,PASSERIFORMES,Hirundinidae
n,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,ANSERIFORMES,Anatidae
n,Tadorna tadorna,Common Shelduck,Tadorna tadorna,Common Shelduck,ANSERIFORMES,Anatidae
n,Tarsiger cyanurus,Red-flanked Bluetail,Tarsiger cyanurus,Red-flanked Bluetail,PASSERIFORMES,Muscicapidae
n,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,GALLIFORMES,Phasianidae
n,Thalassarche cauta,White-capped Albatross,Thalassarche cauta,White-capped Albatross,PROCELLARIIFORMES,Diomedeidae
n,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,PROCELLARIIFORMES,Diomedeidae
n,Thalassarche eremita,Chatham Albatross,Thalassarche eremita,Chatham Albatross,PROCELLARIIFORMES,Diomedeidae
n,Thalassarche melanophris,Black-browed Albatross,Thalassarche melanophris,Black-browed Albatross,PROCELLARIIFORMES,Diomedeidae
n,Thalassarche salvini,Salvin's Albatross,Thalassarche salvini,Salvin's Albatross,PROCELLARIIFORMES,Diomedeidae
n,Thamnophilus doliatus,Barred Antshrike,Thamnophilus doliatus,Barred Antshrike,PASSERIFORMES,Thamnophilidae
n,Thinornis dubius,Little Ringed Plover,Thinornis dubius,Little Ringed Plover,CHARADRIIFORMES,Charadriidae
n,Threskiornis aethiopicus,African Sacred Ibis,Threskiornis aethiopicus,African Sacred Ibis,PELECANIFORMES,Threskiornithidae
n,Tiaris olivaceus,Yellow-faced Grassquit,Tiaris olivaceus,Yellow-faced Grassquit,PASSERIFORMES,Thraupidae
n,Tigrisoma mexicanum,Bare-throated Tiger-Heron,Tigrisoma mexicanum,Bare-throated Tiger-Heron,PELECANIFORMES,Ardeidae
n,Tityra semifasciata,Masked Tityra,Tityra semifasciata,Masked Tityra,PASSERIFORMES,Tityridae
n,Toxostoma cinereum,Gray Thrasher,Toxostoma cinereum,Gray Thrasher,PASSERIFORMES,Mimidae
n,Tringa brevipes,Gray-tailed Tattler,Tringa brevipes,Gray-tailed Tattler,CHARADRIIFORMES,Scolopacidae
n,Tringa glareola,Wood Sandpiper,Tringa glareola,Wood Sandpiper,CHARADRIIFORMES,Scolopacidae
n,Tringa ochropus,Green Sandpiper,Tringa ochropus,Green Sandpiper,CHARADRIIFORMES,Scolopacidae
n,Tringa totanus,Common Redshank,Tringa totanus,Common Redshank,CHARADRIIFORMES,Scolopacidae
n,Turdus assimilis,White-throated Thrush,Turdus assimilis,White-throated Thrush,PASSERIFORMES,Turdidae
n,Turdus merula,Eurasian Blackbird,Turdus merula,Eurasian Blackbird,PASSERIFORMES,Turdidae
n,Turdus naumanni,Naumann's Thrush,Turdus naumanni,Naumann's Thrush,PASSERIFORMES,Turdidae
n,Turdus obscurus,Eyebrowed Thrush,Turdus obscurus,Eyebrowed Thrush,PASSERIFORMES,Turdidae
n,Turdus plumbeus,Red-legged Thrush,Turdus plumbeus,Red-legged Thrush,PASSERIFORMES,Turdidae
n,Turdus rufopalliatus,Rufous-backed Robin,Turdus rufopalliatus,Rufous-backed Robin,PASSERIFORMES,Turdidae
n,Turdus viscivorus,Mistle Thrush,Turdus viscivorus,Mistle Thrush,PASSERIFORMES,Turdidae
n,Tyrannus caudifasciatus,Loggerhead Kingbird,Tyrannus caudifasciatus,Loggerhead Kingbird,PASSERIFORMES,Tyrannidae
n,Upupa epops,Eurasian Hoopoe,Upupa epops,Eurasian Hoopoe,BUCEROTIFORMES,Upupidae
n,Vanellus chilensis,Southern Lapwing,Vanellus chilensis,Southern Lapwing,CHARADRIIFORMES,Charadriidae
n,Vireo crassirostris,Thick-billed Vireo,Vireo crassirostris,Thick-billed Vireo,PASSERIFORMES,Vireonidae
n,Vireo gundlachii,Cuban Vireo,Vireo gundlachii,Cuban Vireo,PASSERIFORMES,Vireonidae
n,Vireo magister,Yucatan Vireo,Vireo magister,Yucatan Vireo,PASSERIFORMES,Vireonidae
n,Volatinia jacarina,Blue-black Grassquit,Volatinia jacarina,Blue-black Grassquit,PASSERIFORMES,Thraupidae
n,Zonotrichia capensis,Rufous-collared Sparrow,Zonotrichia capensis,Rufous-collared Sparrow,PASSERIFORMES,Passerellidae
n,Zosterops japonicus,Warbling White-eye,Zosterops japonicus,Warbling White-eye,PASSERIFORMES,Zosteropidae
