keep,scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17
n,Emberiza leucocephalos,Pine Bunting,Emberiza leucocephalos,Pine Bunting,PASSERIFORMES,Emberizidae
n,Emberiza pallasi,Pallas's Bunting,Emberiza pallasi,Pallas's Bunting,PASSERIFORMES,Emberizidae
n,Emberiza pusilla,Little Bunting,Emberiza pusilla,Little Bunting,PASSERIFORMES,Emberizidae
n,Emberiza schoeniclus,Reed Bunting,Emberiza schoeniclus,Reed Bunting,PASSERIFORMES,Emberizidae
n,Emberiza variabilis,Gray Bunting,Emberiza variabilis,Gray Bunting,PASSERIFORMES,Emberizidae
n,Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher,PASSERIFORMES,Tyrannidae
n,Empidonomus varius,Variegated Flycatcher,Empidonomus varius,Variegated Flycatcher,PASSERIFORMES,Tyrannidae
n,Erithacus rubecula,European Robin,Erithacus rubecula,European Robin,PASSERIFORMES,Muscicapidae
n,Eudocimus ruber,Scarlet Ibis,Eudocimus ruber,Scarlet Ibis,PELECANIFORMES,Threskiornithidae
n,Euptilotis neoxenus,Eared Quetzal,Euptilotis neoxenus,Eared Quetzal,TROGONIFORMES,Trogonidae
n,Falco rufigularis,Bat Falcon,Falco rufigularis,Bat Falcon,FALCONIFORMES,Falconidae
n,Falco subbuteo,Eurasian Hobby,Falco subbuteo,Eurasian Hobby,FALCONIFORMES,Falconidae
n,Falco vespertinus,Red-footed Falcon,Falco vespertinus,Red-footed Falcon,FALCONIFORMES,Falconidae
n,Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla,Taiga Flycatcher,PASSERIFORMES,Muscicapidae
n,Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,PASSERIFORMES,Muscicapidae
n,Ficedula narcissina,Narcissus Flycatcher,Ficedula narcissina,Narcissus Flycatcher,PASSERIFORMES,Muscicapidae
n,Fregata ariel,Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,SULIFORMES,Fregatidae
n,Fregata minor,Great Frigatebird,Fregata minor,Great Frigatebird,SULIFORMES,Fregatidae
n,Fregetta tropica,Black-bellied Storm-Petrel,Fregetta tropica,Black-bellied Storm-Petrel,PROCELLARIIFORMES,Oceanitidae
n,Fringilla coelebs,Common Chaffinch,Fringilla coelebs,Common Chaffinch,PASSERIFORMES,Fringillidae
n,Fringilla montifringilla,Brambling,Fringilla montifringilla,Brambling,PASSERIFORMES,Fringillidae
n,Fulica atra,Eurasian Coot,Fulica atra,Eurasian Coot,GRUIFORMES,Rallidae
n,Gallinago gallinago,Common Snipe,Gallinago gallinago,Common Snipe,CHARADRIIFORMES,Scolopacidae
n,Gallinago solitaria,Solitary Snipe,Gallinago solitaria,Solitary Snipe,CHARADRIIFORMES,Scolopacidae
n,Gallinago stenura,Pin-tailed Snipe,Gallinago stenura,Pin-tailed Snipe,CHARADRIIFORMES,Scolopacidae
n,Gallinula chloropus,Eurasian Moorhen,Gallinula chloropus,Eurasian Moorhen,GRUIFORMES,Rallidae
n,Geothlypis poliocephala,Gray-crowned Yellowthroat,Geothlypis poliocephala,Gray-crowned Yellowthroat,PASSERIFORMES,Parulidae
n,Geotrygon chrysia,Key West Quail-Dove,Geotrygon chrysia,Key West Quail-Dove,COLUMBIFORMES,Columbidae
n,Geotrygon montana,Ruddy Quail-Dove,Geotrygon montana,Ruddy Quail-Dove,COLUMBIFORMES,Columbidae
n,Geranoaetus polyosoma,Variable Hawk,Geranoaetus polyosoma,Variable Hawk,ACCIPITRIFORMES,Accipitridae
n,Geranospiza caerulescens,Crane Hawk,Geranospiza caerulescens,Crane Hawk,ACCIPITRIFORMES,Accipitridae
n,Glareola maldivarum,Oriental Pratincole,Glareola maldivarum,Oriental Pratincole,CHARADRIIFORMES,Glareolidae
n,Gracula religiosa,Common Hill Myna,Gracula religiosa,Common Hill Myna,PASSERIFORMES,Sturnidae
n,Grus monacha,Hooded Crane,Grus monacha,Hooded Crane,GRUIFORMES,Gruidae
n,Haematopus ostralegus,Eurasian Oystercatcher,Haematopus ostralegus,Eurasian Oystercatcher,CHARADRIIFORMES,Haematopodidae
n,Haliaeetus albicilla,White-tailed Eagle,Haliaeetus albicilla,White-tailed Eagle,ACCIPITRIFORMES,Accipitridae
n,Harpagus bidentatus,Double-toothed Kite,Harpagus bidentatus,Double-toothed Kite,ACCIPITRIFORMES,Accipitridae
n,Heliomaster constantii,Plain-capped Starthroat,Heliomaster constantii,Plain-capped Starthroat,APODIFORMES,Trochilidae
n,Heliornis fulica,Sungrebe,Heliornis fulica,Sungrebe,GRUIFORMES,Heliornithidae
n,Helopsaltes certhiola,Pallas's Grasshopper Warbler,Helopsaltes certhiola,Pallas's Grasshopper Warbler,PASSERIFORMES,Locustellidae
n,Helopsaltes ochotensis,Middendorff's Grasshopper Warbler,Helopsaltes ochotensis,Middendorff's Grasshopper Warbler,PASSERIFORMES,Locustellidae
n,Hesperoburhinus bistriatus,Double-striped Thick-knee,Hesperoburhinus bistriatus,Double-striped Thick-knee,CHARADRIIFORMES,Burhinidae
n,Himantopus himantopus,Black-winged Stilt,Himantopus himantopus,Black-winged Stilt,CHARADRIIFORMES,Recurvirostridae
n,Hippolais icterina,Icterine Warbler,Hippolais icterina,Icterine Warbler,PASSERIFORMES,Acrocephalidae
n,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,APODIFORMES,Apodidae
n,Hydrobates castro,Band-rumped Storm-Petrel,Hydrobates castro,Band-rumped Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates cheimomnestes,Ainley's Storm-Petrel,Hydrobates cheimomnestes,Ainley's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates homochroa,Ashy Storm-Petrel,Hydrobates homochroa,Ashy Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates hornbyi,Ringed Storm-Petrel,Hydrobates hornbyi,Ringed Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates monorhis,Swinhoe's Storm-Petrel,Hydrobates monorhis,Swinhoe's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates pelagicus,European Storm-Petrel,Hydrobates pelagicus,European Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates socorroensis,Townsend's Storm-Petrel,Hydrobates socorroensis,Townsend's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates tethys,Wedge-rumped Storm-Petrel,Hydrobates tethys,Wedge-rumped Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Hydrobates tristrami,Tristram's Storm-Petrel,Hydrobates tristrami,Tristram's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae
n,Ichthyaetus ichthyaetus,Pallas's Gull,Ichthyaetus ichthyaetus,Pallas's Gull,CHARADRIIFORMES,Laridae
n,Icterus abeillei,Black-backed Oriole,Icterus abeillei,Black-backed Oriole,PASSERIFORMES,Icteridae
n,Icterus pustulatus,Streak-backed Oriole,Icterus pustulatus,Streak-backed Oriole,PASSERIFORMES,Icteridae
n,Icterus wagleri,Black-vented Oriole,Icterus wagleri,Black-vented Oriole,PASSERIFORMES,Icteridae
n,Jabiru mycteria,Jabiru,Jabiru mycteria,Jabiru,CICONIIFORMES,Ciconiidae
n,Jynx torquilla,Eurasian Wryneck,Jynx torquilla,Eurasian Wryneck,PICIFORMES,Picidae
n,Lampornis amethystinus,Amethyst-throated Mountain-gem,Lampornis amethystinus,Amethyst-throated Mountain-gem,APODIFORMES,Trochilidae
n,Lanius collurio,Red-backed Shrike,Lanius collurio,Red-backed Shrike,PASSERIFORMES,Laniidae
n,Larus canus,Common Gull,Larus canus,Common Gull,CHARADRIIFORMES,Laridae
n,Larus dominicanus,Kelp Gull,Larus dominicanus,Kelp Gull,CHARADRIIFORMES,Laridae
n,Larus michahellis,Yellow-legged Gull,Larus michahellis,Yellow-legged Gull,CHARADRIIFORMES,Laridae
n,Larus vegae,Vega Gull,Larus vegae,Vega Gull,CHARADRIIFORMES,Laridae
n,Larvivora cyane,Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,PASSERIFORMES,Muscicapidae
n,Larvivora sibilans,Rufous-tailed Robin,Larvivora sibilans,Rufous-tailed Robin,PASSERIFORMES,Muscicapidae
n,Legatus leucophaius,Piratic Flycatcher,Legatus leucophaius,Piratic Flycatcher,PASSERIFORMES,Tyrannidae
n,Leucophaeus modestus,Gray Gull,Leucophaeus modestus,Gray Gull,CHARADRIIFORMES,Laridae
n,Leucosticte arctoa,Asian Rosy-Finch,Leucosticte arctoa,Asian Rosy-Finch,PASSERIFORMES,Fringillidae
n,Locustella fluviatilis,River Warbler,Locustella fluviatilis,River Warbler,PASSERIFORMES,Locustellidae
n,Locustella lanceolata,Lanceolated Warbler,Locustella lanceolata,Lanceolated Warbler,PASSERIFORMES,Locustellidae
n,Lonchura atricapilla,Chestnut Munia,Lonchura atricapilla,Chestnut Munia,PASSERIFORMES,Estrildidae
n,Lonchura malacca,Tricolored Munia,Lonchura malacca,Tricolored Munia,PASSERIFORMES,Estrildidae
n,Lophura nycthemera,Silver Pheasant,Lophura nycthemera,Silver Pheasant,GALLIFORMES,Phasianidae
n,Machetornis rixosa,Cattle Tyrant,Machetornis rixosa,Cattle Tyrant,PASSERIFORMES,Tyrannidae
n,Macronectes halli,Northern Giant-Petrel,Macronectes halli,Northern Giant-Petrel,PROCELLARIIFORMES,Procellariidae
n,Margarops fuscatus,Pearly-eyed Thrasher,Margarops fuscatus,Pearly-eyed Thrasher,PASSERIFORMES,Mimidae
n,Melanitta nigra,Common Scoter,Melanitta nigra,Common Scoter,ANSERIFORMES,Anatidae
