"scientific_name","common_name","order","family","status_AFR","status_ASI","status_AUS","status_CA","status_CAM","status_CAR","status_EUR","status_hol","status_MID","status_NAM","status_NaN","status_nea","status_oaq","status_oat","status_OCE","status_oin","status_opa","status_PAC","status_pal","status_SAM","status_TT","status_US48","status_USak","status_UShi","status_XX","regions"
"Podiceps grisegena","Red-necked Grebe","PODICIPEDIFORMES","Podicipedidae","","",NA,"","","Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Rare/Accidental","","AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; US48; USak; UShi; XX"
"Podiceps nigricollis","Eared Grebe","PODICIPEDIFORMES","Podicipedidae","","",NA,"","","Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","",NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Phaethon lepturus","White-tailed Tropicbird","PHAETHONTIFORMES","Phaethontidae","","","","Rare/Accidental","Rare/Accidental","","Rare/Accidental","","Rare/Accidental","","","",NA,"","",NA,NA,"","","","","",NA,"","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; PAC; pal; SAM; TT; US48; UShi; XX"
"Phaethon aethereus","Red-billed Tropicbird","PHAETHONTIFORMES","Phaethontidae","","","Rare/Accidental","Rare/Accidental","","","Rare/Accidental","","","","","",NA,"","",NA,NA,"","","","","",NA,"Rare/Accidental","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; PAC; pal; SAM; TT; US48; UShi; XX"
"Phaethon rubricauda","Red-tailed Tropicbird","PHAETHONTIFORMES","Phaethontidae","","","","Rare/Accidental","Rare/Accidental",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,NA,"","","",NA,"Rare/Accidental",NA,"","","AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi; XX"
"Gavia stellata","Red-throated Loon","GAVIIFORMES","Gaviidae","","",NA,"","",NA,"","","Rare/Accidental","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Gavia arctica","Arctic Loon","GAVIIFORMES","Gaviidae","","",NA,"Rare/Accidental","Rare/Accidental",NA,"","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Rare/Accidental",NA,NA,"AFR; ASI; CA; CAM; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Gavia immer","Common Loon","GAVIIFORMES","Gaviidae","","",NA,"","","Rare/Accidental","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Diomedea exulans","Snowy Albatross","PROCELLARIIFORMES","Diomedeidae","Vulnerable","Vulnerable","Vulnerable",NA,"Rare/Accidental Vulnerable",NA,"Vulnerable","Vulnerable",NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable",NA,NA,"Vulnerable","Rare/Accidental Vulnerable","Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable","AFR; ASI; AUS; CAM; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; XX"
"Phoebastria immutabilis","Laysan Albatross","PROCELLARIIFORMES","Diomedeidae","Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Near-threatened","Near-threatened",NA,NA,"Near-threatened",NA,"Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened",NA,"Near-threatened","Near-threatened","Near-threatened",NA,NA,"Near-threatened","Near-threatened","Near-threatened","Near-threatened","AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX"
"Phoebetria palpebrata","Light-mantled Albatross","PROCELLARIIFORMES","Diomedeidae","Near-threatened","Rare/Accidental Near-threatened","Near-threatened",NA,NA,NA,NA,"Near-threatened",NA,"Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened",NA,NA,"Near-threatened",NA,"Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened","AFR; ASI; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX"
"Thalassarche chlororhynchos","Atlantic Yellow-nosed Albatross","PROCELLARIIFORMES","Diomedeidae","Endangered",NA,"Endangered","Rare/Accidental Endangered","Rare/Accidental Endangered","Endangered","Rare/Accidental Endangered","Endangered",NA,"Endangered",NA,"Rare/Accidental Endangered",NA,"Endangered","Endangered","Endangered",NA,NA,"Rare/Accidental Endangered","Endangered",NA,"Rare/Accidental Endangered",NA,NA,"Endangered","AFR; AUS; CA; CAM; CAR; EUR; hol; NAM; nea; oat; OCE; oin; pal; SAM; US48; XX"
"Thalassarche cauta","White-capped Albatross","PROCELLARIIFORMES","Diomedeidae","","","",NA,NA,NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental",NA,NA,"",NA,NA,NA,"Rare/Accidental","",NA,"Rare/Accidental",NA,NA,"","AFR; ASI; AUS; hol; MID; NAM; nea; OCE; pal; SAM; US48; XX"
"Thalassarche salvini","Salvin's Albatross","PROCELLARIIFORMES","Diomedeidae","Vulnerable",NA,"Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable",NA,"Vulnerable","Rare/Accidental Vulnerable",NA,"Vulnerable",NA,"Rare/Accidental Vulnerable","Rare/Accidental Vulnerable",NA,"Vulnerable","AFR; AUS; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; USak; XX"
"Thalassarche eremita","Chatham Albatross","PROCELLARIIFORMES","Diomedeidae","Rare/Accidental Vulnerable",NA,"Vulnerable",NA,NA,NA,NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable",NA,NA,"Rare/Accidental Vulnerable",NA,"Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable","AFR; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX"
"Thalassarche melanophris","Black-browed Albatross","PROCELLARIIFORMES","Diomedeidae","","Rare/Accidental","","Rare/Accidental","Rare/Accidental","Rare/Accidental","Rare/Accidental","",NA,"",NA,"Rare/Accidental",NA,NA,"",NA,"","","Rare/Accidental","",NA,"Rare/Accidental",NA,NA,"","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; XX"
"Oceanites oceanicus","Wilson's Storm-Petrel","PROCELLARIIFORMES","Oceanitidae","","","","","","","","","","","","",NA,NA,"",NA,NA,"","","","Rare/Accidental","",NA,"","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; UShi; XX"
"Pelagodroma marina","White-faced Storm-Petrel","PROCELLARIIFORMES","Oceanitidae","","","","Rare/Accidental","",NA,"","","","",NA,"",NA,"","","","","","","",NA,"",NA,NA,"","AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; oat; OCE; oin; opa; PAC; pal; SAM; US48; XX"
"Fregetta tropica","Black-bellied Storm-Petrel","PROCELLARIIFORMES","Oceanitidae","","","",NA,NA,NA,"Rare/Accidental","","","Rare/Accidental",NA,"Rare/Accidental",NA,"","","","","","","",NA,"Rare/Accidental",NA,NA,"","AFR; ASI; AUS; EUR; hol; MID; NAM; nea; oat; OCE; oin; opa; PAC; pal; SAM; US48; XX"
"Hydrobates pelagicus","European Storm-Petrel","PROCELLARIIFORMES","Hydrobatidae","","",NA,"Rare/Accidental",NA,NA,"","","Rare/Accidental","",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,"Rare/Accidental",NA,NA,"","AFR; ASI; CA; EUR; hol; MID; NAM; nea; oat; pal; US48; XX"
"Hydrobates leucorhous","Leach's Storm-Petrel","PROCELLARIIFORMES","Hydrobatidae","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable",NA,"Vulnerable","Vulnerable",NA,"Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; opa; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Hydrobates monorhis","Swinhoe's Storm-Petrel","PROCELLARIIFORMES","Hydrobatidae","Near-threatened","Near-threatened","Rare/Accidental Near-threatened",NA,NA,NA,"Rare/Accidental Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened",NA,NA,"Rare/Accidental Near-threatened","Near-threatened",NA,NA,"Rare/Accidental Near-threatened","Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened",NA,NA,"Near-threatened","AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; oin; pal; SAM; US48; XX"
"Hydrobates castro","Band-rumped Storm-Petrel","PROCELLARIIFORMES","Hydrobatidae","","","Rare/Accidental","Rare/Accidental","Rare/Accidental","","","","Rare/Accidental","",NA,"",NA,"","",NA,NA,"","","",NA,"",NA,"","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; oat; OCE; PAC; pal; SAM; US48; UShi; XX"
"Macronectes halli","Northern Giant-Petrel","PROCELLARIIFORMES","Procellariidae","",NA,"",NA,NA,NA,NA,"Rare/Accidental","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","Rare/Accidental","",NA,"Rare/Accidental",NA,NA,"","AFR; AUS; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; XX"
"Fulmarus glacialis","Northern Fulmar","PROCELLARIIFORMES","Procellariidae","","","Rare/Accidental","","","Rare/Accidental","","",NA,"",NA,"",NA,"","",NA,"","","","Rare/Accidental",NA,"","","","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nea; oat; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX"
"Pterodroma gouldi","Gray-faced Petrel","PROCELLARIIFORMES","Procellariidae","Rare/Accidental",NA,"",NA,NA,NA,NA,"Rare/Accidental",NA,"Rare/Accidental",NA,"Rare/Accidental",NA,NA,"",NA,NA,"",NA,"Rare/Accidental",NA,"Rare/Accidental",NA,NA,"","AFR; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX"
"Pterodroma neglecta","Kermadec Petrel","PROCELLARIIFORMES","Procellariidae","Rare/Accidental","","",NA,"Rare/Accidental",NA,"Rare/Accidental","",NA,"",NA,"",NA,NA,"",NA,"","","","",NA,"Rare/Accidental",NA,"","","AFR; ASI; AUS; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; UShi; XX"
"Pterodroma arminjoniana","Trindade Petrel","PROCELLARIIFORMES","Procellariidae","Vulnerable","Vulnerable","Rare/Accidental Vulnerable","Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable","Vulnerable","Vulnerable","Rare/Accidental Vulnerable","Vulnerable",NA,"Vulnerable",NA,NA,"Vulnerable",NA,NA,NA,"Vulnerable","Vulnerable",NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable","Vulnerable","AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48; UShi; XX"
"Pterodroma ultima","Murphy's Petrel","PROCELLARIIFORMES","Procellariidae","Rare/Accidental","Rare/Accidental","Rare/Accidental","Rare/Accidental","Rare/Accidental",NA,NA,"",NA,"",NA,"",NA,NA,"",NA,"","",NA,"Rare/Accidental",NA,"Rare/Accidental","Rare/Accidental","","","AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; USak; UShi; XX"
"Pterodroma madeira","Zino's Petrel","PROCELLARIIFORMES","Procellariidae","Endangered",NA,NA,NA,NA,NA,"Endangered","Endangered",NA,"Rare/Accidental Endangered",NA,"Rare/Accidental Endangered",NA,NA,NA,NA,NA,NA,"Endangered",NA,NA,"Rare/Accidental Endangered",NA,NA,NA,"AFR; EUR; hol; NAM; nea; pal; US48"
"Pterodroma feae","Fea's Petrel","PROCELLARIIFORMES","Procellariidae","",NA,NA,"Rare/Accidental",NA,NA,"","","Rare/Accidental","",NA,"",NA,NA,NA,NA,NA,NA,"","Rare/Accidental",NA,"",NA,NA,"","AFR; CA; EUR; hol; MID; NAM; nea; pal; SAM; US48; XX"
"Pterodroma hasitata","Black-capped Petrel","PROCELLARIIFORMES","Procellariidae","Rare/Accidental Endangered",NA,NA,"Rare/Accidental Endangered","Endangered","Breeding endemic Endangered","Rare/Accidental Endangered","Endangered",NA,"Endangered","Endangered","Endangered",NA,NA,"Rare/Accidental Endangered",NA,NA,"Rare/Accidental Endangered","Rare/Accidental Endangered","Endangered",NA,"Endangered",NA,NA,"Endangered","AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; XX"
"Bulweria bulwerii","Bulwer's Petrel","PROCELLARIIFORMES","Procellariidae","","","",NA,"","Rare/Accidental","","","Rare/Accidental","","","",NA,"","","","","","","","Rare/Accidental","Rare/Accidental",NA,"","","AFR; ASI; AUS; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; oin; opa; PAC; pal; SAM; TT; US48; UShi; XX"
"Bulweria fallax","Jouanin's Petrel","PROCELLARIIFORMES","Procellariidae","Near-threatened","Near-threatened","Rare/Accidental Near-threatened",NA,NA,NA,NA,"Near-threatened","Near-threatened","Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened","Near-threatened",NA,"Near-threatened","Near-threatened",NA,NA,"Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened","Near-threatened","AFR; ASI; AUS; hol; MID; NAM; nea; OCE; oin; PAC; pal; US48; UShi; XX"
"Pseudobulweria rostrata","Tahiti Petrel","PROCELLARIIFORMES","Procellariidae","Near-threatened","Near-threatened","Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened","Rare/Accidental Near-threatened","Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened",NA,"Near-threatened","Near-threatened",NA,"Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened","Near-threatened","AFR; ASI; AUS; CAM; hol; MID; NAM; nea; OCE; opa; PAC; SAM; US48; UShi; XX"
"Procellaria aequinoctialis","White-chinned Petrel","PROCELLARIIFORMES","Procellariidae","Vulnerable",NA,"Vulnerable",NA,NA,NA,"Rare/Accidental Vulnerable","Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable",NA,NA,"Vulnerable","Rare/Accidental Vulnerable","Vulnerable",NA,"Rare/Accidental Vulnerable",NA,NA,"Vulnerable","AFR; AUS; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; XX"
"Calonectris leucomelas","Streaked Shearwater","PROCELLARIIFORMES","Procellariidae","Rare/Accidental Near-threatened","Near-threatened","Near-threatened",NA,"Rare/Accidental Near-threatened",NA,NA,"Near-threatened","Rare/Accidental Near-threatened","Rare/Accidental Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened",NA,"Near-threatened","Near-threatened","Rare/Accidental Near-threatened",NA,NA,"Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened","Near-threatened","AFR; ASI; AUS; CAM; hol; MID; NAM; nea; OCE; opa; PAC; pal; US48; UShi; XX"
"Calonectris borealis","Cory's Shearwater","PROCELLARIIFORMES","Procellariidae","","Rare/Accidental","Rare/Accidental","","","","","","Rare/Accidental","","Rare/Accidental","",NA,"","",NA,NA,"Rare/Accidental","","","Rare/Accidental","",NA,NA,"","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; PAC; pal; SAM; TT; US48; XX"
"Calonectris diomedea","Scopoli's Shearwater","PROCELLARIIFORMES","Procellariidae","","","","Rare/Accidental","","","","","Rare/Accidental","",NA,"",NA,"","",NA,NA,NA,"","",NA,"",NA,NA,"","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; oat; OCE; pal; SAM; US48; XX"
"Calonectris edwardsii","Cape Verde Shearwater","PROCELLARIIFORMES","Procellariidae","Near-threatened",NA,NA,NA,NA,"Rare/Accidental Near-threatened","Near-threatened","Near-threatened",NA,"Rare/Accidental Near-threatened",NA,"Rare/Accidental Near-threatened",NA,NA,NA,NA,NA,NA,"Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Rare/Accidental Near-threatened",NA,NA,"Near-threatened","AFR; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; XX"
"Ardenna carneipes","Flesh-footed Shearwater","PROCELLARIIFORMES","Procellariidae","Near-threatened","Near-threatened","Near-threatened","Near-threatened","Near-threatened",NA,"Rare/Accidental Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Near-threatened",NA,"Near-threatened",NA,NA,"Near-threatened","Near-threatened","Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Near-threatened",NA,"Near-threatened","Rare/Accidental Near-threatened","Near-threatened","Near-threatened","AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; oin; opa; PAC; pal; SAM; US48; USak; UShi; XX"
"Ardenna gravis","Great Shearwater","PROCELLARIIFORMES","Procellariidae","","","","","","","","","Rare/Accidental","","","",NA,"","",NA,NA,NA,"","","Rare/Accidental","","Rare/Accidental",NA,"","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; pal; SAM; TT; US48; USak; XX"
"Ardenna pacifica","Wedge-tailed Shearwater","PROCELLARIIFORMES","Procellariidae","","","",NA,"",NA,NA,"","Rare/Accidental","",NA,"",NA,NA,"","","","","Rare/Accidental","",NA,"","Rare/Accidental","","","AFR; ASI; AUS; CAM; hol; MID; NAM; nea; OCE; oin; opa; PAC; pal; SAM; US48; USak; UShi; XX"
"Ardenna grisea","Sooty Shearwater","PROCELLARIIFORMES","Procellariidae","Near-threatened","Near-threatened","Near-threatened","Near-threatened","Near-threatened","Near-threatened","Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Near-threatened","Near-threatened","Rare/Accidental Near-threatened",NA,"Near-threatened","Near-threatened",NA,NA,"Near-threatened","Near-threatened","Near-threatened","Rare/Accidental Near-threatened","Near-threatened","Near-threatened","Near-threatened","Near-threatened","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Ardenna tenuirostris","Short-tailed Shearwater","PROCELLARIIFORMES","Procellariidae","Rare/Accidental","","","","",NA,"Rare/Accidental","","Rare/Accidental","",NA,"",NA,NA,"",NA,"","","","Rare/Accidental",NA,"","","","","AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX"
"Puffinus puffinus","Manx Shearwater","PROCELLARIIFORMES","Procellariidae","","","","","Rare/Accidental","","","","Rare/Accidental","","Rare/Accidental","Rare/Accidental",NA,"","",NA,NA,NA,"","","Rare/Accidental","","",NA,"","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; pal; SAM; TT; US48; USak; XX"
"Puffinus baroli","Barolo Shearwater","PROCELLARIIFORMES","Procellariidae","",NA,NA,"Rare/Accidental","","Rare/Accidental","","","Rare/Accidental","Rare/Accidental","","Rare/Accidental",NA,NA,NA,NA,NA,NA,"","",NA,"Rare/Accidental",NA,NA,"","AFR; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; US48; XX"
"Fregata magnificens","Magnificent Frigatebird","SULIFORMES","Fregatidae","",NA,NA,"Rare/Accidental","","","Rare/Accidental","","Rare/Accidental","","","",NA,NA,"",NA,NA,"","","","","","Rare/Accidental","Rare/Accidental","","AFR; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Fregata ariel","Lesser Frigatebird","SULIFORMES","Fregatidae","","","",NA,"Rare/Accidental",NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"",NA,NA,"","","","","Rare/Accidental","",NA,"Rare/Accidental",NA,"Rare/Accidental","","AFR; ASI; AUS; CAM; hol; MID; NAM; nea; OCE; oin; opa; PAC; pal; SAM; US48; UShi; XX"
"Fregata minor","Great Frigatebird","SULIFORMES","Fregatidae","","","",NA,"",NA,NA,"","Rare/Accidental","","Rare/Accidental","",NA,"","","","","",NA,"",NA,"Rare/Accidental",NA,"","","AFR; ASI; AUS; CAM; hol; MID; NAM; NaN; nea; oat; OCE; oin; opa; PAC; SAM; US48; UShi; XX"
"Morus bassanus","Northern Gannet","SULIFORMES","Sulidae","","",NA,"","","Rare/Accidental","","","Rare/Accidental","",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"","Rare/Accidental","Rare/Accidental","","Rare/Accidental",NA,"","AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; SAM; TT; US48; USak; XX"
"Sula sula","Red-footed Booby","SULIFORMES","Sulidae","","","","Rare/Accidental","","","Rare/Accidental","","Rare/Accidental","","","",NA,NA,"","","","","Rare/Accidental","","","","Rare/Accidental","","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; oin; opa; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Sula leucogaster","Brown Booby","SULIFORMES","Sulidae","","","","Rare/Accidental","","","","","","","","",NA,"","",NA,"","","","","","","Rare/Accidental","","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; oat; OCE; opa; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Sula dactylatra","Masked Booby","SULIFORMES","Sulidae","","","","Rare/Accidental","","","Rare/Accidental","","","","","",NA,NA,"","","","","Rare/Accidental","","","",NA,"","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; oin; opa; PAC; pal; SAM; TT; US48; UShi; XX"
"Anhinga rufa","African Darter","SULIFORMES","Anhingidae","",NA,"",NA,"Uncertain origin",NA,NA,"","","Uncertain origin",NA,"Uncertain origin",NA,NA,"",NA,NA,NA,"",NA,NA,"Uncertain origin",NA,NA,NA,"AFR; AUS; CAM; hol; MID; NAM; nea; OCE; pal; US48"
"Phalacrocorax carbo","Great Cormorant","SULIFORMES","Phalacrocoracidae","","","","",NA,"Rare/Accidental","","","","","","",NA,NA,"",NA,NA,"Rare/Accidental","","",NA,"",NA,NA,"Rare/Accidental","AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; XX"
"Nannopterum auritum","Double-crested Cormorant","SULIFORMES","Phalacrocoracidae","Rare/Accidental","",NA,"","","","Rare/Accidental","",NA,"","","",NA,"",NA,NA,NA,NA,"Rare/Accidental","",NA,"","",NA,"","AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; oat; pal; SAM; US48; USak; XX"
"Plegadis falcinellus","Glossy Ibis","PELECANIFORMES","Threskiornithidae","","","","","","","","","","","","Rare/Accidental",NA,NA,"",NA,NA,"","","","","",NA,NA,NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48"
"Threskiornis aethiopicus","African Sacred Ibis","PELECANIFORMES","Threskiornithidae","","","",NA,NA,NA,"Introduced species","","","Introduced species",NA,"Introduced species",NA,NA,"",NA,NA,NA,"",NA,NA,"Introduced species",NA,NA,NA,"AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; US48"
"Pelecanus rufescens","Pink-backed Pelican","PELECANIFORMES","Pelecanidae","","",NA,NA,NA,NA,"Rare/Accidental","","","Uncertain origin",NA,"Uncertain origin",NA,NA,NA,NA,NA,NA,"Rare/Accidental",NA,NA,"Uncertain origin",NA,NA,NA,"AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48"
"Botaurus lentiginosus","American Bittern","PELECANIFORMES","Ardeidae","Rare/Accidental",NA,NA,"","","","Rare/Accidental","",NA,"",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"Rare/Accidental",NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak; UShi"
"Botaurus sinensis","Yellow Bittern","PELECANIFORMES","Ardeidae","Rare/Accidental","","",NA,NA,NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"",NA,NA,"",NA,NA,"","",NA,NA,NA,"Rare/Accidental",NA,"","AFR; ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; USak; XX"
"Nyctanassa violacea","Yellow-crowned Night Heron","PELECANIFORMES","Ardeidae","Uncertain origin",NA,NA,"Rare/Accidental","","","Rare/Accidental","",NA,"","","",NA,NA,NA,NA,NA,NA,"Rare/Accidental","","","",NA,NA,NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48"
"Nycticorax nycticorax","Black-crowned Night Heron","PELECANIFORMES","Ardeidae","","","","","","","","","","","","Rare/Accidental",NA,NA,"",NA,NA,"","","","","","Rare/Accidental","",NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Egretta caerulea","Little Blue Heron","PELECANIFORMES","Ardeidae","",NA,NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"",NA,NA,"","Rare/Accidental","","","",NA,"Rare/Accidental","Rare/Accidental","AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; UShi; XX"
"Egretta tricolor","Tricolored Heron","PELECANIFORMES","Ardeidae","Rare/Accidental",NA,NA,"Rare/Accidental","","","Rare/Accidental","",NA,"","","",NA,NA,NA,NA,NA,NA,"Rare/Accidental","","","","Rare/Accidental",NA,NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak"
"Egretta thula","Snowy Egret","PELECANIFORMES","Ardeidae","Rare/Accidental",NA,NA,"","","","Rare/Accidental","",NA,"","","",NA,NA,NA,NA,NA,NA,"Rare/Accidental","","","",NA,"Rare/Accidental","Rare/Accidental","AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; UShi; XX"
"Egretta garzetta","Little Egret","PELECANIFORMES","Ardeidae","","","","Rare/Accidental",NA,"Rare/Accidental","","","","Rare/Accidental","Rare/Accidental","",NA,NA,"",NA,NA,"","","Rare/Accidental","","","Rare/Accidental",NA,"","AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; XX"
