"scientific_name","common_name","order","family","status_AFR","status_ASI","status_AUS","status_CA","status_CAM","status_CAR","status_EUR","status_hol","status_MID","status_NAM","status_NaN","status_nea","status_oaq","status_oat","status_OCE","status_oin","status_opa","status_PAC","status_pal","status_SAM","status_TT","status_US48","status_USak","status_UShi","status_XX","regions"
"Alopochen aegyptiaca","Egyptian Goose","ANSERIFORMES","Anatidae","","",NA,NA,NA,"Introduced species","","","Rare/Accidental","Introduced species","Rare/Accidental","Introduced species",NA,NA,NA,NA,NA,NA,"","Rare/Accidental",NA,"Introduced species",NA,NA,NA,"AFR; ASI; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; US48"
"Tadorna ferruginea","Ruddy Shelduck","ANSERIFORMES","Anatidae","","",NA,"Uncertain origin",NA,NA,"","","","Uncertain origin",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal"
"Tadorna tadorna","Common Shelduck","ANSERIFORMES","Anatidae","","",NA,"Rare/Accidental",NA,"Rare/Accidental","","","","Rare/Accidental",NA,"Rare/Accidental",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; pal"
"Cairina moschata","Muscovy Duck","ANSERIFORMES","Anatidae","Introduced species",NA,"",NA,"","Introduced species",NA,"","Introduced species","","Introduced species","",NA,NA,"",NA,NA,NA,"Introduced species","","Rare/Accidental","Rare/Accidental",NA,NA,NA,"AFR; AUS; CAM; CAR; hol; MID; NAM; NaN; nea; OCE; pal; SAM; TT; US48"
"Aix sponsa","Wood Duck","ANSERIFORMES","Anatidae","Uncertain origin",NA,NA,"","","","Introduced species","",NA,"","Rare/Accidental","",NA,NA,NA,NA,NA,NA,"Introduced species","",NA,"","Rare/Accidental",NA,NA,"AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; US48; USak"
"Aix galericulata","Mandarin Duck","ANSERIFORMES","Anatidae","","",NA,NA,NA,NA,"Introduced species","","Uncertain origin","Introduced species",NA,"Introduced species",NA,NA,NA,NA,NA,NA,"",NA,NA,"Introduced species","Introduced species",NA,NA,"AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak"
"Spatula querquedula","Garganey","ANSERIFORMES","Anatidae","","","","Rare/Accidental","","Rare/Accidental","","","","",NA,"",NA,NA,"",NA,NA,"","",NA,NA,"Rare/Accidental","Rare/Accidental","Rare/Accidental",NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Spatula discors","Blue-winged Teal","ANSERIFORMES","Anatidae","","Rare/Accidental",NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"",NA,NA,"","","","","","","",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Spatula cyanoptera","Cinnamon Teal","ANSERIFORMES","Anatidae","Uncertain origin",NA,NA,"","","",NA,"",NA,"","Rare/Accidental","",NA,NA,"",NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"","Rare/Accidental","Rare/Accidental",NA,"AFR; CA; CAM; CAR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi"
"Spatula clypeata","Northern Shoveler","ANSERIFORMES","Anatidae","","","","","","","","","","","","Rare/Accidental",NA,NA,"",NA,NA,"","","","Rare/Accidental","","","","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
