"","common_name","scientific_name","status","order","family","region"
"188","Jabiru","Jabiru mycteria","","CICONIIFORMES","Ciconiidae","CRhe"
"189","Wood Stork","Mycteria americana","","CICONIIFORMES","Ciconiidae","CRhe"
"190","Magnificent Frigatebird","Fregata magnificens","","SULIFORMES","Fregatidae","CRhe"
"191","Anhinga","Anhinga anhinga","","SULIFORMES","Anhingidae","CRhe"
"192","Neotropic Cormorant","Nannopterum brasilianum","","SULIFORMES","Phalacrocoracidae","CRhe"
"193","White Ibis","Eudocimus albus","","PELECANIFORMES","Threskiornithidae","CRhe"
"194","Glossy Ibis","Plegadis falcinellus","","PELECANIFORMES","Threskiornithidae","CRhe"
"195","Green Ibis","Mesembrinibis cayennensis","","PELECANIFORMES","Threskiornithidae","CRhe"
"196","Roseate Spoonbill","Platalea ajaja","","PELECANIFORMES","Threskiornithidae","CRhe"
"197","Rufescent Tiger-Heron","Tigrisoma lineatum","","PELECANIFORMES","Ardeidae","CRhe"
"198","Bare-throated Tiger-Heron","Tigrisoma mexicanum","","PELECANIFORMES","Ardeidae","CRhe"
"199","Fasciated Tiger-Heron","Tigrisoma fasciatum","","PELECANIFORMES","Ardeidae","CRhe"
"200","Boat-billed Heron","Cochlearius cochlearius","","PELECANIFORMES","Ardeidae","CRhe"
"201","Agami Heron","Agamia agami","Near-threatened","PELECANIFORMES","Ardeidae","CRhe"
"202","Pinnated Bittern","Botaurus pinnatus","","PELECANIFORMES","Ardeidae","CRhe"
"203","Least Bittern","Botaurus exilis","","PELECANIFORMES","Ardeidae","CRhe"
"204","Yellow-crowned Night Heron","Nyctanassa violacea","","PELECANIFORMES","Ardeidae","CRhe"
"205","Black-crowned Night Heron","Nycticorax nycticorax","","PELECANIFORMES","Ardeidae","CRhe"
"206","Little Blue Heron","Egretta caerulea","","PELECANIFORMES","Ardeidae","CRhe"
"207","Tricolored Heron","Egretta tricolor","","PELECANIFORMES","Ardeidae","CRhe"
"208","Reddish Egret","Egretta rufescens","Near-threatened","PELECANIFORMES","Ardeidae","CRhe"
"209","Snowy Egret","Egretta thula","","PELECANIFORMES","Ardeidae","CRhe"
"210","Striated Heron","Butorides striata","Rare/Accidental","PELECANIFORMES","Ardeidae","CRhe"
"211","Green Heron","Butorides virescens","","PELECANIFORMES","Ardeidae","CRhe"
"212","Western Cattle-Egret","Ardea ibis","","PELECANIFORMES","Ardeidae","CRhe"
"213","Great Egret","Ardea alba","","PELECANIFORMES","Ardeidae","CRhe"
"214","Great Blue Heron","Ardea herodias","","PELECANIFORMES","Ardeidae","CRhe"
"215","American White Pelican","Pelecanus erythrorhynchos","Rare/Accidental","PELECANIFORMES","Pelecanidae","CRhe"
"216","Brown Pelican","Pelecanus occidentalis","","PELECANIFORMES","Pelecanidae","CRhe"
"217","King Vulture","Sarcoramphus papa","","CATHARTIFORMES","Cathartidae","CRhe"
"218","Black Vulture","Coragyps atratus","","CATHARTIFORMES","Cathartidae","CRhe"
"219","Turkey Vulture","Cathartes aura","","CATHARTIFORMES","Cathartidae","CRhe"
"220","Lesser Yellow-headed Vulture","Cathartes burrovianus","","CATHARTIFORMES","Cathartidae","CRhe"
"221","Osprey","Pandion haliaetus","","ACCIPITRIFORMES","Pandionidae","CRhe"
"222","Pearl Kite","Gampsonyx swainsonii","","ACCIPITRIFORMES","Accipitridae","CRhe"
"223","White-tailed Kite","Elanus leucurus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"224","Hook-billed Kite","Chondrohierax uncinatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"225","Gray-headed Kite","Leptodon cayanensis","","ACCIPITRIFORMES","Accipitridae","CRhe"
"226","Swallow-tailed Kite","Elanoides forficatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"227","Black Hawk-Eagle","Spizaetus tyrannus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"228","Black-and-white Hawk-Eagle","Spizaetus melanoleucus","","ACCIPITRIFORMES","Accipitridae","CRhe"
"229","Ornate Hawk-Eagle","Spizaetus ornatus","Near-threatened","ACCIPITRIFORMES","Accipitridae","CRhe"
"230","Crested Eagle","Morphnus guianensis","Near-threatened","ACCIPITRIFORMES","Accipitridae","CRhe"
"231","Harpy Eagle","Harpia harpyja","Vulnerable","ACCIPITRIFORMES","Accipitridae","CRhe"
"232","Gray-bellied Hawk","Accipiter poliogaster","Rare/Accidental Near-threatened","ACCIPITRIFORMES","Accipitridae","CRhe"
"233","Sharp-shinned Hawk","Accipiter striatus","","ACCIPITRIFORMES","Accipitridae","CRhe"
