common_name,scientific_name,status,order,family,region
Ring-necked Pheasant,Phasianus colchicus,,GALLIFORMES,Phasianidae,AUS
Indian Peafowl,Pavo cristatus,Introduced species,GALLIFORMES,Phasianidae,AUS
Green Junglefowl,Gallus varius,Introduced species,GALLIFORMES,Phasianidae,AUS
Red Junglefowl,Gallus gallus,Introduced species,GALLIFORMES,Phasianidae,AUS
Brown Quail,Synoicus ypsilophorus,,GALLIFORMES,Phasianidae,AUS
Snow Mountain Quail,Synoicus monorthonyx,,GALLIFORMES,Phasianidae,AUS
Blue-breasted Quail,Synoicus chinensis,,GALLIFORMES,Phasianidae,AUS
Stubble Quail,Coturnix pectoralis,,GALLIFORMES,Phasianidae,AUS
New Zealand Quail,Coturnix novaezelandiae,Extinct,GALLIFORMES,Phasianidae,AUS
Barbary Partridge,Alectoris barbara,Extirpated,GALLIFORMES,Phasianidae,AUS
Red-legged Partridge,Alectoris rufa,Introduced species Near-threatened,GALLIFORMES,Phasianidae,AUS
Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,AUS
Rock Pigeon,Columba livia,,COLUMBIFORMES,Columbidae,AUS
Metallic Pigeon,Columba vitiensis,,COLUMBIFORMES,Columbidae,AUS
White-headed Pigeon,Columba leucomela,,COLUMBIFORMES,Columbidae,AUS
Yellow-legged Pigeon,Columba pallidiceps,Vulnerable,COLUMBIFORMES,Columbidae,AUS
Oriental Turtle-Dove,Streptopelia orientalis,Rare/Accidental,COLUMBIFORMES,Columbidae,AUS
African Collared-Dove,Streptopelia roseogrisea,,COLUMBIFORMES,Columbidae,AUS
Red Collared-Dove,Streptopelia tranquebarica,Rare/Accidental,COLUMBIFORMES,Columbidae,AUS
Spotted Dove,Spilopelia chinensis,,COLUMBIFORMES,Columbidae,AUS
Laughing Dove,Spilopelia senegalensis,,COLUMBIFORMES,Columbidae,AUS
Brown Cuckoo-Dove,Macropygia phasianella,Endemic,COLUMBIFORMES,Columbidae,AUS
Amboyna Cuckoo-Dove,Macropygia amboinensis,,COLUMBIFORMES,Columbidae,AUS
Sultan's Cuckoo-Dove,Macropygia doreya,,COLUMBIFORMES,Columbidae,AUS
Black-billed Cuckoo-Dove,Macropygia nigrirostris,,COLUMBIFORMES,Columbidae,AUS
Spot-breasted Cuckoo-Dove,Macropygia mackinlayi,,COLUMBIFORMES,Columbidae,AUS
Great Cuckoo-Dove,Reinwardtoena reinwardti,,COLUMBIFORMES,Columbidae,AUS
Pied Cuckoo-Dove,Reinwardtoena browni,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Crested Cuckoo-Dove,Reinwardtoena crassirostris,,COLUMBIFORMES,Columbidae,AUS
Asian Emerald Dove,Chalcophaps indica,,COLUMBIFORMES,Columbidae,AUS
Pacific Emerald Dove,Chalcophaps longirostris,,COLUMBIFORMES,Columbidae,AUS
Stephan's Dove,Chalcophaps stephani,,COLUMBIFORMES,Columbidae,AUS
New Guinea Bronzewing,Henicophaps albifrons,,COLUMBIFORMES,Columbidae,AUS
New Britain Bronzewing,Henicophaps foersteri,Vulnerable,COLUMBIFORMES,Columbidae,AUS
Shy Ground Dove,Pampusana stairi,,COLUMBIFORMES,Columbidae,AUS
Santa Cruz Ground Dove,Pampusana sanctaecrucis,Endangered,COLUMBIFORMES,Columbidae,AUS
Thick-billed Ground Dove,Pampusana salamonis,Extinct,COLUMBIFORMES,Columbidae,AUS
Tanna Ground Dove,Pampusana ferruginea,Extinct,COLUMBIFORMES,Columbidae,AUS
Bronze Ground Dove,Pampusana beccarii,,COLUMBIFORMES,Columbidae,AUS
White-bibbed Ground Dove,Pampusana jobiensis,,COLUMBIFORMES,Columbidae,AUS
Norfolk Ground Dove,Pampusana norfolkensis,,COLUMBIFORMES,Columbidae,AUS
Common Bronzewing,Phaps chalcoptera,,COLUMBIFORMES,Columbidae,AUS
Brush Bronzewing,Phaps elegans,,COLUMBIFORMES,Columbidae,AUS
Flock Bronzewing,Phaps histrionica,,COLUMBIFORMES,Columbidae,AUS
Crested Pigeon,Ocyphaps lophotes,,COLUMBIFORMES,Columbidae,AUS
Spinifex Pigeon,Geophaps plumifera,,COLUMBIFORMES,Columbidae,AUS
Squatter Pigeon,Geophaps scripta,,COLUMBIFORMES,Columbidae,AUS
Partridge Pigeon,Geophaps smithii,,COLUMBIFORMES,Columbidae,AUS
Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,,COLUMBIFORMES,Columbidae,AUS
White-quilled Rock-Pigeon,Petrophassa albipennis,,COLUMBIFORMES,Columbidae,AUS
Wonga Pigeon,Leucosarcia melanoleuca,,COLUMBIFORMES,Columbidae,AUS
Diamond Dove,Geopelia cuneata,,COLUMBIFORMES,Columbidae,AUS
Zebra Dove,Geopelia striata,,COLUMBIFORMES,Columbidae,AUS
Peaceful Dove,Geopelia placida,,COLUMBIFORMES,Columbidae,AUS
Bar-shouldered Dove,Geopelia humeralis,,COLUMBIFORMES,Columbidae,AUS
Nicobar Pigeon,Caloenas nicobarica,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Cinnamon Ground Dove,Gallicolumba rufigula,,COLUMBIFORMES,Columbidae,AUS
Choiseul Pigeon,Microgoura meeki,Extinct,COLUMBIFORMES,Columbidae,AUS
Thick-billed Ground-Pigeon,Trugon terrestris,,COLUMBIFORMES,Columbidae,AUS
Pheasant Pigeon,Otidiphaps nobilis,,COLUMBIFORMES,Columbidae,AUS
Western Crowned-Pigeon,Goura cristata,Vulnerable,COLUMBIFORMES,Columbidae,AUS
Sclater's Crowned-Pigeon,Goura sclaterii,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Scheepmaker's Crowned-Pigeon,Goura scheepmakeri,Vulnerable,COLUMBIFORMES,Columbidae,AUS
Victoria Crowned-Pigeon,Goura victoria,Near-threatened,COLUMBIFORMES,Columbidae,AUS
