cavitynest_interactor,recorder,BBS_InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Seq,AOU
,,,,Melanitta,deglandi,White-winged Scoter,Macreuse à ailes blanches,Melanitta deglandi,Anseriformes,Anatidae,62,1650
,,,,Melanitta,americana,Black Scoter,Macreuse à bec jaune,Melanitta americana,Anseriformes,Anatidae,65,1630
,,,,Melanitta,sp.,unid. scoter,unid macreuse sp.,Melanitta sp.,Anseriformes,Anatidae,66,1657
,,,,Clangula,hyemalis,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Anseriformes,Anatidae,67,1540
secondary,MB/IH,2/22/2022-09/14/2022,"Gauthier, G. (2020). Bufflehead (Bucephala albeola), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.buffle.01",Bucephala,albeola,Bufflehead,Petit Garrot,Bucephala albeola,Anseriformes,Anatidae,68,1530
secondary,MB/IH,2/22/2022-9/14/2022,"Eadie, J. M., M. L. Mallory, and H. G. Lumsden (2020). Common Goldeneye (Bucephala clangula), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.comgol.01",Bucephala,clangula,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Anseriformes,Anatidae,69,1510
secondary,IH,3/19/2019-9/13/2022,"Eadie, J. M., J.-P. L. Savard, and M. L. Mallory (2020). Barrow's Goldeneye (Bucephala islandica), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bargol.01",Bucephala,islandica,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Anseriformes,Anatidae,70,1520
,,,,Bucephala,clangula / islandica,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Bucephala clangula / islandica,Anseriformes,Anatidae,71,1512
secondary,EP,4/3/22,"Dugger, B. D., K. M. Dugger, and L. H. Fredrickson (2020). Hooded Merganser (Lophodytes cucullatus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.hoomer.01",Lophodytes,cucullatus,Hooded Merganser,Harle couronné,Lophodytes cucullatus,Anseriformes,Anatidae,73,1310
secondary,EP,4/3/2022,"Pearce, J., M. L. Mallory, and K. Metz (2020). Common Merganser (Mergus merganser), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.commer.01",Mergus,merganser,Common Merganser,Grand Harle,Mergus merganser,Anseriformes,Anatidae,74,1290
,,,,Mergus,serrator,Red-breasted Merganser,Harle huppé,Mergus serrator,Anseriformes,Anatidae,75,1300
,,,,Oxyura,jamaicensis,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Anseriformes,Anatidae,77,1670
,,,,Ortalis,vetula,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,78,3110
tertiary,EP,4/9/2019; checked 9/20/2022,"Gutiérrez, R. J. and D. J. Delehanty (2020). Mountain Quail (Oreortyx pictus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.mouqua.01",Oreortyx,pictus,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,86,2920
,,,,Colinus,virginianus,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,91,2890
,,,,Callipepla,squamata,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,93,2930
