"common_name","scientific_name","status","order","family","region"
"Gray Gull","Leucophaeus modestus","Rare/Accidental","CHARADRIIFORMES","Laridae","US48"
"Franklin's Gull","Leucophaeus pipixcan","","CHARADRIIFORMES","Laridae","AK; CA; US48"
"Asian Rosy-Finch","Leucosticte arctoa","Rare/Accidental","PASSERIFORMES","Fringillidae","AK"
"Black Rosy-Finch","Leucosticte atrata","Endemic Endangered","PASSERIFORMES","Fringillidae","US48"
"Brown-capped Rosy-Finch","Leucosticte australis","Endemic Endangered","PASSERIFORMES","Fringillidae","US48"
"Gray-crowned Rosy-Finch","Leucosticte tephrocotis","","PASSERIFORMES","Fringillidae","AK; CA; US48"
"Short-billed Dowitcher","Limnodromus griseus","Vulnerable","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Long-billed Dowitcher","Limnodromus scolopaceus","Near-threatened","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Swainson's Warbler","Limnothlypis swainsonii","Breeding endemic","PASSERIFORMES","Parulidae","CA; US48"
"Marbled Godwit","Limosa fedoa","Vulnerable","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Hudsonian Godwit","Limosa haemastica","Vulnerable","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Bar-tailed Godwit","Limosa lapponica","Rare/Accidental Near-threatened","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Black-tailed Godwit","Limosa limosa","Rare/Accidental Near-threatened","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"River Warbler","Locustella fluviatilis","Rare/Accidental","PASSERIFORMES","Locustellidae","AK"
"Lanceolated Warbler","Locustella lanceolata","Rare/Accidental","PASSERIFORMES","Locustellidae","AK; US48"
"Chestnut Munia","Lonchura atricapilla","Introduced species","PASSERIFORMES","Estrildidae","US48"
"Tricolored Munia","Lonchura malacca","Rare/Accidental","PASSERIFORMES","Estrildidae","US48"
"Scaly-breasted Munia","Lonchura punctulata","Introduced species","PASSERIFORMES","Estrildidae","US48"
"Hooded Merganser","Lophodytes cucullatus","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Silver Pheasant","Lophura nycthemera","Introduced species","GALLIFORMES","Phasianidae","CA"
"Red Crossbill","Loxia curvirostra","","PASSERIFORMES","Fringillidae","AK; CA; US48"
"White-winged Crossbill","Loxia leucoptera","","PASSERIFORMES","Fringillidae","AK; CA; US48"
"Cassia Crossbill","Loxia sinesciuris","Endemic","PASSERIFORMES","Fringillidae","US48"
"Bluethroat","Luscinia svecica","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK; CA; US48"
"Jack Snipe","Lymnocryptes minimus","Rare/Accidental","CHARADRIIFORMES","Scolopacidae","AK; CA; US48"
"Cattle Tyrant","Machetornis rixosa","Uncertain origin","PASSERIFORMES","Tyrannidae","US48"
"Northern Giant-Petrel","Macronectes halli","Rare/Accidental","PROCELLARIIFORMES","Procellariidae","US48"
"American Wigeon","Mareca americana","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Falcated Duck","Mareca falcata","Rare/Accidental","ANSERIFORMES","Anatidae","AK; CA; US48"
"Eurasian Wigeon","Mareca penelope","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Gadwall","Mareca strepera","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Pearly-eyed Thrasher","Margarops fuscatus","Rare/Accidental","PASSERIFORMES","Mimidae","US48"
"Belted Kingfisher","Megaceryle alcyon","","CORACIIFORMES","Alcedinidae","AK; CA; US48"
"Ringed Kingfisher","Megaceryle torquata","","CORACIIFORMES","Alcedinidae","US48"
"Eastern Screech-Owl","Megascops asio","","STRIGIFORMES","Strigidae","CA; US48"
"Western Screech-Owl","Megascops kennicottii","","STRIGIFORMES","Strigidae","AK; CA; US48"
"Whiskered Screech-Owl","Megascops trichopsis","","STRIGIFORMES","Strigidae","US48"
"Golden-fronted Woodpecker","Melanerpes aurifrons","","PICIFORMES","Picidae","US48"
"Red-bellied Woodpecker","Melanerpes carolinus","","PICIFORMES","Picidae","CA; US48"
"Red-headed Woodpecker","Melanerpes erythrocephalus","","PICIFORMES","Picidae","CA; US48"
"Acorn Woodpecker","Melanerpes formicivorus","","PICIFORMES","Picidae","CA; US48"
"Lewis's Woodpecker","Melanerpes lewis","","PICIFORMES","Picidae","AK; CA; US48"
"Gila Woodpecker","Melanerpes uropygialis","","PICIFORMES","Picidae","US48"
"Black Scoter","Melanitta americana","Near-threatened","ANSERIFORMES","Anatidae","AK; CA; US48"
"White-winged Scoter","Melanitta deglandi","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Common Scoter","Melanitta nigra","Rare/Accidental","ANSERIFORMES","Anatidae","CA; US48"
"Surf Scoter","Melanitta perspicillata","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Stejneger's Scoter","Melanitta stejnegeri","Rare/Accidental","ANSERIFORMES","Anatidae","AK; US48"
"Black Catbird","Melanoptila glabrirostris","Rare/Accidental","PASSERIFORMES","Mimidae","US48"
"Black-faced Grassquit","Melanospiza bicolor","Rare/Accidental","PASSERIFORMES","Thraupidae","US48"
"Blue Mockingbird","Melanotis caerulescens","Rare/Accidental","PASSERIFORMES","Mimidae","US48"
"Wild Turkey","Meleagris gallopavo","","GALLIFORMES","Phasianidae","CA; US48"
