common_name,scientific_name,status,order,family,region
Lesser Swallow-tailed Swift,Panyptila cayennensis,,APODIFORMES,Apodidae,TT
Fork-tailed Palm Swift,Tachornis squamata,,APODIFORMES,Apodidae,TT
White-necked Jacobin,Florisuga mellivora,,APODIFORMES,Trochilidae,TT
Rufous-breasted Hermit,Glaucis hirsutus,,APODIFORMES,Trochilidae,TT
Green Hermit,Phaethornis guy,,APODIFORMES,Trochilidae,TT
Little Hermit,Phaethornis longuemareus,,APODIFORMES,Trochilidae,TT
Brown Violetear,Colibri delphinae,,APODIFORMES,Trochilidae,TT
White-tailed Goldenthroat,Polytmus guainumbi,,APODIFORMES,Trochilidae,TT
Ruby-topaz Hummingbird,Chrysolampis mosquitus,,APODIFORMES,Trochilidae,TT
Black-throated Mango,Anthracothorax nigricollis,,APODIFORMES,Trochilidae,TT
Green-throated Mango,Anthracothorax viridigula,,APODIFORMES,Trochilidae,TT
Tufted Coquette,Lophornis ornatus,,APODIFORMES,Trochilidae,TT
Long-billed Starthroat,Heliomaster longirostris,,APODIFORMES,Trochilidae,TT
Amethyst Woodstar,Calliphlox amethystina,Rare/Accidental,APODIFORMES,Trochilidae,TT
Rufous-shafted Woodstar,Chaetocercus jourdanii,Rare/Accidental,APODIFORMES,Trochilidae,TT
Blue-tailed Emerald,Chlorostilbon mellisugus,,APODIFORMES,Trochilidae,TT
White-tailed Sabrewing,Campylopterus ensipennis,Near-threatened,APODIFORMES,Trochilidae,TT
Copper-rumped Hummingbird,Saucerottia tobaci,,APODIFORMES,Trochilidae,TT
White-chested Emerald,Chrysuronia brevirostris,,APODIFORMES,Trochilidae,TT
Glittering-throated Emerald,Chionomesa fimbriata,Rare/Accidental,APODIFORMES,Trochilidae,TT
Blue-chinned Sapphire,Chlorestes notata,,APODIFORMES,Trochilidae,TT
Mangrove Rail,Rallus longirostris,,GRUIFORMES,Rallidae,TT
Spotted Rail,Pardirallus maculatus,,GRUIFORMES,Rallidae,TT
Ash-throated Crake,Mustelirallus albicollis,Extirpated,GRUIFORMES,Rallidae,TT
Paint-billed Crake,Mustelirallus erythrops,Rare/Accidental,GRUIFORMES,Rallidae,TT
Rufous-necked Wood-Rail,Aramides axillaris,,GRUIFORMES,Rallidae,TT
Gray-cowled Wood-Rail,Aramides cajaneus,,GRUIFORMES,Rallidae,TT
Sora,Porzana carolina,,GRUIFORMES,Rallidae,TT
Common Gallinule,Gallinula galeata,,GRUIFORMES,Rallidae,TT
American Coot,Fulica americana,Rare/Accidental,GRUIFORMES,Rallidae,TT
Purple Gallinule,Porphyrio martinica,,GRUIFORMES,Rallidae,TT
Azure Gallinule,Porphyrio flavirostris,,GRUIFORMES,Rallidae,TT
Yellow-breasted Crake,Laterallus flaviventer,,GRUIFORMES,Rallidae,TT
Gray-breasted Crake,Laterallus exilis,,GRUIFORMES,Rallidae,TT
Sungrebe,Heliornis fulica,Rare/Accidental,GRUIFORMES,Heliornithidae,TT
Limpkin,Aramus guarauna,,GRUIFORMES,Aramidae,TT
Double-striped Thick-knee,Hesperoburhinus bistriatus,Rare/Accidental,CHARADRIIFORMES,Burhinidae,TT
Black-necked Stilt,Himantopus mexicanus,,CHARADRIIFORMES,Recurvirostridae,TT
American Avocet,Recurvirostra americana,Rare/Accidental,CHARADRIIFORMES,Recurvirostridae,TT
American Oystercatcher,Haematopus palliatus,Rare/Accidental,CHARADRIIFORMES,Haematopodidae,TT
