scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Muscicapa striata,Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Spotted Flycatcher,Muscicapa striata,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Mustelirallus erythrops,Paint-billed Crake,Mustelirallus erythrops,Paint-billed Crake,GRUIFORMES,Rallidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Paint-billed Crake,Mustelirallus erythrops,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes
Myadestes occidentalis,Brown-backed Solitaire,Myadestes occidentalis,Brown-backed Solitaire,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Brown-backed Solitaire,Myadestes occidentalis,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Myiarchus nuttingi,Nutting's Flycatcher,Myiarchus nuttingi,Nutting's Flycatcher,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Nutting's Flycatcher,Myiarchus nuttingi,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Myiarchus sagrae,La Sagra's Flycatcher,Myiarchus sagrae,La Sagra's Flycatcher,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,La Sagra's Flycatcher,Myiarchus sagrae,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Myioborus miniatus,Slate-throated Redstart,Myioborus miniatus,Slate-throated Redstart,PASSERIFORMES,Parulidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Slate-throated Redstart,Myioborus miniatus,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes
Myiopagis viridicata,Greenish Elaenia,Myiopagis viridicata,Greenish Elaenia,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Greenish Elaenia,Myiopagis viridicata,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Myiozetetes similis,Social Flycatcher,Myiozetetes similis,Social Flycatcher,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Social Flycatcher,Myiozetetes similis,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Nesophlox evelynae,Bahama Woodstar,Nesophlox evelynae,Bahama Woodstar,APODIFORMES,Trochilidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Bahama Woodstar,Nesophlox evelynae,varied habitats in Bahamas (except for Inagua group) and the Caicos Islands,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental,yes
Ninox japonica,Northern Boobook,Ninox japonica,Northern Boobook,STRIGIFORMES,Strigidae,Rare/Accidental,NA,NA,Rare/Accidental,ASI; AUS; EUR; hol; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Northern Boobook,Ninox japonica,NA,Strigidae (Owls),Strigiformes,yes,Rare/Accidental,yes
Numenius arquata,Eurasian Curlew,Numenius arquata,Eurasian Curlew,CHARADRIIFORMES,Scolopacidae,Near-threatened,Rare/Accidental Near-threatened,Rare/Accidental Near-threatened,NA,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Eurasian Curlew,Numenius arquata,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental Near-threatened; Rare/Accidental Near-threatened,yes
Numenius borealis,Eskimo Curlew,Numenius borealis,Eskimo Curlew,CHARADRIIFORMES,Scolopacidae,Critically endangered (possibly extinct),Critically endangered (possibly extinct),Critically endangered (possibly extinct),Extirpated Critically endangered (possibly extinct),ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; USak,yes,NA,NA,NA,NA,NA,no,Eskimo Curlew,Numenius borealis,Canadian Arctic; winters to southern South America (probably extinct),Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Critically endangered (possibly extinct); Critically endangered (possibly extinct); Extirpated Critically endangered (possibly extinct),yes
Numenius madagascariensis,Far Eastern Curlew,Numenius madagascariensis,Far Eastern Curlew,CHARADRIIFORMES,Scolopacidae,Endangered,Rare/Accidental Endangered,NA,Rare/Accidental Endangered,AFR; ASI; AUS; CA; hol; MID; NAM; nea; OCE; PAC; pal; USak; UShi,yes,NA,NA,NA,NA,NA,no,Far Eastern Curlew,Numenius madagascariensis,"breeds northeastern Asia; winters to Philippines, Indonesia, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental Endangered; Rare/Accidental Endangered,yes
Numenius minutus,Little Curlew,Numenius minutus,Little Curlew,CHARADRIIFORMES,Scolopacidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Little Curlew,Numenius minutus,"Siberia; winters to Philippines, Indonesia, and northern Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Numenius tenuirostris,Slender-billed Curlew,Numenius tenuirostris,Slender-billed Curlew,CHARADRIIFORMES,Scolopacidae,Rare/Accidental Critically endangered,Rare/Accidental Critically endangered,NA,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Slender-billed Curlew,Numenius tenuirostris,breeds southwestern Siberia and northern Kazakhstan; winters northwestern Africa; possibly extinct,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental Critically endangered,yes
Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Pied Wheatear,Oenanthe pleschanka,"stony south-central Eurasia; winters to Arabia, Iran, and northeastern Africa",Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,Bridled Tern,CHARADRIIFORMES,Laridae,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; oin; PAC; pal; SAM; TT; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Bridled Tern,Onychoprion anaethetus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes
Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,Sooty Tern,CHARADRIIFORMES,Laridae,NA,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; oin; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Sooty Tern,Onychoprion fuscatus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Oreothlypis superciliosa,Crescent-chested Warbler,Oreothlypis superciliosa,Crescent-chested Warbler,PASSERIFORMES,Parulidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Crescent-chested Warbler,Oreothlypis superciliosa,NA,Parulidae (New World Warblers),Passeriformes,yes,Rare/Accidental,yes
Oriturus superciliosus,Striped Sparrow,Oriturus superciliosus,Striped Sparrow,PASSERIFORMES,Passerellidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Striped Sparrow,Oriturus superciliosus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental,yes
Otus sunia,Oriental Scops-Owl,Otus sunia,Oriental Scops-Owl,STRIGIFORMES,Strigidae,Rare/Accidental,NA,NA,Rare/Accidental,ASI; AUS; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Oriental Scops-Owl,Otus sunia,NA,Strigidae (Owls),Strigiformes,yes,Rare/Accidental,yes
Pachyramphus major,Gray-collared Becard,Pachyramphus major,Gray-collared Becard,PASSERIFORMES,Tityridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Gray-collared Becard,Pachyramphus major,NA,Tityridae (Tityras and Allies),Passeriformes,yes,Rare/Accidental,yes
Pardirallus maculatus,Spotted Rail,Pardirallus maculatus,Spotted Rail,GRUIFORMES,Rallidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Spotted Rail,Pardirallus maculatus,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes
Paroaria capitata,Yellow-billed Cardinal,Paroaria capitata,Yellow-billed Cardinal,PASSERIFORMES,Thraupidae,Introduced species,NA,Introduced species,NA,hol; NAM; nea; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-billed Cardinal,Paroaria capitata,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Introduced species,yes
Parus major,Great Tit,Parus major,Great Tit,PASSERIFORMES,Paridae,Uncertain origin,NA,Uncertain origin,NA,AFR; ASI; EUR; hol; MID; NAM; pal; US48,yes,NA,NA,NA,NA,NA,no,Great Tit,Parus major,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Uncertain origin,yes
Patagioenas squamosa,Scaly-naped Pigeon,Patagioenas squamosa,Scaly-naped Pigeon,COLUMBIFORMES,Columbidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Scaly-naped Pigeon,Patagioenas squamosa,"Greater Antilles, Lesser Antilles, and Aruba, Curaçao, and Bonaire",Columbidae (Pigeons and Doves),Columbiformes,yes,Rare/Accidental,yes
Pelagodroma marina,White-faced Storm-Petrel,Pelagodroma marina,White-faced Storm-Petrel,PROCELLARIIFORMES,Oceanitidae,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; oat; OCE; oin; opa; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,White-faced Storm-Petrel,Pelagodroma marina,NA,Oceanitidae (Southern Storm-Petrels),Procellariiformes,yes,Rare/Accidental,yes
Pelecanus rufescens,Pink-backed Pelican,Pelecanus rufescens,Pink-backed Pelican,PELECANIFORMES,Pelecanidae,Uncertain origin,NA,Uncertain origin,NA,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Pink-backed Pelican,Pelecanus rufescens,locally in sub-Saharan Africa and Madagascar,Pelecanidae (Pelicans),Pelecaniformes,yes,Uncertain origin,yes
Periporphyrus celaeno,Crimson-collared Grosbeak,Periporphyrus celaeno,Crimson-collared Grosbeak,PASSERIFORMES,Cardinalidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Crimson-collared Grosbeak,Periporphyrus celaeno,eastern Mexico (Nuevo León to northern Veracruz and northeastern Puebla),Cardinalidae (Cardinals and Allies),Passeriformes,yes,Rare/Accidental,yes
Pernis ptilorhynchus,Oriental Honey-buzzard,Pernis ptilorhynchus,Oriental Honey-buzzard,ACCIPITRIFORMES,Accipitridae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Oriental Honey-buzzard,Pernis ptilorhynchus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental,yes
Phaethon lepturus,White-tailed Tropicbird,Phaethon lepturus,White-tailed Tropicbird,PHAETHONTIFORMES,Phaethontidae,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; PAC; pal; SAM; TT; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,White-tailed Tropicbird,Phaethon lepturus,NA,Phaethontidae (Tropicbirds),Phaethontiformes,yes,Rare/Accidental,yes
Phaethon rubricauda,Red-tailed Tropicbird,Phaethon rubricauda,Red-tailed Tropicbird,PHAETHONTIFORMES,Phaethontidae,NA,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Red-tailed Tropicbird,Phaethon rubricauda,NA,Phaethontidae (Tropicbirds),Phaethontiformes,yes,Rare/Accidental; Rare/Accidental,yes
Phaetusa simplex,Large-billed Tern,Phaetusa simplex,Large-billed Tern,CHARADRIIFORMES,Laridae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Large-billed Tern,Phaetusa simplex,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes
Phasianus versicolor,Green Pheasant,Phasianus versicolor,Green Pheasant,GALLIFORMES,Phasianidae,Introduced species,NA,Extirpated,NA,ASI; hol; NAM; nea; OCE; PAC; US48; UShi,yes,NA,NA,NA,NA,NA,no,Green Pheasant,Phasianus versicolor,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Extirpated,yes
Pheucticus chrysopeplus,Yellow Grosbeak,Pheucticus chrysopeplus,Yellow Grosbeak,PASSERIFORMES,Cardinalidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Yellow Grosbeak,Pheucticus chrysopeplus,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Rare/Accidental,yes
Phoebastria albatrus,Short-tailed Albatross,Phoebastria albatrus,Short-tailed Albatross,PROCELLARIIFORMES,Diomedeidae,Vulnerable,Vulnerable,Rare/Accidental Vulnerable,Rare/Accidental Vulnerable,ASI; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Short-tailed Albatross,Phoebastria albatrus,breeds Torishima (Izu Islands) and Senkaku Islands; ranges at sea through North Pacific,Diomedeidae (Albatrosses),Procellariiformes,yes,Vulnerable; Rare/Accidental Vulnerable; Rare/Accidental Vulnerable,yes
Phoebastria immutabilis,Laysan Albatross,Phoebastria immutabilis,Laysan Albatross,PROCELLARIIFORMES,Diomedeidae,Near-threatened,Near-threatened,Near-threatened,Near-threatened,AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Laysan Albatross,Phoebastria immutabilis,breeds western Hawaiian and Revillagigedo islands; ranges North Pacific,Diomedeidae (Albatrosses),Procellariiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes
Phoebastria nigripes,Black-footed Albatross,Phoebastria nigripes,Black-footed Albatross,PROCELLARIIFORMES,Diomedeidae,Near-threatened,Near-threatened,Near-threatened,Near-threatened,ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Black-footed Albatross,Phoebastria nigripes,"western Hawaiian Islands, and Izu, Bonin, and southern Ryukyu islands (southern Japan)",Diomedeidae (Albatrosses),Procellariiformes,yes,Near-threatened; Near-threatened; Near-threatened,yes
Phoebetria palpebrata,Light-mantled Albatross,Phoebetria palpebrata,Light-mantled Albatross,PROCELLARIIFORMES,Diomedeidae,Near-threatened,NA,Near-threatened,NA,AFR; ASI; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Light-mantled Albatross,Phoebetria palpebrata,circumpolar subantarctic islands; ranges north to 35°S,Diomedeidae (Albatrosses),Procellariiformes,yes,Near-threatened,yes
Phoenicopterus ruber,American Flamingo,Phoenicopterus ruber,American Flamingo,PHOENICOPTERIFORMES,Phoenicopteridae,NA,Uncertain origin,NA,NA,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,American Flamingo,Phoenicopterus ruber,NA,Phoenicopteridae (Flamingos),Phoenicopteriformes,yes,Uncertain origin,yes
Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Common Redstart,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; SAM; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Common Redstart,Phoenicurus phoenicurus,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Phylloscopus collybita,Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff,PASSERIFORMES,Phylloscopidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Common Chiffchaff,Phylloscopus collybita,NA,Phylloscopidae (Leaf Warblers),Passeriformes,yes,Rare/Accidental,yes
Phylloscopus examinandus,Kamchatka Leaf Warbler,Phylloscopus examinandus,Kamchatka Leaf Warbler,PASSERIFORMES,Phylloscopidae,Rare/Accidental,Rare/Accidental,NA,Rare/Accidental,ASI; AUS; CA; EUR; hol; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Kamchatka Leaf Warbler,Phylloscopus examinandus,"incompletely known; breeds southern Kamchatka, Sakhalin, Kuril Islands, and northeastern Hokkaido; winters at least to Indonesia",Phylloscopidae (Leaf Warblers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Phylloscopus fuscatus,Dusky Warbler,Phylloscopus fuscatus,Dusky Warbler,PASSERIFORMES,Phylloscopidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; AUS; CAM; EUR; hol; MID; NAM; nea; OCE; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Dusky Warbler,Phylloscopus fuscatus,NA,Phylloscopidae (Leaf Warblers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Phylloscopus proregulus,Pallas's Leaf Warbler,Phylloscopus proregulus,Pallas's Leaf Warbler,PASSERIFORMES,Phylloscopidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Pallas's Leaf Warbler,Phylloscopus proregulus,coniferous forest and taiga of eastern Asia; winters to Indochina,Phylloscopidae (Leaf Warblers),Passeriformes,yes,Rare/Accidental,yes
Phylloscopus sibilatrix,Wood Warbler,Phylloscopus sibilatrix,Wood Warbler,PASSERIFORMES,Phylloscopidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Wood Warbler,Phylloscopus sibilatrix,breeds Europe and Russia; winters in tropical Africa,Phylloscopidae (Leaf Warblers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Phylloscopus trochilus,Willow Warbler,Phylloscopus trochilus,Willow Warbler,PASSERIFORMES,Phylloscopidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Willow Warbler,Phylloscopus trochilus,NA,Phylloscopidae (Leaf Warblers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Pinguinus impennis,Great Auk,Pinguinus impennis,Great Auk,CHARADRIIFORMES,Alcidae,Rare/Accidental Extinct,Rare/Accidental Extinct,Rare/Accidental Extinct,NA,ASI; CA; EUR; hol; NAM; nea; oat; pal; US48,yes,NA,NA,NA,NA,NA,no,Great Auk,Pinguinus impennis,"northern North Atlantic; extinct, last reported 1844","Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental Extinct; Rare/Accidental Extinct,yes
Piranga bidentata,Flame-colored Tanager,Piranga bidentata,Flame-colored Tanager,PASSERIFORMES,Cardinalidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Flame-colored Tanager,Piranga bidentata,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Rare/Accidental,yes
Plectrophenax hyperboreus,McKay's Bunting,Plectrophenax hyperboreus,McKay's Bunting,PASSERIFORMES,Calcariidae,NA,Rare/Accidental,Rare/Accidental,Endemic,ASI; CA; hol; NAM; nea; US48; USak,yes,NA,NA,NA,NA,NA,no,McKay's Bunting,Plectrophenax hyperboreus,islands in Bering Sea; winters to coastal Alaska and Aleutian Islands,Calcariidae (Longspurs and Snow Buntings),Passeriformes,yes,Rare/Accidental; Rare/Accidental; Endemic,yes
Pluvialis apricaria,European Golden-Plover,Pluvialis apricaria,European Golden-Plover,CHARADRIIFORMES,Charadriidae,NA,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,European Golden-Plover,Pluvialis apricaria,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Poecile cinctus,Gray-headed Chickadee,Poecile cinctus,Gray-headed Chickadee,PASSERIFORMES,Paridae,NA,NA,NA,Rare/Accidental,ASI; CA; EUR; hol; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Gray-headed Chickadee,Poecile cinctus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Rare/Accidental,yes
Porphyrio flavirostris,Azure Gallinule,Porphyrio flavirostris,Azure Gallinule,GRUIFORMES,Rallidae,Rare/Accidental,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Azure Gallinule,Porphyrio flavirostris,"eastern Colombia to southern Venezuela, the Guianas, northern Argentina, and Brazil","Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rare/Accidental,yes
Porphyrio poliocephalus,Gray-headed Swamphen,Porphyrio poliocephalus,Gray-headed Swamphen,GRUIFORMES,Rallidae,Introduced species,NA,Introduced species,NA,ASI; CAR; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Gray-headed Swamphen,Porphyrio poliocephalus,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Introduced species,yes
Procellaria aequinoctialis,White-chinned Petrel,Procellaria aequinoctialis,White-chinned Petrel,PROCELLARIIFORMES,Procellariidae,Rare/Accidental Vulnerable,NA,Rare/Accidental Vulnerable,NA,AFR; AUS; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,White-chinned Petrel,Procellaria aequinoctialis,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Vulnerable,yes
Procellaria parkinsoni,Parkinson's Petrel,Procellaria parkinsoni,Parkinson's Petrel,PROCELLARIIFORMES,Procellariidae,Vulnerable,NA,Rare/Accidental Vulnerable,NA,AUS; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Parkinson's Petrel,Procellaria parkinsoni,Little and Great Barrier islands (New Zealand); ranges to South America,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Vulnerable,yes
Progne chalybea,Gray-breasted Martin,Progne chalybea,Gray-breasted Martin,PASSERIFORMES,Hirundinidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Gray-breasted Martin,Progne chalybea,NA,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes
Progne cryptoleuca,Cuban Martin,Progne cryptoleuca,Cuban Martin,PASSERIFORMES,Hirundinidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Cuban Martin,Progne cryptoleuca,Cuba including Isla de la Juventud (Isle of Pines; south of western Cuba),Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes
Progne elegans,Southern Martin,Progne elegans,Southern Martin,PASSERIFORMES,Hirundinidae,Rare/Accidental,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Southern Martin,Progne elegans,Bolivia to Uruguay and Argentina; winters to north to Colombia,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes
Progne tapera,Brown-chested Martin,Progne tapera,Brown-chested Martin,PASSERIFORMES,Hirundinidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Brown-chested Martin,Progne tapera,NA,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes
Pseudobulweria rostrata,Tahiti Petrel,Pseudobulweria rostrata,Tahiti Petrel,PROCELLARIIFORMES,Procellariidae,Near-threatened,NA,Rare/Accidental Near-threatened,NA,AFR; ASI; AUS; CAM; hol; MID; NAM; nea; OCE; opa; PAC; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Tahiti Petrel,Pseudobulweria rostrata,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Near-threatened,yes
Psittacara erythrogenys,Red-masked Parakeet,Psittacara erythrogenys,Red-masked Parakeet,PSITTACIFORMES,Psittacidae,Introduced species Near-threatened,NA,Introduced species Near-threatened,NA,CAR; hol; NAM; nea; pal; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-masked Parakeet,Psittacara erythrogenys,arid littoral of western Ecuador and northwestern Peru,Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species Near-threatened,yes
Psittacara holochlorus,Green Parakeet,Psittacara holochlorus,Green Parakeet,PSITTACIFORMES,Psittacidae,NA,NA,Introduced species,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Green Parakeet,Psittacara holochlorus,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species,yes
