scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Hydrobates monorhis,Swinhoe's Storm-Petrel,Hydrobates monorhis,Swinhoe's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae,Rare/Accidental Near-threatened,NA,Rare/Accidental Near-threatened,NA,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; oin; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Swinhoe's Storm-Petrel,Hydrobates monorhis,breeds islands off Japan; disperses to northern Indian Ocean,Hydrobatidae (Northern Storm-Petrels),Procellariiformes,yes,Rare/Accidental Near-threatened,yes
Hydrobates pelagicus,European Storm-Petrel,Hydrobates pelagicus,European Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae,NA,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; oat; pal; US48; XX,yes,NA,NA,NA,NA,NA,no,European Storm-Petrel,Hydrobates pelagicus,NA,Hydrobatidae (Northern Storm-Petrels),Procellariiformes,yes,Rare/Accidental; Rare/Accidental,yes
Hydrobates socorroensis,Townsend's Storm-Petrel,Hydrobates socorroensis,Townsend's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae,Endangered,NA,Endangered,NA,CAM; hol; NAM; nea; US48; XX,yes,NA,NA,NA,NA,NA,no,Townsend's Storm-Petrel,Hydrobates socorroensis,summer breeder on islets off Guadalupe Island (western Mexico); ranges in eastern Pacific north to southern California and southward to ca. 10°N,Hydrobatidae (Northern Storm-Petrels),Procellariiformes,yes,Endangered,yes
Hydrobates tethys,Wedge-rumped Storm-Petrel,Hydrobates tethys,Wedge-rumped Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; opa; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Wedge-rumped Storm-Petrel,Hydrobates tethys,NA,Hydrobatidae (Northern Storm-Petrels),Procellariiformes,yes,Rare/Accidental,yes
Hydrobates tristrami,Tristram's Storm-Petrel,Hydrobates tristrami,Tristram's Storm-Petrel,PROCELLARIIFORMES,Hydrobatidae,NA,NA,Rare/Accidental,NA,ASI; AUS; hol; NAM; nea; OCE; PAC; pal; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Tristram's Storm-Petrel,Hydrobates tristrami,"breeds and ranges Hawaii, Izu, and Volcano islands",Hydrobatidae (Northern Storm-Petrels),Procellariiformes,yes,Rare/Accidental,yes
Ichthyaetus ichthyaetus,Pallas's Gull,Ichthyaetus ichthyaetus,Pallas's Gull,CHARADRIIFORMES,Laridae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Pallas's Gull,Ichthyaetus ichthyaetus,south-central Asia; winters Mediterranean to southeastern Asia,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes
Icterus abeillei,Black-backed Oriole,Icterus abeillei,Black-backed Oriole,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-backed Oriole,Icterus abeillei,riparian woodland of central plateau and eastern Mexico,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes
Icterus pustulatus,Streak-backed Oriole,Icterus pustulatus,Streak-backed Oriole,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Streak-backed Oriole,Icterus pustulatus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes
Icterus wagleri,Black-vented Oriole,Icterus wagleri,Black-vented Oriole,PASSERIFORMES,Icteridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Black-vented Oriole,Icterus wagleri,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Rare/Accidental,yes
Jabiru mycteria,Jabiru,Jabiru mycteria,Jabiru,CICONIIFORMES,Ciconiidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Jabiru,Jabiru mycteria,west-central Mexico through South America to northeastern Argentina,Ciconiidae (Storks),Ciconiiformes,yes,Rare/Accidental,yes
