common_name,scientific_name,status,order,family,region
Purple Gallinule,Porphyrio martinica,,GRUIFORMES,Rallidae,CAR
Azure Gallinule,Porphyrio flavirostris,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Western Swamphen,Porphyrio porphyrio,Rare/Accidental,GRUIFORMES,Rallidae,CAR
African Swamphen,Porphyrio madagascariensis,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Gray-headed Swamphen,Porphyrio poliocephalus,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Yellow Rail,Coturnicops noveboracensis,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Yellow-breasted Crake,Laterallus flaviventer,,GRUIFORMES,Rallidae,CAR
Black Rail,Laterallus jamaicensis,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Limpkin,Aramus guarauna,,GRUIFORMES,Aramidae,CAR
Sandhill Crane,Antigone canadensis,,GRUIFORMES,Gruidae,CAR
Double-striped Thick-knee,Hesperoburhinus bistriatus,,CHARADRIIFORMES,Burhinidae,CAR
Black-winged Stilt,Himantopus himantopus,Rare/Accidental,CHARADRIIFORMES,Recurvirostridae,CAR
Black-necked Stilt,Himantopus mexicanus,,CHARADRIIFORMES,Recurvirostridae,CAR
American Avocet,Recurvirostra americana,,CHARADRIIFORMES,Recurvirostridae,CAR
American Oystercatcher,Haematopus palliatus,,CHARADRIIFORMES,Haematopodidae,CAR
Black-bellied Plover,Pluvialis squatarola,Vulnerable,CHARADRIIFORMES,Charadriidae,CAR
American Golden-Plover,Pluvialis dominica,,CHARADRIIFORMES,Charadriidae,CAR
Pacific Golden-Plover,Pluvialis fulva,,CHARADRIIFORMES,Charadriidae,CAR
Eurasian Dotterel,Eudromias morinellus,Rare/Accidental,CHARADRIIFORMES,Charadriidae,CAR
Killdeer,Charadrius vociferus,Near-threatened,CHARADRIIFORMES,Charadriidae,CAR
Common Ringed Plover,Charadrius hiaticula,Rare/Accidental,CHARADRIIFORMES,Charadriidae,CAR
Semipalmated Plover,Charadrius semipalmatus,,CHARADRIIFORMES,Charadriidae,CAR
Piping Plover,Charadrius melodus,Near-threatened,CHARADRIIFORMES,Charadriidae,CAR
Little Ringed Plover,Thinornis dubius,Rare/Accidental,CHARADRIIFORMES,Charadriidae,CAR
Northern Lapwing,Vanellus vanellus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Charadriidae,CAR
Southern Lapwing,Vanellus chilensis,,CHARADRIIFORMES,Charadriidae,CAR
Wilson's Plover,Anarhynchus wilsonia,,CHARADRIIFORMES,Charadriidae,CAR
Collared Plover,Anarhynchus collaris,,CHARADRIIFORMES,Charadriidae,CAR
Snowy Plover,Anarhynchus nivosus,Near-threatened,CHARADRIIFORMES,Charadriidae,CAR
Northern Jacana,Jacana spinosa,,CHARADRIIFORMES,Jacanidae,CAR
Wattled Jacana,Jacana jacana,Rare/Accidental,CHARADRIIFORMES,Jacanidae,CAR
Upland Sandpiper,Bartramia longicauda,,CHARADRIIFORMES,Scolopacidae,CAR
Whimbrel,Numenius phaeopus,,CHARADRIIFORMES,Scolopacidae,CAR
Eskimo Curlew,Numenius borealis,Rare/Accidental Critically endangered (possibly extinct),CHARADRIIFORMES,Scolopacidae,CAR
Long-billed Curlew,Numenius americanus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Eurasian Curlew,Numenius arquata,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Bar-tailed Godwit,Limosa lapponica,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Black-tailed Godwit,Limosa limosa,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Hudsonian Godwit,Limosa haemastica,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Marbled Godwit,Limosa fedoa,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Short-billed Dowitcher,Limnodromus griseus,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Long-billed Dowitcher,Limnodromus scolopaceus,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Jack Snipe,Lymnocryptes minimus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
American Woodcock,Scolopax minor,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Common Snipe,Gallinago gallinago,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Wilson's Snipe,Gallinago delicata,,CHARADRIIFORMES,Scolopacidae,CAR
Wilson's Phalarope,Phalaropus tricolor,,CHARADRIIFORMES,Scolopacidae,CAR
Red Phalarope,Phalaropus fulicarius,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Red-necked Phalarope,Phalaropus lobatus,,CHARADRIIFORMES,Scolopacidae,CAR
Terek Sandpiper,Xenus cinereus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Spotted Sandpiper,Actitis macularius,,CHARADRIIFORMES,Scolopacidae,CAR
Green Sandpiper,Tringa ochropus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Solitary Sandpiper,Tringa solitaria,,CHARADRIIFORMES,Scolopacidae,CAR
Wood Sandpiper,Tringa glareola,,CHARADRIIFORMES,Scolopacidae,CAR
Common Redshank,Tringa totanus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Lesser Yellowlegs,Tringa flavipes,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Willet,Tringa semipalmata,,CHARADRIIFORMES,Scolopacidae,CAR
Spotted Redshank,Tringa erythropus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Common Greenshank,Tringa nebularia,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Greater Yellowlegs,Tringa melanoleuca,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Ruddy Turnstone,Arenaria interpres,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Red Knot,Calidris canutus,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Ruff,Calidris pugnax,,CHARADRIIFORMES,Scolopacidae,CAR
Sharp-tailed Sandpiper,Calidris acuminata,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Curlew Sandpiper,Calidris ferruginea,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Stilt Sandpiper,Calidris himantopus,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Red-necked Stint,Calidris ruficollis,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Buff-breasted Sandpiper,Calidris subruficollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Sanderling,Calidris alba,,CHARADRIIFORMES,Scolopacidae,CAR
Dunlin,Calidris alpina,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Purple Sandpiper,Calidris maritima,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
Baird's Sandpiper,Calidris bairdii,,CHARADRIIFORMES,Scolopacidae,CAR
Little Stint,Calidris minuta,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,CAR
White-rumped Sandpiper,Calidris fuscicollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,CAR
Least Sandpiper,Calidris minutilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Pectoral Sandpiper,Calidris melanotos,,CHARADRIIFORMES,Scolopacidae,CAR
Western Sandpiper,Calidris mauri,,CHARADRIIFORMES,Scolopacidae,CAR
Semipalmated Sandpiper,Calidris pusilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,CAR
Collared Pratincole,Glareola pratincola,Rare/Accidental,CHARADRIIFORMES,Glareolidae,CAR
Long-tailed Jaeger,Stercorarius longicaudus,,CHARADRIIFORMES,Stercorariidae,CAR
Parasitic Jaeger,Stercorarius parasiticus,,CHARADRIIFORMES,Stercorariidae,CAR
Pomarine Jaeger,Stercorarius pomarinus,,CHARADRIIFORMES,Stercorariidae,CAR
Great Skua,Stercorarius skua,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,CAR
Brown Skua,Stercorarius antarcticus,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,CAR
South Polar Skua,Stercorarius maccormicki,,CHARADRIIFORMES,Stercorariidae,CAR
Atlantic Puffin,Fratercula arctica,Rare/Accidental Vulnerable,CHARADRIIFORMES,Alcidae,CAR
Razorbill,Alca torda,Rare/Accidental,CHARADRIIFORMES,Alcidae,CAR
Dovekie,Alle alle,Rare/Accidental,CHARADRIIFORMES,Alcidae,CAR
Little Gull,Hydrocoloeus minutus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Black-legged Kittiwake,Rissa tridactyla,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,CAR
Sabine's Gull,Xema sabini,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Slender-billed Gull,Chroicocephalus genei,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Bonaparte's Gull,Chroicocephalus philadelphia,,CHARADRIIFORMES,Laridae,CAR
Black-headed Gull,Chroicocephalus ridibundus,,CHARADRIIFORMES,Laridae,CAR
Gray-hooded Gull,Chroicocephalus cirrocephalus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Laughing Gull,Leucophaeus atricilla,,CHARADRIIFORMES,Laridae,CAR
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Audouin's Gull,Ichthyaetus audouinii,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,CAR
Black-tailed Gull,Larus crassirostris,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Common Gull,Larus canus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Ring-billed Gull,Larus delawarensis,,CHARADRIIFORMES,Laridae,CAR
Kelp Gull,Larus dominicanus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
American Herring Gull,Larus smithsonianus,,CHARADRIIFORMES,Laridae,CAR
European Herring Gull,Larus argentatus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Yellow-legged Gull,Larus michahellis,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Great Black-backed Gull,Larus marinus,,CHARADRIIFORMES,Laridae,CAR
Glaucous Gull,Larus hyperboreus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Lesser Black-backed Gull,Larus fuscus,,CHARADRIIFORMES,Laridae,CAR
California Gull,Larus californicus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Iceland Gull,Larus glaucoides,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Black Skimmer,Rynchops niger,,CHARADRIIFORMES,Laridae,CAR
White Tern,Gygis alba,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Brown Noddy,Anous stolidus,,CHARADRIIFORMES,Laridae,CAR
Black Noddy,Anous minutus,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Sooty Tern,Onychoprion fuscatus,,CHARADRIIFORMES,Laridae,CAR
Bridled Tern,Onychoprion anaethetus,,CHARADRIIFORMES,Laridae,CAR
Least Tern,Sternula antillarum,,CHARADRIIFORMES,Laridae,CAR
Large-billed Tern,Phaetusa simplex,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Gull-billed Tern,Gelochelidon nilotica,,CHARADRIIFORMES,Laridae,CAR
Caspian Tern,Hydroprogne caspia,,CHARADRIIFORMES,Laridae,CAR
Whiskered Tern,Chlidonias hybrida,Rare/Accidental,CHARADRIIFORMES,Laridae,CAR
Black Tern,Chlidonias niger,,CHARADRIIFORMES,Laridae,CAR
White-winged Tern,Chlidonias leucopterus,,CHARADRIIFORMES,Laridae,CAR
Forster's Tern,Sterna forsteri,,CHARADRIIFORMES,Laridae,CAR
Arctic Tern,Sterna paradisaea,,CHARADRIIFORMES,Laridae,CAR
Common Tern,Sterna hirundo,,CHARADRIIFORMES,Laridae,CAR
Roseate Tern,Sterna dougallii,,CHARADRIIFORMES,Laridae,CAR
Sandwich Tern,Thalasseus sandvicensis,,CHARADRIIFORMES,Laridae,CAR
Royal Tern,Thalasseus maximus,,CHARADRIIFORMES,Laridae,CAR
American Flamingo,Phoenicopterus ruber,,PHOENICOPTERIFORMES,Phoenicopteridae,CAR
Least Grebe,Tachybaptus dominicus,,PODICIPEDIFORMES,Podicipedidae,CAR
Pied-billed Grebe,Podilymbus podiceps,,PODICIPEDIFORMES,Podicipedidae,CAR
Horned Grebe,Podiceps auritus,Vulnerable,PODICIPEDIFORMES,Podicipedidae,CAR
Red-necked Grebe,Podiceps grisegena,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,CAR
Eared Grebe,Podiceps nigricollis,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,CAR
White-tailed Tropicbird,Phaethon lepturus,,PHAETHONTIFORMES,Phaethontidae,CAR
Red-billed Tropicbird,Phaethon aethereus,,PHAETHONTIFORMES,Phaethontidae,CAR
Pacific Loon,Gavia pacifica,Rare/Accidental,GAVIIFORMES,Gaviidae,CAR
Common Loon,Gavia immer,Rare/Accidental,GAVIIFORMES,Gaviidae,CAR
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Endangered,PROCELLARIIFORMES,Diomedeidae,CAR
Black-browed Albatross,Thalassarche melanophris,Rare/Accidental,PROCELLARIIFORMES,Diomedeidae,CAR
Wilson's Storm-Petrel,Oceanites oceanicus,,PROCELLARIIFORMES,Oceanitidae,CAR
Leach's Storm-Petrel,Hydrobates leucorhous,Vulnerable,PROCELLARIIFORMES,Hydrobatidae,CAR
Band-rumped Storm-Petrel,Hydrobates castro,,PROCELLARIIFORMES,Hydrobatidae,CAR
