cavitynest_interactor,Region,recorder,InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,BBS_Seq,BBS_AOU2023,new_in_2023BBS_specieslist,SpeciesList,notes
,CONUS & Canada,IH ,11/10/2023-11/14/2023,"Carboneras, C., D. A. Christie, and G. M. Kirwan (2020). Eurasian Wigeon (Mareca penelope), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.eurwig.01",Mareca,penelope,Eurasian Wigeon,Canard siffleur,Mareca penelope,Anseriformes,Anatidae,37,1360,,BBS2022,
tertiary,CONUS & Canada,EP,11/25/2022,"Mini, A. E., E. R. Harrington, E. Rucker, B. D. Dugger, and T. B. Mowbray (2020). American Wigeon (Mareca americana), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.amewig.01",Mareca,americana,American Wigeon,Canard d'Amérique,Mareca americana,Anseriformes,Anatidae,38,1370,,BBS2022,
tertiary,CONUS & Canada,JF,10/4/22,"Drilling, N., R. D. Titman, and F. McKinney (2020). Mallard (Anas platyrhynchos), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.mallar3.01",Anas,platyrhynchos,Mallard,Canard colvert,Anas platyrhynchos,Anseriformes,Anatidae,40,1320,,BBS2022,
,CONUS & Canada,CR,12/12/2023,"Drilling, N., S. O. Williams III, R. D. Titman, and F. McKinney (2020). Mexican Duck (Anas diazi), version 1.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.mexduc.01",Anas,diazi,Mexican Duck,Canard du Mexique,Anas diazi,Anseriformes,Anatidae,43,1331,yes,BBS2022,
tertiary,CONUS & Canada,EP,11/25/2022,"Longcore, J. R., D. G. McAuley, G. R. Hepp, and J. M. Rhymer (2020). American Black Duck (Anas rubripes), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.ambduc.01",Anas,rubripes,American Black Duck,Canard noir,Anas rubripes,Anseriformes,Anatidae,42,1330,,BBS2022,
,CONUS & Canada,IH ,11/10/2023-11/14/2023,"Bielefeld, R. R., M. G. Brasher, T. E. Moorman, and P. N. Gray (2020). Mottled Duck (Anas fulvigula), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.motduc.01",Anas,fulvigula,Mottled Duck,Canard brun,Anas fulvigula,Anseriformes,Anatidae,43,1340,,BBS2022,
,CONUS & Canada,,N/A; hybrid species,,Anas,platyrhynchos x rubripes / diazi / fulvigula,hybrid Mallard x Black / Mexican / Mottled Duck,hybride Canard colvert x noir / Mexique / brun,Anas platyrhynchos x rubripes or fulvigula,Anseriformes,Anatidae,46,1326,yes,BBS2022,
tertiary,CONUS & Canada,EP/IH (need to merge),11/30/2022,"Clark, R. G., J. P. Fleskes, K. L. Guyn, D. A. Haukos, J. E. Austin, and M. R. Miller (2020). Northern Pintail (Anas acuta), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norpin.01",Anas,acuta,Northern Pintail,Canard pilet,Anas acuta,Anseriformes,Anatidae,46,1430,,BBS2022,
tertiary,CONUS & Canada,EP/IH (need to merge),11/30/2022-12/1/2022,"Johnson, K., C. Carboneras, D. A. Christie, and G. M. Kirwan (2020). Green-winged Teal (Anas crecca), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gnwtea.01",Anas,crecca,Green-winged Teal,Sarcelle d'hiver,Anas crecca,Anseriformes,Anatidae,47,1390,,BBS2022,
tertiary,CONUS & Canada,IH,12/1/2022,"Mowbray, T. B. (2020). Canvasback (Aythya valisineria), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.canvas.01",Aythya,valisineria,Canvasback,Fuligule à dos blanc,Aythya valisineria,Anseriformes,Anatidae,48,1470,,BBS2022,
tertiary,CONUS & Canada,IH,12/1/2022-12/6/2022,"Woodin, M. C. and T. C. Michot (2020). Redhead (Aythya americana), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.redhea.01",Aythya,americana,Redhead,Fuligule à tête rouge,Aythya americana,Anseriformes,Anatidae,49,1460,,BBS2022,
tertiary,CONUS & Canada,IH,12/6/2022-1/10/2023,"Roy, C. L., C. M. Herwig, W. L. Hohman, and R. T. Eberhardt (2020). Ring-necked Duck (Aythya collaris), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.rinduc.01",Aythya,collaris,Ring-necked Duck,Fuligule à collier,Aythya collaris,Anseriformes,Anatidae,51,1500,,BBS2022,
quaternary,CONUS & Canada,GD,9/11/2023-9/12/2023,"Carboneras, C. and G. M. Kirwan (2020). Tufted Duck (Aythya fuligula), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.tufduc.01",Aythya,fuligula,Tufted Duck,Fuligule morillon,Aythya fuligula,Anseriformes,Anatidae,52,1491,,BBS2022,
tertiary,CONUS & Canada,JZ,12/1/2022,"Kessel, B., D. A. Rocque, and J. S. Barclay (2020). Greater Scaup (Aythya marila), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gresca.01",Aythya,marila,Greater Scaup,Fuligule milouinan,Aythya marila,Anseriformes,Anatidae,53,1480,,BBS2022,
tertiary,CONUS & Canada,JZ,12/14/2022,"Anteau, M. J., J. DeVink, D. N. Koons, J. E. Austin, C. M. Custer, and A. D. Afton (2020). Lesser Scaup (Aythya affinis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.lessca.01",Aythya,affinis,Lesser Scaup,Petit Fuligule,Aythya affinis,Anseriformes,Anatidae,54,1490,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Aythya,marila / affinis,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Aythya marila / affinis,Anseriformes,Anatidae,55,1489,,BBS2022,
quaternary,CONUS & Canada,IH ,9/15/2023,"Fredrickson, L. H. (2020). Steller's Eider (Polysticta stelleri), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.steeid.01",Polysticta,stelleri,Steller's Eider,Eider de Steller,Polysticta stelleri,Anseriformes,Anatidae,56,1570,yes,BBS2022,
quaternary,CONUS & Canada,IH ,9/15/2023-9/21/2023,"Petersen, M. R., J. B. Grand, and C. P. Dau (2020). Spectacled Eider (Somateria fischeri), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.speeid.01",Somateria,fischeri,Spectacled Eider,Eider à lunettes,Somateria fischeri,Anseriformes,Anatidae,57,1580,yes,BBS2022,
quaternary,CONUS & Canada,GD,9/15/2023-9/18/2023,"Powell, A. N. and R. S. Suydam (2020). King Eider (Somateria spectabilis), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.kineid.01",Somateria,spectabilis,King Eider,Eider à tête grise,Somateria spectabilis,Anseriformes,Anatidae,58,1620,,BBS2022,
tertiary,CONUS & Canada,JZ,1/6/2023,"Goudie, R. I., G. J. Robertson, and A. Reed (2020). Common Eider (Somateria mollissima), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.comeid.01",Somateria,mollissima,Common Eider,Eider à duvet,Somateria mollissima,Anseriformes,Anatidae,59,1590,,BBS2022,
quaternary,CONUS & Canada,GD,9/18/23,"Robertson, G. J. and R. I. Goudie (2020). Harlequin Duck (Histrionicus histrionicus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.harduc.01",Histrionicus,histrionicus,Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,Anseriformes,Anatidae,60,1550,,BBS2022,
tertiary,CONUS & Canada,JZ,11/17/2022,"Anderson, E. M., R. D. Dickson, E. K. Lok, E. C. Palm, J.-P. L. Savard, D. Bordage, and A. Reed (2020). Surf Scoter (Melanitta perspicillata), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.sursco.01",Melanitta,perspicillata,Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,Anseriformes,Anatidae,61,1660,,BBS2022,
quaternary,CONUS & Canada,IH ,9/21/2023-9/22/2023,"Brown, P. W. and L. H. Fredrickson (2020). White-winged Scoter (Melanitta deglandi), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.whwsco2.01",Melanitta,deglandi,White-winged Scoter,Macreuse à ailes blanches,Melanitta deglandi,Anseriformes,Anatidae,62,1650,,BBS2022,
,CONUS & Canada,EH,11/10/2023,"Bordage, D. and J.-P. L. Savard (2020). Black Scoter (Melanitta americana), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.blksco2.01",Melanitta,americana,Black Scoter,Macreuse à bec jaune,Melanitta americana,Anseriformes,Anatidae,65,1630,,BBS2022,
quaternary,CONUS & Canada,,N/A; unidentified species,,Melanitta,sp.,unid. scoter,unid macreuse sp.,Melanitta sp.,Anseriformes,Anatidae,66,1657,,BBS2022,
tertiary,CONUS & Canada,EP,12/1/2022,"Robertson, G. J. and J.-P. L. Savard (2020). Long-tailed Duck (Clangula hyemalis), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.lotduc.01",Clangula,hyemalis,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Anseriformes,Anatidae,67,1540,,BBS2022,
secondary,CONUS & Canada,MB/IH,2/22/2022-09/14/2022,"Gauthier, G. (2020). Bufflehead (Bucephala albeola), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.buffle.01",Bucephala,albeola,Bufflehead,Petit Garrot,Bucephala albeola,Anseriformes,Anatidae,68,1530,,BBS2022,
secondary,CONUS & Canada,MB/IH,2/22/2022-9/14/2022,"Eadie, J. M., M. L. Mallory, and H. G. Lumsden (2020). Common Goldeneye (Bucephala clangula), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.comgol.01",Bucephala,clangula,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,Anseriformes,Anatidae,69,1510,,BBS2022,
secondary,CONUS & Canada,IH,3/19/2019-9/13/2022,"Eadie, J. M., J.-P. L. Savard, and M. L. Mallory (2020). Barrow's Goldeneye (Bucephala islandica), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bargol.01",Bucephala,islandica,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,Anseriformes,Anatidae,70,1520,,BBS2022,
,CONUS & Canada,,N/A; unidentified species,,Bucephala,clangula / islandica,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Bucephala clangula / islandica,Anseriformes,Anatidae,71,1512,,BBS2022,
secondary,CONUS & Canada,EP,4/3/22,"Dugger, B. D., K. M. Dugger, and L. H. Fredrickson (2020). Hooded Merganser (Lophodytes cucullatus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.hoomer.01",Lophodytes,cucullatus,Hooded Merganser,Harle couronné,Lophodytes cucullatus,Anseriformes,Anatidae,73,1310,,BBS2022,
secondary,CONUS & Canada,EP,4/3/2022,"Pearce, J., M. L. Mallory, and K. Metz (2020). Common Merganser (Mergus merganser), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.commer.01",Mergus,merganser,Common Merganser,Grand Harle,Mergus merganser,Anseriformes,Anatidae,74,1290,,BBS2022,
tertiary,CONUS & Canada,IH,11/17/2022-11/18/2022,"Craik, S., J. Pearce, and R. D. Titman (2020). Red-breasted Merganser (Mergus serrator), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rebmer.01",Mergus,serrator,Red-breasted Merganser,Harle huppé,Mergus serrator,Anseriformes,Anatidae,75,1300,,BBS2022,
quaternary,CONUS & Canada,IH,9/22/2023-9/28/2023,"Brua, R. B. (2020). Ruddy Duck (Oxyura jamaicensis), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.rudduc.01",Oxyura,jamaicensis,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Anseriformes,Anatidae,77,1670,,BBS2022,
tertiary,CONUS & Canada,EP,12/6/2022,"Peterson, M. J. (2020). Plain Chachalaca (Ortalis vetula), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.placha.01",Ortalis,vetula,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,Galliformes,Cracidae,78,3110,,BBS2022,
tertiary,CONUS & Canada,EP,4/9/2019; checked 9/20/2022,"Gutiérrez, R. J. and D. J. Delehanty (2020). Mountain Quail (Oreortyx pictus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.mouqua.01",Oreortyx,pictus,Mountain Quail,Colin des montagnes,Oreortyx pictus,Galliformes,Odontophoridae,86,2920,,BBS2022,
tertiary,CONUS & Canada,EP,12/6/2022,"Brennan, L. A., F. Hernandez, and D. Williford (2020). Northern Bobwhite (Colinus virginianus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norbob.01",Colinus,virginianus,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Galliformes,Odontophoridae,91,2890,,BBS2022,
tertiary,CONUS & Canada,EP,12/6/2022,"Dabbert, C. B., G. Pleasant, and S. D. Schemnitz (2020). Scaled Quail (Callipepla squamata), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.scaqua.01",Callipepla,squamata,Scaled Quail,Colin écaillé,Callipepla squamata,Galliformes,Odontophoridae,93,2930,,BBS2022,
tertiary,CONUS & Canada,EP,12/2/2022,"Calkins, J. D., J. M. Gee, J. C. Hagelin, and D. F. Lott (2020). California Quail (Callipepla californica), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.calqua.01",Callipepla,californica,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,95,2940,,BBS2022,
