scientific_name.raw,common_name.raw,scientific_name.edit,edit_notes,comments
Carduelis carduelis paropanisi,Eastern European Goldfinch,Carduelis caniceps paropanisi,Update to checklist Gray-crowned Goldfinch=(Carduelis caniceps). edited to match checklist (Clements 2024),"FAILED  common name match:  European Greenfinch 0.8 Chloris chloris ; scientific name match:  Carduelis carduelis parva 0.92. BOW account shows update to Carduelis caniceps paropanisi. 'The former caniceps group of subspecies, containing subspecies C. c. caniceps, C. c. paropanisi, C. c. subulata, and C. c. ultima, were shifted to a separate species, the grey-crowned goldfinch, by the International Ornithological Congress in 2023.   Carduelis caniceps paropanisi is the Grey-crowned Goldfinch (occurs in Asia only)'    "
Carduelis carduelis subulata,Eastern European Goldfinch,Carduelis caniceps subulata,Update to checklist Gray-crowned Goldfinch=(Carduelis caniceps). edited to match checklist (Clements 2024)," FAILED  common name match:  European Greenfinch 0.8 Chloris chloris ; scientific name match:  Carduelis carduelis 0.89 'The former caniceps group of subspecies, containing subspecies C. c. caniceps, C. c. paropanisi, C. c. subulata, and C. c. ultima, were shifted to a separate species, the grey-crowned goldfinch, by the International Ornithological Congress in 2023.   "
Chen rossii,Ross' Goose,Anser rossii,Update to checklist Ross's Goose=Anser rossii. edited to match checklist (Clements 2024),OK common name match:  Ross's Goose 0.91 Anser rossii ; scientific name match:  Machetornis rixosa 0.78 ;
Chrysococcyx lucidus layardi,New Caledonian Bronze-Cuckoo,Chalcites lucidus layardi,Update to checklist Shining Bronze-Cuckoo (New Caledonian)=Chalcites lucidus layardi. edited to match checklist (Clements 2024),FAILED common name match:  New Caledonian Crow 0.84 Corvus moneduloides ; scientific name match:  Chrysococcyx flavigularis 0.85 ;
Chrysococcyx lucidus plagosus,Golden Bronze-Cuckoo,Chalcites lucidus plagosus,Update to checklist Shining Bronze-Cuckoo (Golden)=Chalcites lucidus plagosus. edited to match checklist (Clements 2024),FAILED  common name match:  Horsfield's Bronze-Cuckoo 0.82 Chalcites basalis ; scientific name match:  Chrysococcyx caprius 0.82 ;
Chrysococcyx minutillus poecilurus,Gould's Bronze-Cuckoo,Chalcites minutillus poecilurus,Update to checklist Chalcites minutillus poecilurus. No common name in Clements. edited to match checklist (Clements 2024),FAILED  common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.86 ;
Chrysococcyx minutillus rufomerus,Banda Bronze-Cuckoo,Chalcites minutillus rufomerus,Update to checklist Chalcites minutillus rufomerus. No common name in Clements. edited to match checklist (Clements 2024),FAILED  common name match:  Pied Bronze-Cuckoo 0.81 Chalcites crassirostris ; scientific name match:  Chrysococcyx cupreus insularum 0.83 ;
Chrysococcyx minutillus rufomerus,Gould's Bronze-Cuckoo,Chalcites minutillus rufomerus,Update to checklist Chalcites minutillus rufomerus. No common name in Clements. edited to match checklist (Clements 2024),FAILED  common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.83 ;
Chrysococcyx minutillus russatus,Gould's Bronze-Cuckoo,Chalcites minutillus russatus,Update to checklist Chalcites minutillus russatus. No common name in Clements. edited to match checklist (Clements 2024),FAILED  common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.82 ;
Circus dossenus,Wood Harrier,,, common name match:  Pied Harrier 0.83 Circus melanoleucos ; scientific name match:  Circus hudsonius 0.84 ;
Colaptes cafer,Red-Shafted Flicker,Colaptes auratus cafer,GBIF:6177452,"REVIEW GBIF sugggestions, these have been made already by the workflow.  If correct, then this row can be deleted from this table"
Colaptes cafer,Red-Shafted Flicker,,, common name match:  Red-tailed Shrike 0.83 Lanius phoenicuroides ; scientific name match:  Colaptes campestris 0.87 ;
Columbina livia,Rock Dove,Columba livia,"typo, This is 'Rock Dove' which is also known as Rock Pigeon. match checklist (Clements 2024)", common name match:  Stock Dove 0.9 Columba oenas ; scientific name match:  Columbina inca 0.89 ;
Corvus caurinus,Northwestern Crow,Corvus brachyrhynchos caurinus,, REVIEW.  Is this the correct subspecies for this common name?  this common name is not on the checklist.  previous comment:  there is a case to keep Corvus caurinus as a species: https://bcbirds.bcfo.ca/wp-content/uploads/2021/11/butler.pdf  but the non-sub species 'Corvus caurinus' isn't on Clements checklist.    common name match:  Worthen's Sparrow 0.78 Spizella wortheni ; scientific name match:  Corvus nasicus 0.88 ;
Cuculus canorus telephonus,Common Cuckoo,,,"OVERRIDE automatic match was to Cuculus canorus subtelephonus, a cuckoo subspecies in Asia only that does not have an english common name"
Cyanoderma ambiguum,Buff-Chested Babbler,,, common name match:  Gray-chested Babbler 0.87 Kakamega poliothorax ; scientific name match:  Cyanoderma sp. 0.84 ;
Dendroica nigrescens,Gray Warbler,Setophaga nigrescens,GBIF:7341770,"REVIEW GBIF sugggestions, these have been made already by the workflow.  If correct, then this row can be deleted from this table"
Dendroica nigrescens,Gray Warbler,,, common name match:  Gray Warbler-Finch 0.89 Certhidea fusca ; scientific name match:  Dendrocitta cinerascens 0.87 ;
Dendroica petechia (erithachordies),Yellow Warbler,Setophaga petechia [erithachorides Group],match sub-species to checklist Clements 2024,"OVERRIDE common name was just Yellow warbler so it matched, but subspecies ""Yellow Warbler (Mangrove) BOW and checklist: Setophaga petechia [erithachorides Group]"""
Duck sp.,Unid. Duck,Anatidae sp.,"TYPO, match to checklist",UNID
Empidonax occidentalis,Western Flycater (Occidentalis/Hellmayri Group),,, common name match:  Western Flycatcher 0.76 Empidonax difficilis ; scientific name match:  Empidonax flaviventris 0.82 ;
Empidonax occidentalis,Cordilleran Flycatcher,,, common name match:  Cordilleran Canastero 0.86 Asthenes modesta ; scientific name match:  Empidonax flaviventris 0.82 ;
