common_name,scientific_name,status,order,family,region,in_LaSelva-Barva_studies?,previously_done?,recorder,entry_dates,BOW_citation,Notes
Long-billed Dowitcher,Limnodromus scolopaceus,Near-threatened,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Wilson's Snipe,Gallinago delicata,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Spotted Sandpiper,Actitis macularius,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Solitary Sandpiper,Tringa solitaria,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Lesser Yellowlegs,Tringa flavipes,Vulnerable,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Willet,Tringa semipalmata,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Greater Yellowlegs,Tringa melanoleuca,Near-threatened,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Stilt Sandpiper,Calidris himantopus,Near-threatened,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Buff-breasted Sandpiper,Calidris subruficollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Sanderling,Calidris alba,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Baird's Sandpiper,Calidris bairdii,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
White-rumped Sandpiper,Calidris fuscicollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Least Sandpiper,Calidris minutilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Pectoral Sandpiper,Calidris melanotos,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Western Sandpiper,Calidris mauri,,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Semipalmated Sandpiper,Calidris pusilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,CRhe,,,,,,
Pomarine Jaeger,Stercorarius pomarinus,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,CRhe,,,,,,
Sabine's Gull,Xema sabini,,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Laughing Gull,Leucophaeus atricilla,,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Black Skimmer,Rynchops niger,,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Sooty Tern,Onychoprion fuscatus,Rare/Accidental,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Gull-billed Tern,Gelochelidon nilotica,,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Black Tern,Chlidonias niger,,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Royal Tern,Thalasseus maximus,Rare/Accidental,CHARADRIIFORMES,Laridae,CRhe,,,,,,
Least Grebe,Tachybaptus dominicus,,PODICIPEDIFORMES,Podicipedidae,CRhe,,,,,,
Pied-billed Grebe,Podilymbus podiceps,,PODICIPEDIFORMES,Podicipedidae,CRhe,,,,,,
Sunbittern,Eurypyga helias,,EURYPYGIFORMES,Eurypygidae,CRhe,,,,,,
Jabiru,Jabiru mycteria,,CICONIIFORMES,Ciconiidae,CRhe,,,,,,
Wood Stork,Mycteria americana,,CICONIIFORMES,Ciconiidae,CRhe,,,,,,
Magnificent Frigatebird,Fregata magnificens,,SULIFORMES,Fregatidae,CRhe,,,,,,
Anhinga,Anhinga anhinga,,SULIFORMES,Anhingidae,CRhe,,,,,,
Neotropic Cormorant,Nannopterum brasilianum,,SULIFORMES,Phalacrocoracidae,CRhe,,,,,,
White Ibis,Eudocimus albus,,PELECANIFORMES,Threskiornithidae,CRhe,,,,,,
Glossy Ibis,Plegadis falcinellus,,PELECANIFORMES,Threskiornithidae,CRhe,,,,,,
Green Ibis,Mesembrinibis cayennensis,,PELECANIFORMES,Threskiornithidae,CRhe,yes,,,,,
Roseate Spoonbill,Platalea ajaja,,PELECANIFORMES,Threskiornithidae,CRhe,,,,,,
Rufescent Tiger-Heron,Tigrisoma lineatum,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Bare-throated Tiger-Heron,Tigrisoma mexicanum,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Fasciated Tiger-Heron,Tigrisoma fasciatum,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Boat-billed Heron,Cochlearius cochlearius,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Agami Heron,Agamia agami,Near-threatened,PELECANIFORMES,Ardeidae,CRhe,yes,,,,,
Pinnated Bittern,Botaurus pinnatus,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Least Bittern,Botaurus exilis,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Yellow-crowned Night Heron,Nyctanassa violacea,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Black-crowned Night Heron,Nycticorax nycticorax,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Little Blue Heron,Egretta caerulea,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Tricolored Heron,Egretta tricolor,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Reddish Egret,Egretta rufescens,Near-threatened,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Snowy Egret,Egretta thula,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Striated Heron,Butorides striata,Rare/Accidental,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Green Heron,Butorides virescens,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Western Cattle-Egret,Ardea ibis,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Great Egret,Ardea alba,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
Great Blue Heron,Ardea herodias,,PELECANIFORMES,Ardeidae,CRhe,,,,,,
American White Pelican,Pelecanus erythrorhynchos,Rare/Accidental,PELECANIFORMES,Pelecanidae,CRhe,,,,,,
Brown Pelican,Pelecanus occidentalis,,PELECANIFORMES,Pelecanidae,CRhe,,,,,,
King Vulture,Sarcoramphus papa,,CATHARTIFORMES,Cathartidae,CRhe,,,,,,
Black Vulture,Coragyps atratus,,CATHARTIFORMES,Cathartidae,CRhe,yes,,,,,
Turkey Vulture,Cathartes aura,,CATHARTIFORMES,Cathartidae,CRhe,,,,,,
Lesser Yellow-headed Vulture,Cathartes burrovianus,,CATHARTIFORMES,Cathartidae,CRhe,,,,,,
Osprey,Pandion haliaetus,,ACCIPITRIFORMES,Pandionidae,CRhe,,,,,,
Pearl Kite,Gampsonyx swainsonii,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
White-tailed Kite,Elanus leucurus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Hook-billed Kite,Chondrohierax uncinatus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Gray-headed Kite,Leptodon cayanensis,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Swallow-tailed Kite,Elanoides forficatus,,ACCIPITRIFORMES,Accipitridae,CRhe,yes,,,,,
Black Hawk-Eagle,Spizaetus tyrannus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Black-and-white Hawk-Eagle,Spizaetus melanoleucus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Ornate Hawk-Eagle,Spizaetus ornatus,Near-threatened,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Crested Eagle,Morphnus guianensis,Near-threatened,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Harpy Eagle,Harpia harpyja,Vulnerable,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Gray-bellied Hawk,Accipiter poliogaster,Rare/Accidental Near-threatened,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Sharp-shinned Hawk,Accipiter striatus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Bicolored Hawk,Astur bicolor,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Cooper's Hawk,Astur cooperii,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Northern Harrier,Circus hudsonius,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Tiny Hawk,Microspizias superciliosus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Double-toothed Kite,Harpagus bidentatus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Mississippi Kite,Ictinia mississippiensis,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Plumbeous Kite,Ictinia plumbea,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Crane Hawk,Geranospiza caerulescens,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Black-collared Hawk,Busarellus nigricollis,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Snail Kite,Rostrhamus sociabilis,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Barred Hawk,Morphnarchus princeps,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Common Black Hawk,Buteogallus anthracinus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Great Black Hawk,Buteogallus urubitinga,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Solitary Eagle,Buteogallus solitarius,Rare/Accidental Near-threatened,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Roadside Hawk,Rupornis magnirostris,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Harris's Hawk,Parabuteo unicinctus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
White-tailed Hawk,Geranoaetus albicaudatus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
White Hawk,Pseudastur albicollis,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Semiplumbeous Hawk,Leucopternis semiplumbeus,,ACCIPITRIFORMES,Accipitridae,CRhe,yes,,,,,
Gray Hawk,Buteo plagiatus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Gray-lined Hawk,Buteo nitidus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Broad-winged Hawk,Buteo platypterus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Zone-tailed Hawk,Buteo albonotatus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Short-tailed Hawk,Buteo brachyurus,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Swainson's Hawk,Buteo swainsoni,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
Red-tailed Hawk,Buteo jamaicensis,,ACCIPITRIFORMES,Accipitridae,CRhe,,,,,,
American Barn Owl,Tyto furcata,,STRIGIFORMES,Tytonidae,CRhe,,,,,,
Bare-shanked Screech-Owl,Megascops clarkii,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Tropical Screech-Owl,Megascops choliba,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Middle American Screech-Owl,Megascops guatemalae,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Choco Screech-Owl,Megascops centralis,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Pacific Screech-Owl,Megascops cooperi,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Crested Owl,Lophostrix cristata,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Spectacled Owl,Pulsatrix perspicillata,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Great Horned Owl,Bubo virginianus,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Costa Rican Pygmy-Owl,Glaucidium costaricanum,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Central American Pygmy-Owl,Glaucidium griseiceps,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Ferruginous Pygmy-Owl,Glaucidium brasilianum,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Mottled Owl,Strix virgata,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Black-and-white Owl,Strix nigrolineata,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Striped Owl,Asio clamator,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Unspotted Saw-whet Owl,Aegolius ridgwayi,,STRIGIFORMES,Strigidae,CRhe,,,,,,
Resplendent Quetzal,Pharomachrus mocinno,Near-threatened,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Lattice-tailed Trogon,Trogon clathratus,,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Slaty-tailed Trogon,Trogon massena,,TROGONIFORMES,Trogonidae,CRhe,yes,,,,,
Black-headed Trogon,Trogon melanocephalus,,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Baird's Trogon,Trogon bairdii,Near-threatened,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Gartered Violaceous Trogon,Trogon caligatus,,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Graceful Black-throated Trogon,Trogon tenellus,,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Elegant Trogon,Trogon elegans,,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Collared Trogon,Trogon collaris,,TROGONIFORMES,Trogonidae,CRhe,,,,,,
Lesson's Motmot,Momotus lessonii,,CORACIIFORMES,Momotidae,CRhe,,,,,,
Rufous Motmot,Baryphthengus martii,,CORACIIFORMES,Momotidae,CRhe,yes,,,,,
Keel-billed Motmot,Electron carinatum,Vulnerable,CORACIIFORMES,Momotidae,CRhe,,,,,,
Broad-billed Motmot,Electron platyrhynchum,,CORACIIFORMES,Momotidae,CRhe,yes,,,,,
Turquoise-browed Motmot,Eumomota superciliosa,,CORACIIFORMES,Momotidae,CRhe,,,,,,
Ringed Kingfisher,Megaceryle torquata,,CORACIIFORMES,Alcedinidae,CRhe,,,,,,
Belted Kingfisher,Megaceryle alcyon,,CORACIIFORMES,Alcedinidae,CRhe,,,,,,
Amazon Kingfisher,Chloroceryle amazona,,CORACIIFORMES,Alcedinidae,CRhe,,,,,,
American Pygmy Kingfisher,Chloroceryle aenea,,CORACIIFORMES,Alcedinidae,CRhe,,,,,,
Green Kingfisher,Chloroceryle americana,,CORACIIFORMES,Alcedinidae,CRhe,,,,,,
Green-and-rufous Kingfisher,Chloroceryle inda,,CORACIIFORMES,Alcedinidae,CRhe,,,,,,
White-necked Puffbird,Notharchus hyperrhynchus,,GALBULIFORMES,Bucconidae,CRhe,,,,,,
Pied Puffbird,Notharchus tectus,,GALBULIFORMES,Bucconidae,CRhe,,,,,,
White-whiskered Puffbird,Malacoptila panamensis,,GALBULIFORMES,Bucconidae,CRhe,,,,,,
Lanceolated Monklet,Micromonacha lanceolata,,GALBULIFORMES,Bucconidae,CRhe,,,,,,
White-fronted Nunbird,Monasa morphoeus,,GALBULIFORMES,Bucconidae,CRhe,,,,,,
Rufous-tailed Jacamar,Galbula ruficauda,,GALBULIFORMES,Galbulidae,CRhe,,,,,,
Great Jacamar,Jacamerops aureus,,GALBULIFORMES,Galbulidae,CRhe,,,,,,
Red-headed Barbet,Eubucco bourcierii,,PICIFORMES,Capitonidae,CRhe,,,,,,
Prong-billed Barbet,Semnornis frantzii,,PICIFORMES,Semnornithidae,CRhe,,,,,,
Northern Emerald-Toucanet,Aulacorhynchus prasinus,,PICIFORMES,Ramphastidae,CRhe,,,,,,
Collared Aracari,Pteroglossus torquatus,,PICIFORMES,Ramphastidae,CRhe,yes,,,,,
Fiery-billed Aracari,Pteroglossus frantzii,,PICIFORMES,Ramphastidae,CRhe,,,,,,
Yellow-eared Toucanet,Selenidera spectabilis,,PICIFORMES,Ramphastidae,CRhe,,,,,,
Yellow-throated Toucan,Ramphastos ambiguus,,PICIFORMES,Ramphastidae,CRhe,yes,,,,,
Keel-billed Toucan,Ramphastos sulfuratus,Near-threatened,PICIFORMES,Ramphastidae,CRhe,yes,,,,,
Olivaceous Piculet,Picumnus olivaceus,,PICIFORMES,Picidae,CRhe,,,,,,
Yellow-bellied Sapsucker,Sphyrapicus varius,,PICIFORMES,Picidae,CRhe,,,,,,
Acorn Woodpecker,Melanerpes formicivorus,,PICIFORMES,Picidae,CRhe,,,,,,
Golden-naped Woodpecker,Melanerpes chrysauchen,,PICIFORMES,Picidae,CRhe,,,,,,
Black-cheeked Woodpecker,Melanerpes pucherani,,PICIFORMES,Picidae,CRhe,yes,,,,,
Red-crowned Woodpecker,Melanerpes rubricapillus,,PICIFORMES,Picidae,CRhe,,,,,,
Hoffmann's Woodpecker,Melanerpes hoffmannii,,PICIFORMES,Picidae,CRhe,,,,,,
Hairy Woodpecker,Leuconotopicus villosus,,PICIFORMES,Picidae,CRhe,,,,,,
Smoky-brown Woodpecker,Leuconotopicus fumigatus,,PICIFORMES,Picidae,CRhe,,,,,,
Pale-billed Woodpecker,Campephilus guatemalensis,,PICIFORMES,Picidae,CRhe,yes,,,,,
Lineated Woodpecker,Dryocopus lineatus,,PICIFORMES,Picidae,CRhe,,,,,,
Cinnamon Woodpecker,Celeus loricatus,,PICIFORMES,Picidae,CRhe,,,,,,
Chestnut-colored Woodpecker,Celeus castaneus,,PICIFORMES,Picidae,CRhe,yes,,,,,
Rufous-winged Woodpecker,Piculus simplex,,PICIFORMES,Picidae,CRhe,,,,,,
Golden-olive Woodpecker,Colaptes rubiginosus,,PICIFORMES,Picidae,CRhe,,,,,,
Laughing Falcon,Herpetotheres cachinnans,,FALCONIFORMES,Falconidae,CRhe,yes,,,,,
Collared Forest-Falcon,Micrastur semitorquatus,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Slaty-backed Forest-Falcon,Micrastur mirandollei,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Barred Forest-Falcon,Micrastur ruficollis,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Crested Caracara,Caracara plancus,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Red-throated Caracara,Ibycter americanus,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Yellow-headed Caracara,Daptrius chimachima,,FALCONIFORMES,Falconidae,CRhe,,,,,,
American Kestrel,Falco sparverius,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Merlin,Falco columbarius,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Aplomado Falcon,Falco femoralis,Rare/Accidental,FALCONIFORMES,Falconidae,CRhe,,,,,,
Bat Falcon,Falco rufigularis,,FALCONIFORMES,Falconidae,CRhe,yes,,,,,
Orange-breasted Falcon,Falco deiroleucus,Rare/Accidental Near-threatened,FALCONIFORMES,Falconidae,CRhe,,,,,,
Peregrine Falcon,Falco peregrinus,,FALCONIFORMES,Falconidae,CRhe,,,,,,
Red-fronted Parrotlet,Touit costaricensis,Near-threatened,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Barred Parakeet,Bolborhynchus lineola,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Orange-chinned Parakeet,Brotogeris jugularis,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Brown-hooded Parrot,Pyrilia haematotis,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Blue-headed Parrot,Pionus menstruus,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
White-crowned Parrot,Pionus senilis,,PSITTACIFORMES,Psittacidae,CRhe,yes,,,,,
Red-lored Amazon,Amazona autumnalis,,PSITTACIFORMES,Psittacidae,CRhe,yes,,,,,
Yellow-naped Amazon,Amazona auropalliata,Critically endangered,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
White-fronted Amazon,Amazona albifrons,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Mealy Amazon,Amazona farinosa,,PSITTACIFORMES,Psittacidae,CRhe,yes,,,,,
Sulphur-winged Parakeet,Pyrrhura hoffmanni,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Olive-throated Parakeet,Eupsittula nana,,PSITTACIFORMES,Psittacidae,CRhe,yes,,,,,
Orange-fronted Parakeet,Eupsittula canicularis,Vulnerable,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Great Green Macaw,Ara ambiguus,Critically endangered,PSITTACIFORMES,Psittacidae,CRhe,yes,,,,,
Scarlet Macaw,Ara macao,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Crimson-fronted Parakeet,Psittacara finschi,,PSITTACIFORMES,Psittacidae,CRhe,,,,,,
Rufous-rumped Antwren,Euchrepomis callinota,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Fasciated Antshrike,Cymbilaimus lineatus,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Great Antshrike,Taraba major,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Barred Antshrike,Thamnophilus doliatus,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Black-crowned Antshrike,Thamnophilus atrinucha,,PASSERIFORMES,Thamnophilidae,CRhe,yes,,,,,
Black-hooded Antshrike,Thamnophilus bridgesi,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Russet Antshrike,Thamnistes anabatinus,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Plain Antvireo,Dysithamnus mentalis,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Streak-crowned Antvireo,Dysithamnus striaticeps,Near-threatened,PASSERIFORMES,Thamnophilidae,CRhe,yes,,,,,
Checker-throated Stipplethroat,Epinecrophylla fulviventris,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
White-flanked Antwren,Myrmotherula axillaris,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Slaty Antwren,Myrmotherula schisticolor,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Dot-winged Antwren,Microrhopias quixensis,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Dusky Antbird,Cercomacroides tyrannina,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Bare-crowned Antbird,Gymnocichla nudiceps,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Chestnut-backed Antbird,Poliocrania exsul,,PASSERIFORMES,Thamnophilidae,CRhe,yes,,,,,
Dull-mantled Antbird,Sipia laemosticta,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Zeledon's Antbird,Hafferia zeledoni,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Bicolored Antbird,Gymnopithys bicolor,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Spotted Antbird,Hylophylax naevioides,,PASSERIFORMES,Thamnophilidae,CRhe,,,,,,
Ocellated Antbird,Phaenostictus mcleannani,,PASSERIFORMES,Thamnophilidae,CRhe,yes,,,,,
Black-crowned Antpitta,Pittasoma michleri,,PASSERIFORMES,Conopophagidae,CRhe,,,,,,
Scaled Antpitta,Grallaria guatimalensis,,PASSERIFORMES,Grallariidae,CRhe,,,,,,
Streak-chested Antpitta,Hylopezus perspicillatus,,PASSERIFORMES,Grallariidae,CRhe,,,,,,
Thicket Antpitta,Myrmothera dives,,PASSERIFORMES,Grallariidae,CRhe,,,,,,
Ochre-breasted Antpitta,Grallaricula flavirostris,,PASSERIFORMES,Grallariidae,CRhe,,,,,,
Silvery-fronted Tapaculo,Scytalopus argentifrons,,PASSERIFORMES,Rhinocryptidae,CRhe,,,,,,
Black-faced Antthrush,Formicarius analis,,PASSERIFORMES,Formicariidae,CRhe,yes,,,,,
Black-capped Antthrush,Formicarius nigricapillus,,PASSERIFORMES,Formicariidae,CRhe,,,,,,
Rufous-breasted Antthrush,Formicarius rufipectus,,PASSERIFORMES,Formicariidae,CRhe,,,,,,
Middle American Leaftosser,Sclerurus mexicanus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Scaly-throated Leaftosser,Sclerurus guatemalensis,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Gray-throated Leaftosser,Sclerurus albigularis,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Olivaceous Woodcreeper,Sittasomus griseicapillus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Piping Long-tailed Woodcreeper,Deconychura typica,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Ruddy Woodcreeper,Dendrocincla homochroa,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Tawny-winged Woodcreeper,Dendrocincla anabatina,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Plain-brown Woodcreeper,Dendrocincla fuliginosa,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Wedge-billed Woodcreeper,Glyphorynchus spirurus,,PASSERIFORMES,Furnariidae,CRhe,yes,,,,,
Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,,PASSERIFORMES,Furnariidae,CRhe,yes,,,,,
Black-banded Woodcreeper,Dendrocolaptes picumnus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Cocoa Woodcreeper,Xiphorhynchus susurrans,,PASSERIFORMES,Furnariidae,CRhe,yes,,,,,
Black-striped Woodcreeper,Xiphorhynchus lachrymosus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Spotted Woodcreeper,Xiphorhynchus erythropygius,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Brown-billed Scythebill,Campylorhamphus pusillus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Streak-headed Woodcreeper,Lepidocolaptes souleyetii,,PASSERIFORMES,Furnariidae,CRhe,yes,,,,,
Spot-crowned Woodcreeper,Lepidocolaptes affinis,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Northern Plain-Xenops,Xenops mexicanus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Streaked Xenops,Xenops rutilans,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Buffy Tuftedcheek,Pseudocolaptes lawrencii,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Lineated Foliage-gleaner,Syndactyla subalaris,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Buff-fronted Foliage-gleaner,Dendroma rufa,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Streak-breasted Treehunter,Thripadectes rufobrunneus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Fawn-throated Foliage-gleaner,Automolus cervinigularis,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Chiriqui Foliage-gleaner,Automolus exsertus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Western Woodhaunter,Automolus virgatus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Spotted Barbtail,Premnoplex brunnescens,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Ruddy Treerunner,Margarornis rubiginosus,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Red-faced Spinetail,Cranioleuca erythrops,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Slaty Spinetail,Synallaxis brachyura,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Pale-breasted Spinetail,Synallaxis albescens,,PASSERIFORMES,Furnariidae,CRhe,,,,,,
Long-tailed Manakin,Chiroxiphia linearis,,PASSERIFORMES,Pipridae,CRhe,,,,,,
White-ruffed Manakin,Corapipo altera,,PASSERIFORMES,Pipridae,CRhe,,,,,,
Velvety Manakin,Lepidothrix velutina,,PASSERIFORMES,Pipridae,CRhe,,,,,,
White-collared Manakin,Manacus candei,,PASSERIFORMES,Pipridae,CRhe,,,,,,
Orange-collared Manakin,Manacus aurantiacus,,PASSERIFORMES,Pipridae,CRhe,,,,,,
White-crowned Manakin,Pseudopipra pipra,,PASSERIFORMES,Pipridae,CRhe,,,,,,
Red-capped Manakin,Ceratopipra mentalis,,PASSERIFORMES,Pipridae,CRhe,yes,,,,,
Purple-throated Fruitcrow,Querula purpurata,,PASSERIFORMES,Cotingidae,CRhe,yes,,,,,
Bare-necked Umbrellabird,Cephalopterus glabricollis,Endangered,PASSERIFORMES,Cotingidae,CRhe,,,,,,
