common_name,scientific_name,status,order,family,region,in_LaSelva-Barva_studies?,previously_done?,recorder,entry_dates,BOW_citation,Notes
Green-winged Teal,Anas crecca,Rare/Accidental,ANSERIFORMES,Anatidae,CRhe,,Prev_Anas_crecca.csv,India Hirschowitz/Emily Parker,11/30/2022-12/1/2022,"Johnson, K., C. Carboneras, D. A. Christie, and G. M. Kirwan (2020). Green-winged Teal (Anas crecca), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gnwtea.01","Likely incomplete sheet and unable to find original sheet avain_intxn_data, so a copy was downloaded from Github and added to this Drive. Was found in L0/species and does not appear checked. "
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,CRhe,,Prev_Aythya_collaris_IH_EP,India Hirschowitz/Emily Parker,12/6/2022-01/9/2022; 1/13/2023,"Roy, C. L., C. M. Herwig, W. L. Hohman, and R. T. Eberhardt (2020). Ring-necked Duck (Aythya collaris), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rinduc.01",Likely incomplete sheet; only collected data from BOW
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,CRhe,,Prev_Aythya_affinis_JZ_EP,Jordan Zapata/Emily Parker,12/23/2022-1/6/2023; 1/9/2023,"Anteau, M. J., J. DeVink, D. N. Koons, J. E. Austin, C. M. Custer, and A. D. Afton (2020). Lesser Scaup (Aythya affinis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.lessca.01",Likely incomplete sheet; only collected data from BOW
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,CRhe,,Prev_Nomonyx_dominicus_GD_EP,Giovanni DePasquale/Emily Parker,4/5/2024; 4/17/24,"Eitniear, J. C. (2020). Masked Duck (Nomonyx dominicus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.masduc.01",Likely incomplete sheet; only collected data from BOW. Duplicate sheets found in avain_intxn_data but this version was checked. 
Black Guan,Chamaepetes unicolor,,GALLIFORMES,Cracidae,CRhe,,,Liz Bauer,7/23/26-8/3/26,"del Hoyo, J. and G. M. Kirwan (2020). Black Guan (Chamaepetes unicolor), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.blagua1.01",
Crested Guan,Penelope purpurascens,Near-threatened,GALLIFORMES,Cracidae,CRhe,yes,Prev_Penelope_purpurascens_AF_LB,Ava Fountain; Liz Bauer,09/18/2024; 5/20/26,"Gilbert, K. and T. S. Schulenberg (2020). Crested Guan (Penelope purpurascens), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.cregua1.01",Likely incomplete sheet; only collected data from BOW
Great Curassow,Crax rubra,Vulnerable,GALLIFORMES,Cracidae,CRhe,yes,Prev_Crax_rubra_CR_LB,Caroline Roche; Liz Bauer,9/18/24; 5/20/26,"del Hoyo, J. and G. M. Kirwan (2020). Great Curassow (Crax rubra), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.grecur1.01",Likely incomplete sheet; only collected data from BOW
Plain Chachalaca,Ortalis vetula,,GALLIFORMES,Cracidae,CRhe,,Prev_Ortalis_vetula_EP_LB,Emily Parker; Liz Bauer,12/6/2022; 5/20/26,"Peterson, M. J. (2020). Plain Chachalaca (Ortalis vetula), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.placha.01",Likely incomplete sheet; only collected data from BOW
Gray-headed Chachalaca,Ortalis cinereiceps,,GALLIFORMES,Cracidae,CRhe,,none,,,,
Tawny-faced Quail,Rhynchortyx cinctus,Near-threatened,GALLIFORMES,Odontophoridae,CRhe,,none,,,,
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,,GALLIFORMES,Odontophoridae,CRhe,,Prev_Dendrortyx_leucophrys_AF_LB,Ava Fountain; Liz Bauer,12/10/2024; 5/20/26,"Carroll, J. P., G. M. Kirwan, P. F. D. Boesman, and E. de Juana (2020). Buffy-crowned Wood-Partridge (Dendrortyx leucophrys), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.bcwpar1.01",short interaction list
Spot-bellied Bobwhite,Colinus leucopogon,,GALLIFORMES,Odontophoridae,CRhe,,none,,,,
Marbled Wood-Quail,Odontophorus gujanensis,,GALLIFORMES,Odontophoridae,CRhe,,none,,,,
Black-eared Wood-Quail,Odontophorus melanotis,Near-threatened,GALLIFORMES,Odontophoridae,CRhe,,none,,,,
Black-breasted Wood-Quail,Odontophorus leucolaemus,,GALLIFORMES,Odontophoridae,CRhe,,none,,,,
Spotted Wood-Quail,Odontophorus guttatus,,GALLIFORMES,Odontophoridae,CRhe,,Prev_Odontophorus_guttatus_AF_LB,Ava Fountain; Liz Bauer,09/19/2024; 5/20/26,"Carroll, J. P., G. M. Kirwan, and P. F. D. Boesman (2020). Spotted Wood-Quail (Odontophorus guttatus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.spwqua1.01",Likely incomplete sheet; only collected data from BOW
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,CRhe,,Prev_Columba_livia_EP_IH,Emily Parker/India Hirschowitz ,12/12/2022;5/30/2024,"Lowther, P. E. and R. F. Johnston (2020). Rock Pigeon (Columba livia), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rocpig.01",Likely incomplete sheet; only collected data from BOW
Pale-vented Pigeon,Patagioenas cayennensis,,COLUMBIFORMES,Columbidae,CRhe,,Prev_Patagioenas_cayennensis_AF_LB,Ava Fountain; Liz Bauer,09/19/2024; 5/20/26,"Chalkowski, K. (2020). Pale-vented Pigeon (Patagioenas cayennensis), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.pavpig2.01",Likely incomplete sheet; only collected data from BOW
Scaled Pigeon,Patagioenas speciosa,,COLUMBIFORMES,Columbidae,CRhe,,Prev_Patagioenas_speciosa_AF_LB,Ava Fountain; Liz Bauer,12/04/2024-12/05/2024; 5/20/25-5/22/26,"Baptista, L. F., P. W. Trail, H. M. Horblit, and P. F. D. Boesman (2020). Scaled Pigeon (Patagioenas speciosa), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.scapig2.01",
Red-billed Pigeon,Patagioenas flavirostris,,COLUMBIFORMES,Columbidae,CRhe,,Prev_Patagioenas_flavirostris_EP_IH,Emily Parker/India Hirschowitz ,2/13/2023;6/8/2024,"Lowther, P. E., J. Breeden, and J. C. Eitniear (2020). Red-billed Pigeon (Patagioenas flavirostris), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rebpig1.01",Likely incomplete sheet; only collected data from BOW
Band-tailed Pigeon,Patagioenas fasciata,,COLUMBIFORMES,Columbidae,CRhe,,Prev_Patagioenas_fasciata_EP_IH,Emily Parker;India Hirschowitz ,12/12/2022;6/8/2024,"Keppie, D. M. and C. E. Braun (2020). Band-tailed Pigeon (Patagioenas fasciata), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.batpig1.01",Likely incomplete sheet; only collected data from BOW
Ruddy Pigeon,Patagioenas subvinacea,,COLUMBIFORMES,Columbidae,CRhe,,none,,,,
Short-billed Pigeon,Patagioenas nigrirostris,,COLUMBIFORMES,Columbidae,CRhe,yes,,Liz Bauer,8/3/26-,,listed on the AvianInteractionData_SpeciesList
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species,COLUMBIFORMES,Columbidae,CRhe,,Prev_Streptopelia_decaocto_EP_IH,Emily Parker/India Hirschowitz ,12/12/2022;10/30/2024,"Romagosa, C. M. and S. G. Mlodinow (2022). Eurasian Collared-Dove (Streptopelia decaocto), version 1.1. In Birds of the World (P. Pyle, P. G. Rodewald, and S. M. Billerman, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.eucdov.01.1",Likely incomplete sheet; only collected data from BOW
Inca Dove,Columbina inca,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Common Ground Dove,Columbina passerina,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Plain-breasted Ground Dove,Columbina minuta,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Ruddy Ground Dove,Columbina talpacoti,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Blue Ground Dove,Claravis pretiosa,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Maroon-chested Ground Dove,Paraclaravis mondetoura,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Ruddy Quail-Dove,Geotrygon montana,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Violaceous Quail-Dove,Geotrygon violacea,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Olive-backed Quail-Dove,Leptotrygon veraguensis,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
White-tipped Dove,Leptotila verreauxi,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Gray-chested Dove,Leptotila cassinii,,COLUMBIFORMES,Columbidae,CRhe,yes,,,,,
Gray-headed Dove,Leptotila plumbeiceps,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
