"scientific_name.raw","common_name.raw","scientific_name.edit","common_name.edit","edit_notes","row_number","comments"
"Acanthis hornemanni","Hoary Redpoll","Acanthis hornemanni","Hoary Redpoll",NA,2," common name match:  Hoary-throated Spinetail 0.75 Synallaxis kollari ; scientific name match:  Acanthis flammea hornemanni 0.84 ;"
"Accipiter gentilis","Northern Goshawk","Accipiter gentilis","Northern Goshawk",NA,4," common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter nisus 0.86 ;"
"Accipiter gentilis","Goshawk","Accipiter gentilis","Goshawk",NA,5," common name match:  Red Goshawk 0.88 Erythrotriorchis radiatus ; scientific name match:  Accipiter nisus 0.86 ;"
"Aphelocoma woodhouseii suttoni","Woodhouse's Scrub-Jay (Suttoni)","Aphelocoma woodhouseii suttoni","Woodhouse's Scrub-Jay (Suttoni)",NA,122," common name match:  Woodhouse's Scrub-Jay 0.89 Aphelocoma woodhouseii ; scientific name match:  Aphelocoma woodhouseii cyanotis 0.92 ;"
"Branta leucopsis x anser indicus","Hybrid Barnacle X Bar-Headed Goose","Branta leucopsis x anser indicus","Hybrid Barnacle X Bar-Headed Goose",NA,196," common name match:  Hoary-headed Grebe 0.69 Poliocephalus poliocephalus ; scientific name match:  Branta leucopsis x canadensis 0.91 ;"
"Cacomantis variolosus sepulcralis","Brush Cuckoo","Cacomantis variolosus sepulcralis","Brush Cuckoo",NA,238," common name match:  Barusan Cuckoo-Dove 0.83 Macropygia modiglianii ; scientific name match:  Cacomantis variolosus obscuratus 0.9 ;"
"Chrysococcyx lucidus plagosus","Golden Bronze-Cuckoo","Chrysococcyx lucidus plagosus","Golden Bronze-Cuckoo",NA,364," common name match:  Horsfield's Bronze-Cuckoo 0.82 Chalcites basalis ; scientific name match:  Chrysococcyx caprius 0.82 ;"
"Chrysococcyx lucidus layardi","New Caledonian Bronze-Cuckoo","Chrysococcyx lucidus layardi","New Caledonian Bronze-Cuckoo",NA,367," common name match:  New Caledonian Crow 0.84 Corvus moneduloides ; scientific name match:  Chrysococcyx flavigularis 0.85 ;"
"Chrysococcyx minutillus poecilurus","Gould's Bronze-Cuckoo","Chrysococcyx minutillus poecilurus","Gould's Bronze-Cuckoo",NA,373," common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.86 ;"
"Chrysococcyx minutillus rufomerus","Banda Bronze-Cuckoo","Chrysococcyx minutillus rufomerus","Banda Bronze-Cuckoo",NA,374," common name match:  Pied Bronze-Cuckoo 0.81 Chalcites crassirostris ; scientific name match:  Chrysococcyx cupreus insularum 0.83 ;"
