scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Tapera naevia,Striped Cuckoo,Tapera naevia,Striped Cuckoo,L0 species as entered on checklist (Clements 2024)
Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,L0 species as entered on checklist (Clements 2024)
Thalasseus elegans,Elegant Tern,Thalasseus elegans,Elegant Tern,L0 species as entered on checklist (Clements 2024)
Larus dominicanus,Kelp Gull,Larus dominicanus,Kelp Gull,L0 species as entered on checklist (Clements 2024)
Thalasseus sandvicensis acuflavidus,Cabot's Sandwich Tern,Thalasseus sandvicensis acuflavidus,Sandwich Tern (Cabot's),L0 species as entered on checklist (Clements 2024)
Thalasseus sandvicensis eurygnathus,Cayenne Tern,Thalasseus sandvicensis eurygnathus,Sandwich Tern (Cayenne),L0 species as entered on checklist (Clements 2024)
Thryophilus sinaloa,Sinaloa Wren,Thryophilus sinaloa,Sinaloa Wren,L0 species as entered on checklist (Clements 2024)
Thryothorus ludovicianus,Carolina Wren,Thryothorus ludovicianus,Carolina Wren,L0 species as entered on checklist (Clements 2024)
Tityra semifasciata,Masked Tityra,Tityra semifasciata,Masked Tityra,L0 species as entered on checklist (Clements 2024)
Tityra semifasciata semifasciata,Masked Tityra,Tityra semifasciata semifasciata,,L0 species as entered on checklist (Clements 2024)
Tolmomyias flaviventris,Ochre-Lored Flatbill,Tolmomyias flaviventris,Ochre-lored Flatbill,L0 species as entered on checklist (Clements 2024)
Toxostoma bendirei,Bendire's Thrasher,Toxostoma bendirei,Bendire's Thrasher,L0 species as entered on checklist (Clements 2024)
Toxostoma crissale,Crissal Thrasher,Toxostoma crissale,Crissal Thrasher,L0 species as entered on checklist (Clements 2024)
Toxostoma curvirostre,Curve-Billed Thrasher,Toxostoma curvirostre,Curve-billed Thrasher,L0 species as entered on checklist (Clements 2024)
Toxostoma lecontei,Leconte's Thrasher,Toxostoma lecontei,LeConte's Thrasher,L0 species as entered on checklist (Clements 2024)
Toxostoma longirostre,Long-Billed Thrasher,Toxostoma longirostre,Long-billed Thrasher,L0 species as entered on checklist (Clements 2024)
