scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Acanthis flammea,Common Redpoll,Acanthis flammea,Redpoll,L0 species as entered on checklist (Clements 2024)
Acanthis hornemanni,Hoary Redpoll,Acanthis hornemanni,Hoary Redpoll,Hoary Redpoll = Acanthis flammea hornemanni/exilipes on Clement 2024
Accipiter cooperii,Cooper's Hawk,Astur cooperii,Cooper's Hawk,high confidence common name fuzzy match (Clements 2024)  1
Accipiter gentilis,Northern Goshawk,Accipiter gentilis,Northern Goshawk,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024). Confirmed this is in N. America."
Accipiter gentilis,Goshawk,Accipiter gentilis,Goshawk,"Update to checklist Listed as American Goshawk, now genus Astur (Clements 2024). Confirmed this is in N. America."
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,L0 species as entered on checklist (Clements 2024)
Accipiter striatus,Sharp-Shinned Hawk,Accipiter striatus,Sharp-shinned Hawk,L0 species as entered on checklist (Clements 2024)
Acridotheres tristis,Common Myna,Acridotheres tristis,Common Myna,L0 species as entered on checklist (Clements 2024)
Paroaria coronata,Red-Crested Cardinal,Paroaria coronata,Red-crested Cardinal,L0 species as entered on checklist (Clements 2024)
Geopelia striata,Zebra Dove,Geopelia striata,Zebra Dove,L0 species as entered on checklist (Clements 2024)
Spilopelia chinensis,Spotted Dove,Spilopelia chinensis,Spotted Dove,L0 species as entered on checklist (Clements 2024)
Passer domesticus,House Sparrow,Passer domesticus,House Sparrow,L0 species as entered on checklist (Clements 2024)
Columba livia,Rock Dove,Columba livia,Rock Pigeon,L0 species as entered on checklist (Clements 2024)
Zosterops japonicus,Warbling White-Eye,Zosterops japonicus,Warbling White-eye,L0 species as entered on checklist (Clements 2024)
Acridotheres javanicus,Javan Myna,Acridotheres javanicus,Javan Myna,L0 species as entered on checklist (Clements 2024)
Aplonis panayensis,Asian Glossy Starling,Aplonis panayensis,Asian Glossy Starling,L0 species as entered on checklist (Clements 2024)
Agropsar sturninus,Daurian Starling,Agropsar sturninus,Daurian Starling,L0 species as entered on checklist (Clements 2024)
Sturnus vulgaris,European Starling,Sturnus vulgaris,European Starling,L0 species as entered on checklist (Clements 2024)
Pastor roseus,Rosy Starling,Pastor roseus,Rosy Starling,L0 species as entered on checklist (Clements 2024)
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,L0 species as entered on checklist (Clements 2024)
Actitis macularius,Spotted Sandpiper,Actitis macularius,Spotted Sandpiper,L0 species as entered on checklist (Clements 2024)
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,Clark's Grebe,L0 species as entered on checklist (Clements 2024)
Aechmophorus clarkii transitionalis,Clark's Grebe,Aechmophorus clarkii transitionalis,,L0 species as entered on checklist (Clements 2024)
Aechmophorus clarkii clarkii,Clark's Grebe,Aechmophorus clarkii clarkii,,L0 species as entered on checklist (Clements 2024)
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,Western Grebe,L0 species as entered on checklist (Clements 2024)
Aegolius acadicus,Northern Saw-Whet Owl,Aegolius acadicus,Northern Saw-whet Owl,L0 species as entered on checklist (Clements 2024)
Aegolius funereus,Boreal Owl,Aegolius funereus,Boreal Owl,L0 species as entered on checklist (Clements 2024)
Aeronautes saxatalis,White-Throated Swift,Aeronautes saxatalis,White-throated Swift,L0 species as entered on checklist (Clements 2024)
Aethia cristatella,Crested Auklet,Aethia cristatella,Crested Auklet,L0 species as entered on checklist (Clements 2024)
Aethia psittacula,Parakeet Auklet,Aethia psittacula,Parakeet Auklet,L0 species as entered on checklist (Clements 2024)
Larus glaucescens,Glaucous-Winged Gull,Larus glaucescens,Glaucous-winged Gull,L0 species as entered on checklist (Clements 2024)
Aethia pusilla,Least Auklet,Aethia pusilla,Least Auklet,L0 species as entered on checklist (Clements 2024)
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Whiskered Auklet,L0 species as entered on checklist (Clements 2024)
Agelaius tricolor,Tricolored Blackbird,Agelaius tricolor,Tricolored Blackbird,L0 species as entered on checklist (Clements 2024)
Agelaius phoeniceus,Red-Winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,L0 species as entered on checklist (Clements 2024)
Euphagus cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,Brewer's Blackbird,L0 species as entered on checklist (Clements 2024)
Molothrus ater,Brown-Headed Cowbird,Molothrus ater,Brown-headed Cowbird,L0 species as entered on checklist (Clements 2024)
Aimophila ruficeps,Rufous-Crowned Sparrow,Aimophila ruficeps,Rufous-crowned Sparrow,L0 species as entered on checklist (Clements 2024)
Aimophila ruficeps scottii,Rufous-Crowned Sparrow (Scottii),Aimophila ruficeps scottii,,L0 species as entered on checklist (Clements 2024)
Aix sponsa,Wood Duck,Aix sponsa,Wood Duck,L0 species as entered on checklist (Clements 2024)
Alauda arvensis,Eurasian Skylark,Alauda arvensis,Eurasian Skylark,L0 species as entered on checklist (Clements 2024)
Eremophila alpestris,Horned Lark,Eremophila alpestris,Horned Lark,L0 species as entered on checklist (Clements 2024)
Anthus rubescens,American Pipit,Anthus rubescens,American Pipit,L0 species as entered on checklist (Clements 2024)
Haemorhous mexicanus,House Finch,Haemorhous mexicanus,House Finch,L0 species as entered on checklist (Clements 2024)
Alca torda,Razorbill,Alca torda,Razorbill,L0 species as entered on checklist (Clements 2024)
Uria aalge,Common Murre,Uria aalge,Common Murre,L0 species as entered on checklist (Clements 2024)
Alle alle,Dovekie,Alle alle,Dovekie,L0 species as entered on checklist (Clements 2024)
Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca,Egyptian Goose,L0 species as entered on checklist (Clements 2024)
Dendrocygna autumnalis,Black-Bellied Whistling-Duck,Dendrocygna autumnalis,Black-bellied Whistling-Duck,L0 species as entered on checklist (Clements 2024)
Cairina moschata domesticus,Muscovy Duck,Cairina moschata,Muscovy Duck,high confidence common name fuzzy match (Clements 2024)  1
Anas platyrhynchos,Mallard,Anas platyrhynchos,Mallard,L0 species as entered on checklist (Clements 2024)
Amazilia rutila,Cinnamon Hummingbird,Amazilia rutila,Cinnamon Hummingbird,L0 species as entered on checklist (Clements 2024)
Amazilia yucatanensis,Buff-Bellied Hummingbird,Amazilia yucatanensis,Buff-bellied Hummingbird,L0 species as entered on checklist (Clements 2024)
Amazona viridigenalis,Red-Crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,L0 species as entered on checklist (Clements 2024)
Amazona autumnalis,Red-Lored Parrot,Amazona autumnalis,Red-lored Amazon,L0 species as entered on checklist (Clements 2024)
Amazona oratrix,Yellow-Headed Parrot,Amazona oratrix,Yellow-headed Amazon,L0 species as entered on checklist (Clements 2024)
Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum,Grasshopper Sparrow,L0 species as entered on checklist (Clements 2024)
Ammospiza caudacuta,Saltmarsh Sparrow,Ammospiza caudacuta,Saltmarsh Sparrow,L0 species as entered on checklist (Clements 2024)
Ammospiza caudacuta caudacuta,Saltmarsh Sparrow (Caudacuta),Ammospiza caudacuta caudacuta,,L0 species as entered on checklist (Clements 2024)
Ammospiza nelsoni,Nelson's Sparrow,Ammospiza nelsoni,Nelson's Sparrow,L0 species as entered on checklist (Clements 2024)
Ammospiza leconteii,Leconte's Sparrow,Ammospiza leconteii,LeConte's Sparrow,L0 species as entered on checklist (Clements 2024)
Centronyx bairdii,Baird's Sparrow,Centronyx bairdii,Baird's Sparrow,L0 species as entered on checklist (Clements 2024)
Centronyx henslowii,Henslow's Sparrow,Centronyx henslowii,Henslow's Sparrow,L0 species as entered on checklist (Clements 2024)
Charadrius vociferus,Killdeer,Charadrius vociferus,Killdeer,L0 species as entered on checklist (Clements 2024)
Ammospiza maritima fisheri,Seaside Sparrow (Gulf Of Mexico),Ammospiza maritima fisheri,,L0 species as entered on checklist (Clements 2024)
Ammospiza maritima,Seaside Sparrow,Ammospiza maritima,Seaside Sparrow,L0 species as entered on checklist (Clements 2024)
Ammospiza maritima mirabilis,Seaside Sparrow (Cape Sable),Ammospiza maritima mirabilis,Seaside Sparrow (Cape Sable),L0 species as entered on checklist (Clements 2024)
Cistothorus palustris,Marsh Wren,Cistothorus palustris,Marsh Wren,L0 species as entered on checklist (Clements 2024)
Ammospiza nelsoni subvirgata,Nelson's Sparrow (Atlantic Coast),Ammospiza nelsoni subvirgata,Nelson's Sparrow (Atlantic Coast),L0 species as entered on checklist (Clements 2024)
Ammospiza nelsoni nelsoni,Nelson's Sparrow (Interior),Ammospiza nelsoni nelsoni,,L0 species as entered on checklist (Clements 2024)
Circus hudsonius,Northern Harrier,Circus hudsonius,Northern Harrier,L0 species as entered on checklist (Clements 2024)
Anarhynchus collaris,Collared Plover,Anarhynchus collaris,Collared Plover,L0 species as entered on checklist (Clements 2024)
Anarhynchus montanus,Mountain Plover,Anarhynchus montanus,Mountain Plover,L0 species as entered on checklist (Clements 2024)
Anarhynchus nivosus,Snowy Plover,Anarhynchus nivosus,Snowy Plover,L0 species as entered on checklist (Clements 2024)
Calidris alba,Sanderling,Calidris alba,Sanderling,L0 species as entered on checklist (Clements 2024)
Anas bahamensis,White-Cheeked Pintail,Anas bahamensis,White-cheeked Pintail,L0 species as entered on checklist (Clements 2024)
Anas bahamensis rubirostris,White-Cheeked Pintail,Anas bahamensis rubrirostris,,high confidence str match to checklist (Clements 2024)  0.951
Anas crecca,Green-Winged Teal,Anas crecca,Green-winged Teal,L0 species as entered on checklist (Clements 2024)
Anas diazi,Mexican Duck,Anas diazi,Mexican Duck,L0 species as entered on checklist (Clements 2024)
Anas rubripes,American Black Duck,Anas rubripes,American Black Duck,L0 species as entered on checklist (Clements 2024)
Anas fulvigula,Mottled Duck,Anas fulvigula,Mottled Duck,L0 species as entered on checklist (Clements 2024)
Anas laysanensis,Laysan Duck,Anas laysanensis,Laysan Duck,L0 species as entered on checklist (Clements 2024)
Anas platyrhynchos,Short-Eared Owl,Anas platyrhynchos,Mallard,L0 species as entered on checklist (Clements 2024)
Anas wyvilliana,Hawaiian Duck,Anas wyvilliana,Hawaiian Duck,L0 species as entered on checklist (Clements 2024)
Fulica alai,Hawaiian Coot,Fulica alai,Hawaiian Coot,L0 species as entered on checklist (Clements 2024)
Branta sandvicensis,Hawaiian Goose,Branta sandvicensis,Hawaiian Goose,L0 species as entered on checklist (Clements 2024)
Gallinula galeata sandvicensis,Hawaiian Gallinule,Gallinula galeata sandvicensis,Common Gallinule (Hawaiian),L0 species as entered on checklist (Clements 2024)
Anas zonorhyncha,Eastern Spot-Billed Duck,Anas zonorhyncha,Eastern Spot-billed Duck,L0 species as entered on checklist (Clements 2024)
Anhinga anhinga,Anhinga,Anhinga anhinga,Anhinga,L0 species as entered on checklist (Clements 2024)
Anomalospiza imberbis,Parasitic Weaver,Anomalospiza imberbis,Parasitic Weaver,L0 species as entered on checklist (Clements 2024)
Anser albifrons,Greater White-Fronted Goose,Anser albifrons,Greater White-fronted Goose,L0 species as entered on checklist (Clements 2024)
Anser anser,Graylag Goose,Anser anser,Graylag Goose,L0 species as entered on checklist (Clements 2024)
Anser anser anser,European Graylag Goose,Anser anser anser,Graylag Goose (European),L0 species as entered on checklist (Clements 2024)
Anser brachyrhynchus,Pink-Footed Goose,Anser brachyrhynchus,Pink-footed Goose,L0 species as entered on checklist (Clements 2024)
Anser caerulescens,Snow Goose,Anser caerulescens,Snow Goose,L0 species as entered on checklist (Clements 2024)
Anser canagicus,Emperor Goose,Anser canagicus,Emperor Goose,L0 species as entered on checklist (Clements 2024)
Branta bernicla nigricans,Black Brant,Branta bernicla nigricans,Brant (Black),L0 species as entered on checklist (Clements 2024)
Anser erythropus,Lesser White-Fronted Goose,Anser erythropus,Lesser White-fronted Goose,L0 species as entered on checklist (Clements 2024)
Anser fabalis,Taiga Bean-Goose,Anser fabalis,Taiga Bean-Goose,L0 species as entered on checklist (Clements 2024)
Anser fabalis middendorffi,Taiga Bean-Goose,Anser fabalis middendorffii,,high confidence str match to checklist (Clements 2024)  0.988
Anser fabalis fabalis,Taiga Bean-Goose,Anser fabalis fabalis,,L0 species as entered on checklist (Clements 2024)
Anser rossii,Ross's Goose,Anser rossii,Ross's Goose,L0 species as entered on checklist (Clements 2024)
Anser caerulescens caerulescens,Lesser Snow Goose,Anser caerulescens caerulescens,,L0 species as entered on checklist (Clements 2024)
Anser serrirostris,Tundra Bean-Goose,Anser serrirostris,Tundra Bean-Goose,L0 species as entered on checklist (Clements 2024)
Anser serrirostris serrirostris,Tundra Bean-Goose,Anser serrirostris serrirostris,,L0 species as entered on checklist (Clements 2024)
Anser serrirostris rossicus,Tundra Bean-Goose,Anser serrirostris rossicus,,L0 species as entered on checklist (Clements 2024)
Anthus cervinus,Red-Throated Pipit,Anthus cervinus,Red-throated Pipit,L0 species as entered on checklist (Clements 2024)
Anthus spragueii,Sprague's Pipit,Anthus spragueii,Sprague's Pipit,L0 species as entered on checklist (Clements 2024)
Calcarius ornatus,Chestnut-Collared Longspur,Calcarius ornatus,Chestnut-collared Longspur,L0 species as entered on checklist (Clements 2024)
Antigone canadensis,Sandill Crane,Antigone canadensis,Sandhill Crane,L0 species as entered on checklist (Clements 2024)
Antigone canadensis tabida,Sandhill Crane (Tabida),Antigone canadensis tabida,,L0 species as entered on checklist (Clements 2024)
Antigone canadensis canadensis,Sandhill Crane (Canadensis),Antigone canadensis canadensis,Sandhill Crane (Lesser),L0 species as entered on checklist (Clements 2024)
Antigone canadensis rowani,Sandhill Crane (Rowani),Antigone canadensis rowani,,L0 species as entered on checklist (Clements 2024)
Antrostomus arizonae,Mexican Whip-Poor-Will,Antrostomus arizonae,Mexican Whip-poor-will,L0 species as entered on checklist (Clements 2024)
Antrostomus carolinensis,Chuck-Will's-Widow,Antrostomus carolinensis,Chuck-will's-widow,L0 species as entered on checklist (Clements 2024)
Antrostomus vociferus,Eastern Whip-Poor-Will,Antrostomus vociferus,Eastern Whip-poor-will,L0 species as entered on checklist (Clements 2024)
Aphelocoma californica,California Scrub-Jay,Aphelocoma californica,California Scrub-Jay,L0 species as entered on checklist (Clements 2024)
Aphelocoma coerulescens,Florida Scrub-Jay,Aphelocoma coerulescens,Florida Scrub-Jay,L0 species as entered on checklist (Clements 2024)
Aphelocoma insularis,Island Scrub-Jay,Aphelocoma insularis,Island Scrub-Jay,L0 species as entered on checklist (Clements 2024)
Aphelocoma wollweberi,Mexican Jay,Aphelocoma wollweberi,Mexican Jay,L0 species as entered on checklist (Clements 2024)
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,L0 species as entered on checklist (Clements 2024)
Aphelocoma woodhouseii suttoni,Woodhouse's Scrub-Jay (Suttoni),Aphelocoma woodhouseii suttoni,Woodhouse's Scrub-Jay (Suttoni),"Update to checklist at species level because unclear which subspecies (several are in Mexico), even though it is a subspecies in BBS: Pacific Black Duck=Anas superciliosa. edited to match checklist (Clements 2024)"
Aphelocoma woodhouseii texana,Woodhouse's Scrub-Jay (Texana),Aphelocoma woodhouseii texana,,L0 species as entered on checklist (Clements 2024)
Gymnorhinus cyanocephalus,Pinyon Jay,Gymnorhinus cyanocephalus,Pinyon Jay,L0 species as entered on checklist (Clements 2024)
Cyanocitta stelleri,Steller's Jay,Cyanocitta stelleri,Steller's Jay,L0 species as entered on checklist (Clements 2024)
Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,Golden Eagle,L0 species as entered on checklist (Clements 2024)
Aramus guarauna,Limpkin,Aramus guarauna,Limpkin,L0 species as entered on checklist (Clements 2024)
Aratinga nenday,Nanday Parakeet,Aratinga nenday,Nanday Parakeet,L0 species as entered on checklist (Clements 2024)
Archilochus alexandri,Black-Chinned Hummingbird,Archilochus alexandri,Black-chinned Hummingbird,L0 species as entered on checklist (Clements 2024)
Ramosomyia violiceps,Violet-Crowned Hummingbird,Ramosomyia violiceps,Violet-crowned Hummingbird,L0 species as entered on checklist (Clements 2024)
Cynanthus latirostris,Broad-Billed Hummingbird,Cynanthus latirostris,Broad-billed Hummingbird,L0 species as entered on checklist (Clements 2024)
Selasphorus platycercus,Broad-Tailed Hummingbird,Selasphorus platycercus,Broad-tailed Hummingbird,L0 species as entered on checklist (Clements 2024)
Calypte costae,Costa's Hummingbird,Calypte costae,Costa's Hummingbird,L0 species as entered on checklist (Clements 2024)
Archilochus colubris,Ruby-Throated Hummingbird,Archilochus colubris,Ruby-throated Hummingbird,L0 species as entered on checklist (Clements 2024)
Ardea alba,Great Egret,Ardea alba,Great Egret,L0 species as entered on checklist (Clements 2024)
Ardea alba modesta,Great Egret (Australasian),Ardea alba modesta,Great Egret (modesta),L0 species as entered on checklist (Clements 2024)
Ardea alba melanorynchos,Great Egret (African),Ardea alba melanorhynchos,Great Egret (African),high confidence str match to checklist (Clements 2024)  0.959
Ardea herodias,Great Blue Heron,Ardea herodias,Great Blue Heron,L0 species as entered on checklist (Clements 2024)
Egretta thula,Snowy Egret,Egretta thula,Snowy Egret,L0 species as entered on checklist (Clements 2024)
Egretta tricolor,Tricolored Heron,Egretta tricolor,Tricolored Heron,L0 species as entered on checklist (Clements 2024)
Egretta caerulea,Little Blue Heron,Egretta caerulea,Little Blue Heron,L0 species as entered on checklist (Clements 2024)
Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,L0 species as entered on checklist (Clements 2024)
Calidris canutus,Red Knot,Calidris canutus,Red Knot,L0 species as entered on checklist (Clements 2024)
Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla,Semipalmated Sandpiper,L0 species as entered on checklist (Clements 2024)
Arenaria melanocephala,Black Turnstone,Arenaria melanocephala,Black Turnstone,L0 species as entered on checklist (Clements 2024)
Calidris alpina,Dunlin,Calidris alpina,Dunlin,L0 species as entered on checklist (Clements 2024)
Arremonops rufivirgatus,Olive Sparrow,Arremonops rufivirgatus,Olive Sparrow,L0 species as entered on checklist (Clements 2024)
Arremonops rufivirgatus verticalis,Olive Sparrow,Arremonops rufivirgatus verticalis,,L0 species as entered on checklist (Clements 2024)
Molothrus aeneus,Bronzed Cowbird,Molothrus aeneus,Bronzed Cowbird,L0 species as entered on checklist (Clements 2024)
Artemisiospiza belli canescens,Bell's Sparrow,Artemisiospiza belli canescens,Bell's Sparrow (canescens),L0 species as entered on checklist (Clements 2024)
Artemisiospiza belli,Bell's Sparrow,Artemisiospiza belli,Bell's Sparrow,L0 species as entered on checklist (Clements 2024)
Amphispiza bilineata,Black-Throated Sparrow,Amphispiza bilineata,Black-throated Sparrow,L0 species as entered on checklist (Clements 2024)
Zonotrichia leucophrys,White-Crowned Sparrow,Zonotrichia leucophrys,White-crowned Sparrow,L0 species as entered on checklist (Clements 2024)
Pooecetes gramineus,Vesper Sparrow,Pooecetes gramineus,Vesper Sparrow,L0 species as entered on checklist (Clements 2024)
Artemisiospiza nevadensis,Sagebrush Sparrow,Artemisiospiza nevadensis,Sagebrush Sparrow,L0 species as entered on checklist (Clements 2024)
Pooecetes gramineus,Sagebrush Sparrow,Pooecetes gramineus,Vesper Sparrow,L0 species as entered on checklist (Clements 2024)
Asio flammeus,Short-Eared Owl,Asio flammeus,Short-eared Owl,L0 species as entered on checklist (Clements 2024)
Asio otus,Long-Eared Owl,Asio otus,Long-eared Owl,L0 species as entered on checklist (Clements 2024)
Athene cunicularia,Burrowing Owl,Athene cunicularia,Burrowing Owl,L0 species as entered on checklist (Clements 2024)
Auriparus flaviceps,Verdin,Auriparus flaviceps,Verdin,L0 species as entered on checklist (Clements 2024)
Polioptila melanura,Black-Tailed Gnatcatcher,Polioptila melanura,Black-tailed Gnatcatcher,L0 species as entered on checklist (Clements 2024)
Polioptila caerulea,Blue-Gray Gnatcatcher,Polioptila caerulea,Blue-gray Gnatcatcher,L0 species as entered on checklist (Clements 2024)
Spizella breweri,Brewer's Sparrow,Spizella breweri,Brewer's Sparrow,L0 species as entered on checklist (Clements 2024)
Junco hyemalis,Dark-Eyed Junco,Junco hyemalis,Dark-eyed Junco,L0 species as entered on checklist (Clements 2024)
Pipilo erythrophthalmus,Eastern Towhee,Pipilo erythrophthalmus,Eastern Towhee,L0 species as entered on checklist (Clements 2024)
Setophaga petechia,Yellow Warbler,Setophaga petechia,Yellow Warbler,L0 species as entered on checklist (Clements 2024)
Aythya affinis,Lesser Scaup,Aythya affinis,Lesser Scaup,L0 species as entered on checklist (Clements 2024)
Aythya americana,Redhead,Aythya americana,Redhead,L0 species as entered on checklist (Clements 2024)
Aythya collaris,Ring-Necked Duck,Aythya collaris,Ring-necked Duck,L0 species as entered on checklist (Clements 2024)
Aythya ferina,Common Pochard,Aythya ferina,Common Pochard,L0 species as entered on checklist (Clements 2024)
Netta rufina,Red-Crested Pochard,Netta rufina,Red-crested Pochard,L0 species as entered on checklist (Clements 2024)
Aythya fuligula,Tufted Duck,Aythya fuligula,Tufted Duck,L0 species as entered on checklist (Clements 2024)
Aythya marila,Greater Scaup,Aythya marila,Greater Scaup,L0 species as entered on checklist (Clements 2024)
Aythya valisineria,Canvasback,Aythya valisineria,Canvasback,L0 species as entered on checklist (Clements 2024)
Baeolophus atricristatus,Black-Crested Titmouse,Baeolophus atricristatus,Black-crested Titmouse,L0 species as entered on checklist (Clements 2024)
Baeolophus bicolor,Tufted Titmouse,Baeolophus bicolor,Tufted Titmouse,L0 species as entered on checklist (Clements 2024)
Baeolophus inornatus,Oak Titmouse,Baeolophus inornatus,Oak Titmouse,L0 species as entered on checklist (Clements 2024)
Baeolophus ridgwayi,Juniper Titmouse,Baeolophus ridgwayi,Juniper Titmouse,L0 species as entered on checklist (Clements 2024)
Baeolophus wollweberi,Bridled Titmouse,Baeolophus wollweberi,Bridled Titmouse,L0 species as entered on checklist (Clements 2024)
Bartramia longicauda,Upland Sandpiper,Bartramia longicauda,Upland Sandpiper,L0 species as entered on checklist (Clements 2024)
Bombycilla cedrorum,Cedar Waxwing,Bombycilla cedrorum,Cedar Waxwing,L0 species as entered on checklist (Clements 2024)
Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus,Bohemian Waxwing,L0 species as entered on checklist (Clements 2024)
Turdus migratorius,American Robin,Turdus migratorius,American Robin,L0 species as entered on checklist (Clements 2024)
Botaurus lentiginosus,American Bittern,Botaurus lentiginosus,American Bittern,L0 species as entered on checklist (Clements 2024)
Brachyramphus brevirostris,Kittlitz's Murrelet,Brachyramphus brevirostris,Kittlitz's Murrelet,L0 species as entered on checklist (Clements 2024)
Brachyramphus marmoratus,Marbled Murrelet,Brachyramphus marmoratus,Marbled Murrelet,L0 species as entered on checklist (Clements 2024)
Brachyramphus brevirostris,Black-Legged Kittiwake,Brachyramphus brevirostris,Kittlitz's Murrelet,L0 species as entered on checklist (Clements 2024)
Larus canus,Common Gull,Larus canus,Common Gull,L0 species as entered on checklist (Clements 2024)
Fratercula cirrhata,Tufted Puffin,Fratercula cirrhata,Tufted Puffin,L0 species as entered on checklist (Clements 2024)
Branta bernicla,Brant,Branta bernicla,Brant,L0 species as entered on checklist (Clements 2024)
Branta hutchinsii,Cackling Goose,Branta hutchinsii,Cackling Goose,L0 species as entered on checklist (Clements 2024)
Branta hutchinsii leucopareia,Aleutian Cackling Goose,Branta hutchinsii leucopareia,Cackling Goose (Aleutian),L0 species as entered on checklist (Clements 2024)
Haliaeetus leucocephalus,Bald Eagle,Haliaeetus leucocephalus,Bald Eagle,L0 species as entered on checklist (Clements 2024)
Stercorarius parasiticus,Parasitic Jaeger,Stercorarius parasiticus,Parasitic Jaeger,L0 species as entered on checklist (Clements 2024)
Branta leucopsis,Barnacle Goose,Branta leucopsis,Barnacle Goose,L0 species as entered on checklist (Clements 2024)
Branta leucopsis x anser indicus,Hybrid Barnacle X Bar-Headed Goose,Branta leucopsis x anser indicus,Hybrid Barnacle X Bar-Headed Goose,Update to checklist Bar-headed x Barnacle Goose (hybrid)=Anser indicus x Branta leucopsis. edited to match checklist (Clements 2024)
Brotogeris chiriri,Yellow-Chevroned Parakeet,Brotogeris chiriri,Yellow-chevroned Parakeet,L0 species as entered on checklist (Clements 2024)
Brotogeris versicolurus,White-Winged Parakeet,Brotogeris versicolurus,White-winged Parakeet,L0 species as entered on checklist (Clements 2024)
Brotogeris tirica,Plain Parakeet,Brotogeris tirica,Plain Parakeet,L0 species as entered on checklist (Clements 2024)
Brotogeris chrysoptera,Golden-Winged Parakeet,Brotogeris chrysoptera,Golden-winged Parakeet,L0 species as entered on checklist (Clements 2024)
Brotogeris chiriri benhi,Yellow-Chevroned Parakeet,Brotogeris chiriri behni,,high confidence str match to checklist (Clements 2024)  0.986
Bubo scandiacus,Snowy Owl,Bubo scandiacus,Snowy Owl,L0 species as entered on checklist (Clements 2024)
Bubo virginianus,Great Horned Owl,Bubo virginianus,Great Horned Owl,L0 species as entered on checklist (Clements 2024)
Bubulcus coromandus,Eastern Cattle Egret,Ardea coromanda,Eastern Cattle-Egret,high confidence common name fuzzy match (Clements 2024)  0.967
Bubulcus ibis,Western Cattle Egret,Bubulcus ibis,Western Cattle Egret,match to checklist but unspecified so either one of  these closely related species Western/Eastern Cattle-Egret
Bubulcus sp.,Unid. Cattle Egret,Bubulcus sp.,Unid. Cattle Egret,NA
Bucephala albeola,Bufflehead,Bucephala albeola,Bufflehead,L0 species as entered on checklist (Clements 2024)
Bucephala clangula,Common Goldeneye,Bucephala clangula,Common Goldeneye,L0 species as entered on checklist (Clements 2024)
Bucephala islandica,Barrow's Goldeneye,Bucephala islandica,Barrow's Goldeneye,L0 species as entered on checklist (Clements 2024)
Buteo albonotatus,Zone-Tailed Hawk,Buteo albonotatus,Zone-tailed Hawk,L0 species as entered on checklist (Clements 2024)
Buteo brachyurus,Short-Tailed Hawk,Buteo brachyurus,Short-tailed Hawk,L0 species as entered on checklist (Clements 2024)
Pernis apivorus,European Honey-Buzzard,Pernis apivorus,European Honey-buzzard,L0 species as entered on checklist (Clements 2024)
Buteo buteo,Common Buzzard,Buteo buteo,Common Buzzard,L0 species as entered on checklist (Clements 2024)
Buteo buteo buteo,Common Buzzard,Buteo buteo buteo,Common Buzzard (Western),L0 species as entered on checklist (Clements 2024)
Buteo jamaicensis,Red-Tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,L0 species as entered on checklist (Clements 2024)
Buteo jamaicensis harlani,Harlan's Hawk,Buteo jamaicensis harlani,Red-tailed Hawk (Harlan's),L0 species as entered on checklist (Clements 2024)
Buteo lagopus,Rough-Legged Hawk,Buteo lagopus,Rough-legged Hawk,L0 species as entered on checklist (Clements 2024)
Buteo regalis,Ferruginous Hawk,Buteo regalis,Ferruginous Hawk,L0 species as entered on checklist (Clements 2024)
Falco peregrinus,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,L0 species as entered on checklist (Clements 2024)
Buteo lineatus,Red-Shouldered Hawk,Buteo lineatus,Red-shouldered Hawk,L0 species as entered on checklist (Clements 2024)
Buteo plagiatus,Gray Hawk,Buteo plagiatus,Gray Hawk,L0 species as entered on checklist (Clements 2024)
Buteo platypterus,Broad-Winged Hawk,Buteo platypterus,Broad-winged Hawk,L0 species as entered on checklist (Clements 2024)
Buteo swainsoni,Swainson's Hawk,Buteo swainsoni,Swainson's Hawk,L0 species as entered on checklist (Clements 2024)
Buteogallus anthracinus,Common Black Hawk,Buteogallus anthracinus,Common Black Hawk,L0 species as entered on checklist (Clements 2024)
Megaceryle alcyon,Belted Kingfisher,Megaceryle alcyon,Belted Kingfisher,L0 species as entered on checklist (Clements 2024)
Butorides virescens,Green Heron,Butorides virescens,Green Heron,L0 species as entered on checklist (Clements 2024)
Cochlearius cochlearius,Boat-Billed Heron,Cochlearius cochlearius,Boat-billed Heron,L0 species as entered on checklist (Clements 2024)
