scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data,ca.conus.rejection
Aegolius acadicus,Northern Saw-whet Owl,Northern Saw-whet Owl,Aegolius acadicus,NA,STRIGIFORMES,Strigidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,3720,Northern Saw-whet Owl,Strigiformes,Strigidae,Aegolius acadicus,yes,Northern Saw-whet Owl,Aegolius acadicus,NA,Strigidae (Owls),Strigiformes,yes,Aegolius acadicus,Northern Saw-whet Owl,CONUS & Canada,Strigiformes,Strigidae,3/16/2022,yes,yes,NA
Aegolius funereus,Boreal Owl,Boreal Owl,Aegolius funereus,NA,STRIGIFORMES,Strigidae,ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,3710,Boreal Owl,Strigiformes,Strigidae,Aegolius funereus,yes,Boreal Owl,Aegolius funereus,NA,Strigidae (Owls),Strigiformes,yes,Aegolius funereus,Boreal Owl,CONUS & Canada,Strigiformes,Strigidae,11/23/2021,yes,yes,NA
Aeronautes saxatalis,White-throated Swift,White-throated Swift,Aeronautes saxatalis,NA,APODIFORMES,Apodidae,CA; CAM; hol; NAM; nea; US48,yes,4250,White-throated Swift,Apodiformes,Apodidae,Aeronautes saxatalis,yes,White-throated Swift,Aeronautes saxatalis,NA,Apodidae (Swifts),Apodiformes,yes,Aeronautes saxatalis,White-throated Swift,CONUS & Canada,Apodiformes,Apodidae,12/14/2022,yes,yes,NA
Aerospiza/Tachyspiza/Accipiter/Astur sp.; Accipiter sp.,Accipitrine hawk sp. (former Accipiter sp.); unid. Accipiter hawk,NA,NA,NA,NA,NA,NA,no,3333,unid. Accipiter hawk,Accipitriformes,Accipitridae,Accipiter sp.,yes,Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Accipiter sp.,unid. Accipiter hawk,CONUS & Canada,Accipitriformes,Accipitridae,N/A; unidentified species,yes,yes,NA
Agelaius phoeniceus,Red-winged Blackbird,Red-winged Blackbird,Agelaius phoeniceus,NA,PASSERIFORMES,Icteridae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; USak,yes,4980,Red-winged Blackbird,Passeriformes,Icteridae,Agelaius phoeniceus,yes,Red-winged Blackbird,Agelaius phoeniceus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Agelaius phoeniceus,Red-winged Blackbird,CONUS & Canada,Passeriformes,Icteridae,11/11/2022,yes,yes,NA
Agelaius tricolor,Tricolored Blackbird,Tricolored Blackbird,Agelaius tricolor,Endangered,PASSERIFORMES,Icteridae,CAM; hol; NAM; nea; US48,yes,5000,Tricolored Blackbird,Passeriformes,Icteridae,Agelaius tricolor,yes,Tricolored Blackbird,Agelaius tricolor,marshes and farmlands of southwestern Oregon to northwestern Baja California,Icteridae (Troupials and Allies),Passeriformes,yes,Agelaius tricolor,Tricolored Blackbird,CONUS & Canada,Passeriformes,Icteridae,3/14/2023,yes,yes,NA
Aimophila ruficeps,Rufous-crowned Sparrow,Rufous-crowned Sparrow,Aimophila ruficeps,NA,PASSERIFORMES,Passerellidae,CAM; hol; NAM; nea; US48,yes,5800,Rufous-crowned Sparrow,Passeriformes,Passerellidae,Aimophila ruficeps,yes,Rufous-crowned Sparrow,Aimophila ruficeps,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Aimophila ruficeps,Rufous-crowned Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/13/2023,yes,yes,NA
Aix sponsa,Wood Duck,Wood Duck,Aix sponsa,NA,ANSERIFORMES,Anatidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; US48; USak,yes,1440,Wood Duck,Anseriformes,Anatidae,Aix sponsa,yes,Wood Duck,Aix sponsa,"inland waters of Canada to northern Mexico, the Bahamas, and Cuba","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Aix sponsa,Wood Duck,CONUS & Canada,Anseriformes,Anatidae,4/2/2019-09/13/2022,yes,yes,NA
Alauda arvensis,Eurasian Skylark,Eurasian Skylark,Alauda arvensis,NA,PASSERIFORMES,Alaudidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,4730,Eurasian Skylark,Passeriformes,Alaudidae,Alauda arvensis,yes,Eurasian Skylark,Alauda arvensis,NA,Alaudidae (Larks),Passeriformes,yes,Alauda arvensis,Eurasian Skylark,CONUS & Canada,Passeriformes,Alaudidae,2/20/2023,yes,yes,NA
Alca torda,Razorbill,Razorbill,Alca torda,NA,CHARADRIIFORMES,Alcidae,AFR; ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; XX,yes,320,Razorbill,Charadriiformes,Alcidae,Alca torda,yes,Razorbill,Alca torda,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Alca torda,Razorbill,CONUS & Canada,Charadriiformes,Alcidae,10/6/2023-10/9/2023,yes,yes,NA
