scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data,ca.conus.rejection
Callipepla californica,California Quail,California Quail,Callipepla californica,NA,GALLIFORMES,Odontophoridae,AUS; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi,yes,2940,California Quail,Galliformes,Odontophoridae,Callipepla californica,yes,California Quail,Callipepla californica,NA,Odontophoridae (New World Quail),Galliformes,yes,Callipepla californica,California Quail,CONUS & Canada,Galliformes,Odontophoridae,12/2/2022,yes,yes,NA
Callipepla gambelii,Gambel's Quail,Gambel's Quail,Callipepla gambelii,NA,GALLIFORMES,Odontophoridae,CAM; hol; NAM; nea; OCE; PAC; US48; UShi,yes,2950,Gambel's Quail,Galliformes,Odontophoridae,Callipepla gambelii,yes,Gambel's Quail,Callipepla gambelii,NA,Odontophoridae (New World Quail),Galliformes,yes,Callipepla gambelii,Gambel's Quail,CONUS & Canada,Galliformes,Odontophoridae,12/5/2022,yes,yes,NA
Callipepla squamata,Scaled Quail,Scaled Quail,Callipepla squamata,NA,GALLIFORMES,Odontophoridae,CAM; hol; NAM; nea; US48,yes,2930,Scaled Quail,Galliformes,Odontophoridae,Callipepla squamata,yes,Scaled Quail,Callipepla squamata,NA,Odontophoridae (New World Quail),Galliformes,yes,Callipepla squamata,Scaled Quail,CONUS & Canada,Galliformes,Odontophoridae,12/6/2022,yes,yes,NA
Calonectris diomedea,Scopoli's Shearwater; Cory's Shearwater,Scopoli's Shearwater,Calonectris diomedea,NA,PROCELLARIIFORMES,Procellariidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; oat; OCE; pal; SAM; US48; XX,yes,880,Cory's Shearwater,Procellariiformes,Procellariidae,Calonectris diomedea,yes,Scopoli's Shearwater,Calonectris diomedea,"breeds Mediterranean islands, outside breeding season moving to winter mainly in upwelling systems of tropical eastern Atlantic",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Calonectris diomedea,Cory's Shearwater,CONUS & Canada,Procellariiformes,Procellariidae,10/26/2023-10/30/2023,yes,yes,NA
Calothorax lucifer,Lucifer Hummingbird,Lucifer Hummingbird,Calothorax lucifer,NA,APODIFORMES,Trochilidae,CAM; hol; NAM; nea; US48,yes,4370,Lucifer Hummingbird,Apodiformes,Trochilidae,Calothorax lucifer,yes,Lucifer Hummingbird,Calothorax lucifer,arid mountains of southwestern USA and northern Mexico; winters to southern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Calothorax lucifer,Lucifer Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,2/13/2023,yes,yes,NA
Calypte anna,Anna's Hummingbird,Anna's Hummingbird,Calypte anna,NA,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48; USak,yes,4310,Anna's Hummingbird,Apodiformes,Trochilidae,Calypte anna,yes,Anna's Hummingbird,Calypte anna,breeds southwestern Alaska to northwestern Baja California (northwestern Mexico); winters to northern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Calypte anna,Anna's Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,11/17/2021; 11/10/2022,yes,yes,NA
Calypte costae,Costa's Hummingbird,Costa's Hummingbird,Calypte costae,NA,APODIFORMES,Trochilidae,CA; CAM; hol; NAM; nea; US48; USak,yes,4300,Costa's Hummingbird,Apodiformes,Trochilidae,Calypte costae,yes,Costa's Hummingbird,Calypte costae,arid southwestern USA to southern Baja California and northwestern Mexico,Trochilidae (Hummingbirds),Apodiformes,yes,Calypte costae,Costa's Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,9/29/2022-10/4/2022,yes,yes,NA
Camptostoma imberbe,Northern Beardless-Tyrannulet,Northern Beardless-Tyrannulet,Camptostoma imberbe,NA,PASSERIFORMES,Tyrannidae,CAM; hol; NAM; nea; US48,yes,4720,Northern Beardless-Tyrannulet,Passeriformes,Tyrannidae,Camptostoma imberbe,yes,Northern Beardless-Tyrannulet,Camptostoma imberbe,"southeastern Arizona to southern Texas, western Mexico, and northern Costa Rica; Cozumel",Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Camptostoma imberbe,Northern Beardless-Tyrannulet,CONUS & Canada,Passeriformes,Tyrannidae,11/10/2023-11/13/2023,yes,yes,NA
Campylorhynchus brunneicapillus,Cactus Wren,Cactus Wren,Campylorhynchus brunneicapillus,NA,PASSERIFORMES,Troglodytidae,CAM; hol; NAM; nea; US48,yes,7130,Cactus Wren,Passeriformes,Troglodytidae,Campylorhynchus brunneicapillus,yes,Cactus Wren,Campylorhynchus brunneicapillus,NA,Troglodytidae (Wrens),Passeriformes,yes,Campylorhynchus brunneicapillus,Cactus Wren,CONUS & Canada,Passeriformes,Troglodytidae,3/26/2019; checked 8/26/2022,yes,yes,NA
Canachites canadensis,Spruce Grouse,Spruce Grouse,Canachites canadensis,NA,GALLIFORMES,Phasianidae,CA; hol; NAM; nea; US48; USak,yes,2980,Spruce Grouse,Galliformes,Phasianidae,Canachites canadensis,yes,Spruce Grouse,Canachites canadensis,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Canachites canadensis,Spruce Grouse,CONUS & Canada,Galliformes,Phasianidae,12/7/2022,yes,yes,NA
Caracara plancus,Crested Caracara,Crested Caracara,Caracara plancus,NA,FALCONIFORMES,Falconidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,3620,Crested Caracara,Falconiformes,Falconidae,Caracara plancus,yes,Crested Caracara,Caracara plancus,NA,Falconidae (Falcons and Caracaras),Falconiformes,yes,Caracara plancus,Crested Caracara,CONUS & Canada,Falconiformes,Falconidae,3/28/2019; checked 7/8/2022,yes,yes,NA
Cardellina canadensis,Canada Warbler,Canada Warbler,Cardellina canadensis,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,6860,Canada Warbler,Passeriformes,Parulidae,Cardellina canadensis,yes,Canada Warbler,Cardellina canadensis,eastern North America; winters Panama and mountains of northwestern South America,Parulidae (New World Warblers),Passeriformes,yes,Cardellina canadensis,Canada Warbler,CONUS & Canada,Passeriformes,Parulidae,3/24/2023,yes,yes,NA
Cardellina pusilla,Wilson's Warbler,Wilson's Warbler,Cardellina pusilla,NA,PASSERIFORMES,Parulidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; US48; USak,yes,6850,Wilson's Warbler,Passeriformes,Parulidae,Cardellina pusilla,yes,Wilson's Warbler,Cardellina pusilla,NA,Parulidae (New World Warblers),Passeriformes,yes,Cardellina pusilla,Wilson's Warbler,CONUS & Canada,Passeriformes,Parulidae,4/2/2019; 9/13/2022,yes,yes,NA
Cardellina rubrifrons,Red-faced Warbler,Red-faced Warbler,Cardellina rubrifrons,NA,PASSERIFORMES,Parulidae,CAM; hol; NAM; nea; US48,yes,6900,Red-faced Warbler,Passeriformes,Parulidae,Cardellina rubrifrons,yes,Red-faced Warbler,Cardellina rubrifrons,mountains of Arizona and New Mexico to northwestern Mexico; winters to Honduras,Parulidae (New World Warblers),Passeriformes,yes,Cardellina rubrifrons,Red-faced Warbler,CONUS & Canada,Passeriformes,Parulidae,3/24/2023,yes,yes,NA
Cardinalis cardinalis,Northern Cardinal,Northern Cardinal,Cardinalis cardinalis,NA,PASSERIFORMES,Cardinalidae,CA; CAM; CAR; hol; NAM; nea; OCE; PAC; US48; UShi,yes,5930,Northern Cardinal,Passeriformes,Cardinalidae,Cardinalis cardinalis,yes,Northern Cardinal,Cardinalis cardinalis,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Cardinalis cardinalis,Northern Cardinal,CONUS & Canada,Passeriformes,Cardinalidae,11/16/2022-11/17/2022,yes,yes,NA
Cardinalis cardinalis/sinuatus,Northern Cardinal/Pyrrhuloxia; unid. Northern Cardinal/Pyrrhuloxia,NA,NA,NA,NA,NA,NA,no,5935,unid. Northern Cardinal / Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis cardinalis / sinuatus,yes,Northern Cardinal/Pyrrhuloxia,Cardinalis cardinalis/sinuatus,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Cardinalis cardinalis / sinuatus,unid. Northern Cardinal / Pyrrhuloxia,CONUS & Canada,Passeriformes,Cardinalidae,N/A; unidentified species,yes,yes,NA
Cardinalis sinuatus,Pyrrhuloxia,Pyrrhuloxia,Cardinalis sinuatus,NA,PASSERIFORMES,Cardinalidae,CA; CAM; hol; NAM; nea; US48,yes,5940,Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis sinuatus,yes,Pyrrhuloxia,Cardinalis sinuatus,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Cardinalis sinuatus,Pyrrhuloxia,CONUS & Canada,Passeriformes,Cardinalidae,3/24/2023,yes,yes,NA
Carduelis carduelis,European Goldfinch,European Goldfinch,Carduelis carduelis,Uncertain origin,PASSERIFORMES,Fringillidae,AFR; ASI; AUS; CAR; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48,yes,5261,European Goldfinch,Passeriformes,Fringillidae,Carduelis carduelis,yes,European Goldfinch,Carduelis carduelis,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Carduelis carduelis,European Goldfinch,CONUS & Canada,Passeriformes,Fringillidae,11/3/23,yes,yes,NA
Cathartes aura,Turkey Vulture,Turkey Vulture,Cathartes aura,NA,CATHARTIFORMES,Cathartidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48; USak,yes,3250,Turkey Vulture,Cathartiformes,Cathartidae,Cathartes aura,yes,Turkey Vulture,Cathartes aura,NA,Cathartidae (New World Vultures),Cathartiformes,yes,Cathartes aura,Turkey Vulture,CONUS & Canada,Cathartiformes,Cathartidae,9/29/2022,yes,yes,NA
Cathartes sp.; Coragyps/Cathartes atratus/aura,Cathartes sp.; unid. Black Vulture/Turkey Vulture,NA,NA,NA,NA,NA,NA,no,3255,unid. Black Vulture / Turkey Vulture,Cathartiformes,Cathartidae,Coragyps / Cathartes atratus / aura,yes,Cathartes sp.,Cathartes sp.,NA,Cathartidae (New World Vultures),Cathartiformes,yes,Coragyps / Cathartes atratus / aura,unid. Black Vulture / Turkey Vulture,CONUS & Canada,Cathartiformes,Cathartidae,N/A; unidentified species,yes,yes,NA
Catharus bicknelli,Bicknell's Thrush,Bicknell's Thrush,Catharus bicknelli,Vulnerable,PASSERIFORMES,Turdidae,CA; CAR; hol; NAM; nea; US48,yes,7571,Bicknell's Thrush,Passeriformes,Turdidae,Catharus bicknelli,yes,Bicknell's Thrush,Catharus bicknelli,"breeds in eastern Canada (eastern Quebec, Nova Scotia, and New Brunswick) and adjacent USA (eastern New York, Vermont, New Hampshire, and Maine); primarily winters in Hispaniola (Dominican Republic) and locally eastern Cuba, eastern Jamaica, and eastern Puerto Rico",Turdidae (Thrushes and Allies),Passeriformes,yes,Catharus bicknelli,Bicknell's Thrush,CONUS & Canada,Passeriformes,Turdidae,2/28/2023,yes,yes,NA
Catharus fuscescens,Veery,Veery,Catharus fuscescens,NA,PASSERIFORMES,Turdidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,7560,Veery,Passeriformes,Turdidae,Catharus fuscescens,yes,Veery,Catharus fuscescens,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Catharus fuscescens,Veery,CONUS & Canada,Passeriformes,Turdidae,2/28/2023,yes,yes,NA
Catharus guttatus,Hermit Thrush,Hermit Thrush,Catharus guttatus,NA,PASSERIFORMES,Turdidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,7590,Hermit Thrush,Passeriformes,Turdidae,Catharus guttatus,yes,Hermit Thrush,Catharus guttatus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Catharus guttatus,Hermit Thrush,CONUS & Canada,Passeriformes,Turdidae,10/18/22,yes,yes,NA
Catharus minimus,Gray-cheeked Thrush,Gray-cheeked Thrush,Catharus minimus,NA,PASSERIFORMES,Turdidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,7570,Gray-cheeked Thrush,Passeriformes,Turdidae,Catharus minimus,yes,Gray-cheeked Thrush,Catharus minimus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Catharus minimus,Gray-cheeked Thrush,CONUS & Canada,Passeriformes,Turdidae,2/28/2023,yes,yes,NA
Catharus ustulatus,Swainson's Thrush,Swainson's Thrush,Catharus ustulatus,NA,PASSERIFORMES,Turdidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; US48; USak,yes,7580,Swainson's Thrush,Passeriformes,Turdidae,Catharus ustulatus,yes,Swainson's Thrush,Catharus ustulatus,NA,Turdidae (Thrushes and Allies),Passeriformes,yes,Catharus ustulatus,Swainson's Thrush,CONUS & Canada,Passeriformes,Turdidae,2/28/2023,yes,yes,NA
Catherpes mexicanus,Canyon Wren,Canyon Wren,Catherpes mexicanus,NA,PASSERIFORMES,Troglodytidae,CA; CAM; hol; NAM; nea; US48,yes,7170,Canyon Wren,Passeriformes,Troglodytidae,Catherpes mexicanus,yes,Canyon Wren,Catherpes mexicanus,NA,Troglodytidae (Wrens),Passeriformes,yes,Catherpes mexicanus,Canyon Wren,CONUS & Canada,Passeriformes,Troglodytidae,2/21/2023,yes,yes,NA
Centrocercus minimus,Gunnison Sage-Grouse,Gunnison Sage-Grouse,Centrocercus minimus,Endemic Endangered,GALLIFORMES,Phasianidae,hol; NAM; nea; US48,yes,3089,Gunnison Sage-Grouse,Galliformes,Phasianidae,Centrocercus minimus,yes,Gunnison Sage-Grouse,Centrocercus minimus,Gunnison Basin of southwestern Colorado and adjacent southeastern Utah,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Centrocercus minimus,Gunnison Sage-Grouse,CONUS & Canada,Galliformes,Phasianidae,11/14/2023-11/15/2023,yes,yes,NA
Centrocercus urophasianus,Greater Sage-Grouse,Greater Sage-Grouse,Centrocercus urophasianus,Near-threatened,GALLIFORMES,Phasianidae,CA; hol; NAM; nea; US48,yes,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus urophasianus,yes,Greater Sage-Grouse,Centrocercus urophasianus,prairies and sage grassland of western Canada to southwestern USA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Centrocercus urophasianus,Greater Sage-Grouse,CONUS & Canada,Galliformes,Phasianidae,9/11/2023-9/15/2023,yes,yes,NA
Centronyx bairdii,Baird's Sparrow,Baird's Sparrow,Centronyx bairdii,NA,PASSERIFORMES,Passerellidae,CA; CAM; hol; NAM; nea; US48,yes,5450,Baird's Sparrow,Passeriformes,Passerellidae,Centronyx bairdii,yes,Baird's Sparrow,Centronyx bairdii,Great Plains of North America; winters to southwestern USA and northern Mexico,Passerellidae (New World Sparrows),Passeriformes,yes,Centronyx bairdii,Baird's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,9/22/2023,yes,yes,NA
Centronyx henslowii,Henslow's Sparrow,Henslow's Sparrow,Centronyx henslowii,NA,PASSERIFORMES,Passerellidae,CA; hol; NAM; nea; US48,yes,5470,Henslow's Sparrow,Passeriformes,Passerellidae,Centronyx henslowii,yes,Henslow's Sparrow,Centronyx henslowii,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Centronyx henslowii,Henslow's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,11/6/2022,yes,yes,NA
Cepphus columba,Pigeon Guillemot,Pigeon Guillemot,Cepphus columba,NA,CHARADRIIFORMES,Alcidae,ASI; CA; CAM; EUR; hol; NAM; nea; pal; US48; USak,yes,290,Pigeon Guillemot,Charadriiformes,Alcidae,Cepphus columba,yes,Pigeon Guillemot,Cepphus columba,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Cepphus columba,Pigeon Guillemot,CONUS & Canada,Charadriiformes,Alcidae,1/10/2023-1/11/2023,yes,yes,NA
Cepphus grylle,Black Guillemot,Black Guillemot,Cepphus grylle,NA,CHARADRIIFORMES,Alcidae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,270,Black Guillemot,Charadriiformes,Alcidae,Cepphus grylle,yes,Black Guillemot,Cepphus grylle,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Cepphus grylle,Black Guillemot,CONUS & Canada,Charadriiformes,Alcidae,1/10/2023,yes,yes,NA
Cerorhinca monocerata,Rhinoceros Auklet,Rhinoceros Auklet,Cerorhinca monocerata,NA,CHARADRIIFORMES,Alcidae,ASI; CA; CAM; hol; NAM; nea; opa; pal; US48; USak; UShi; XX,yes,150,Rhinoceros Auklet,Charadriiformes,Alcidae,Cerorhinca monocerata,yes,Rhinoceros Auklet,Cerorhinca monocerata,eastern Asia and western North America; winters to Baja California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Cerorhinca monocerata,Rhinoceros Auklet,CONUS & Canada,Charadriiformes,Alcidae,1/12/2023-1/13/2023,yes,yes,NA
Certhia americana,Brown Creeper,Brown Creeper,Certhia americana,NA,PASSERIFORMES,Certhiidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,7260,Brown Creeper,Passeriformes,Certhiidae,Certhia americana,yes,Brown Creeper,Certhia americana,NA,Certhiidae (Treecreepers),Passeriformes,yes,Certhia americana,Brown Creeper,CONUS & Canada,Passeriformes,Certhiidae,3/26/2019; checked 8/22/2022,yes,yes,NA
Chaetura pelagica,Chimney Swift,Chimney Swift,Chaetura pelagica,Vulnerable,APODIFORMES,Apodidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak,yes,4230,Chimney Swift,Apodiformes,Apodidae,Chaetura pelagica,yes,Chimney Swift,Chaetura pelagica,"breeds eastern North America; winters in coastal Peru and northern Chile, in Amazonian Peru, and probably in western Brazil",Apodidae (Swifts),Apodiformes,yes,Chaetura pelagica,Chimney Swift,CONUS & Canada,Apodiformes,Apodidae,4/3/2022,yes,yes,NA
Chaetura vauxi,Vaux's Swift,Vaux's Swift,Chaetura vauxi,NA,APODIFORMES,Apodidae,CA; CAM; hol; NAM; nan; nea; SAM; US48; USak,yes,4240,Vaux's Swift,Apodiformes,Apodidae,Chaetura vauxi,yes,Vaux's Swift,Chaetura vauxi,NA,Apodidae (Swifts),Apodiformes,yes,Chaetura vauxi,Vaux's Swift,CONUS & Canada,Apodiformes,Apodidae,4/3/2022,yes,yes,NA
Chamaea fasciata,Wrentit,Wrentit,Chamaea fasciata,NA,PASSERIFORMES,Paradoxornithidae,CAM; hol; NAM; nea; US48,yes,7420,Wrentit,Passeriformes,Sylviidae,Chamaea fasciata,yes,Wrentit,Chamaea fasciata,NA,Paradoxornithidae (Parrotbills),Passeriformes,yes,Chamaea fasciata,Wrentit,CONUS & Canada,Passeriformes,Sylviidae,10/14/22,yes,yes,NA
Charadrius hiaticula,Common Ringed Plover,Common Ringed Plover,Charadrius hiaticula,NA,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2750,Common Ringed Plover,Charadriiformes,Charadriidae,Charadrius hiaticula,yes,Common Ringed Plover,Charadrius hiaticula,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius hiaticula,Common Ringed Plover,CONUS & Canada,Charadriiformes,Charadriidae,9/25/2023,yes,yes,NA
Charadrius melodus,Piping Plover,Piping Plover,Charadrius melodus,Near-threatened,CHARADRIIFORMES,Charadriidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,2770,Piping Plover,Charadriiformes,Charadriidae,Charadrius melodus,yes,Piping Plover,Charadrius melodus,"eastern Canada and USA; winters southeastern USA, Bahamas, and Greater Antilles",Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius melodus,Piping Plover,CONUS & Canada,Charadriiformes,Charadriidae,9/25/2023-9/29/2023,yes,yes,NA
Charadrius semipalmatus,Semipalmated Plover,Semipalmated Plover,Charadrius semipalmatus,NA,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,2740,Semipalmated Plover,Charadriiformes,Charadriidae,Charadrius semipalmatus,yes,Semipalmated Plover,Charadrius semipalmatus,breeds northern North America; winters to southern South America and Hawaiian Islands,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius semipalmatus,Semipalmated Plover,CONUS & Canada,Charadriiformes,Charadriidae,9/25/2023,yes,yes,NA
Charadrius vociferus,Killdeer,Killdeer,Charadrius vociferus,Near-threatened,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2730,Killdeer,Charadriiformes,Charadriidae,Charadrius vociferus,yes,Killdeer,Charadrius vociferus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius vociferus,Killdeer,CONUS & Canada,Charadriiformes,Charadriidae,10/4/2022-10/12/2022,yes,yes,NA
Chlidonias niger,Black Tern,Black Tern,Chlidonias niger,NA,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,770,Black Tern,Charadriiformes,Laridae,Chlidonias niger,yes,Black Tern,Chlidonias niger,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Chlidonias niger,Black Tern,CONUS & Canada,Charadriiformes,Laridae,1/23/2023,yes,yes,NA
Chloroceryle americana,Green Kingfisher,Green Kingfisher,Chloroceryle americana,NA,CORACIIFORMES,Alcedinidae,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,3910,Green Kingfisher,Coraciiformes,Alcedinidae,Chloroceryle americana,yes,Green Kingfisher,Chloroceryle americana,NA,Alcedinidae (Kingfishers),Coraciiformes,yes,Chloroceryle americana,Green Kingfisher,CONUS & Canada,Coraciiformes,Alcedinidae,2/8/2023,yes,yes,NA
Chondestes grammacus,Lark Sparrow,Lark Sparrow,Chondestes grammacus,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,5520,Lark Sparrow,Passeriformes,Passerellidae,Chondestes grammacus,yes,Lark Sparrow,Chondestes grammacus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Chondestes grammacus,Lark Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/6/2023,yes,yes,NA
Chondrohierax uncinatus,Hook-billed Kite,Hook-billed Kite,Chondrohierax uncinatus,NA,ACCIPITRIFORMES,Accipitridae,CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,3271,Hook-billed Kite,Accipitriformes,Accipitridae,Chondrohierax uncinatus,yes,Hook-billed Kite,Chondrohierax uncinatus,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Chondrohierax uncinatus,Hook-billed Kite,CONUS & Canada,Accipitriformes,Accipitridae,2/13/2023,yes,yes,NA
Chordeiles acutipennis,Lesser Nighthawk,Lesser Nighthawk,Chordeiles acutipennis,NA,CAPRIMULGIFORMES,Caprimulgidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48; USak,yes,4210,Lesser Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,yes,Lesser Nighthawk,Chordeiles acutipennis,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles acutipennis,Lesser Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,4/23/2019; checked 9/22/2022,yes,yes,NA
Chordeiles gundlachii,Antillean Nighthawk,Antillean Nighthawk,Chordeiles gundlachii,NA,CAPRIMULGIFORMES,Caprimulgidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,4201,Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles gundlachii,yes,Antillean Nighthawk,Chordeiles gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles gundlachii,Antillean Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,11/15/2023,yes,yes,NA
Chordeiles minor,Common Nighthawk,Common Nighthawk,Chordeiles minor,NA,CAPRIMULGIFORMES,Caprimulgidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,4200,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor,yes,Common Nighthawk,Chordeiles minor,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles minor,Common Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,12/14/2022,yes,yes,NA
Chordeiles minor/gundlachii,Common/Antillean Nighthawk; unid. Common Nighthawk/Antillean Nighthawk,NA,NA,NA,NA,NA,NA,no,4206,unid. Common Nighthawk / Antillean Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles minor / gundlachii,yes,Common/Antillean Nighthawk,Chordeiles minor/gundlachii,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles minor / gundlachii,unid. Common Nighthawk / Antillean Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,N/A; unidentified species,yes,yes,NA
Chordeiles sp.; Chordeiles acutipennis/minor,nighthawk sp.; unid. Lesser Nighthawk/Common Nighthawk,NA,NA,NA,NA,NA,NA,no,4205,unid. Lesser Nighthawk / Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis / minor,yes,nighthawk sp.,Chordeiles sp.,NA,Caprimulgidae (Nightjars and Allies),Caprimulgiformes,yes,Chordeiles acutipennis / minor,unid. Lesser Nighthawk / Common Nighthawk,CONUS & Canada,Caprimulgiformes,Caprimulgidae,N/A; unidentified species,yes,yes,NA
Chroicocephalus philadelphia,Bonaparte's Gull,Bonaparte's Gull,Chroicocephalus philadelphia,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,600,Bonaparte's Gull,Charadriiformes,Laridae,Chroicocephalus philadelphia,yes,Bonaparte's Gull,Chroicocephalus philadelphia,northern North America; winters to Mexico and Greater Antilles,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Chroicocephalus philadelphia,Bonaparte's Gull,CONUS & Canada,Charadriiformes,Laridae,1/17/2023,yes,yes,NA
