scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data
Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher); unid. Alder Flycatcher/Willow Flycatcher,NA,NA,NA,NA,NA,NA,no,4665,unid. Alder Flycatcher / Willow Flycatcher,Passeriformes,Tyrannidae,Empidonax alnorum / traillii,yes,Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Empidonax alnorum / traillii,unid. Alder Flycatcher / Willow Flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,N/A; unidentified species,yes,yes
Empidonax difficilis difficilis,(Pacific-slope Flycatcher) Western Flycatcher,NA,NA,NA,NA,NA,NA,no,4641,(Pacific-slope Flycatcher) Western Flycatcher,Passeriformes,Tyrannidae,Empidonax difficilis difficilis,yes,NA,Empidonax difficilis difficilis,western North America (southeastern Alaska to northern Baja California); winters to southern Mexico,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Empidonax difficilis occidentalis,(Cordilleran Flycatcher) Western Flycatcher,NA,NA,NA,NA,NA,NA,no,4640,(Cordilleran Flycatcher) Western Flycatcher,Passeriformes,Tyrannidae,Empidonax difficilis occidentalis,yes,NA,Empidonax difficilis occidentalis,highlands of Mexico,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Empidonax hammondii/oberholseri,Hammond's/Dusky Flycatcher; unid. Hammond's Flycatcher/Dusky Flycatcher,NA,NA,NA,NA,NA,NA,no,4689,unid. Hammond's Flycatcher / Dusky Flycatcher,Passeriformes,Tyrannidae,Empidonax hammondii / oberholseri,yes,Hammond's/Dusky Flycatcher,Empidonax hammondii/oberholseri,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Empidonax hammondii / oberholseri,unid. Hammond's Flycatcher / Dusky Flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,N/A; unidentified species,yes,yes
Empidonax sp.,Empidonax sp.; unid. Empidonax flycatcher,NA,NA,NA,NA,NA,NA,no,4679,unid. Empidonax flycatcher,Passeriformes,Tyrannidae,Empidonax sp.,yes,Empidonax sp.,Empidonax sp.,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Empidonax sp.,unid. Empidonax flycatcher,CONUS & Canada,Passeriformes,Tyrannidae,N/A; unidentified species,yes,yes
Fringilla coelebs,Common Chaffinch,Common Chaffinch,Fringilla coelebs,Uncertain origin,PASSERIFORMES,Fringillidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; pal; US48,yes,NA,NA,NA,NA,NA,no,Common Chaffinch,Fringilla coelebs,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Gavia sp.,loon sp.; unid. loon,NA,NA,NA,NA,NA,NA,no,77,unid. loon,Gaviiformes,Gaviidae,Gavia sp.,yes,loon sp.,Gavia sp.,NA,Gaviidae (Loons),Gaviiformes,yes,Gavia sp.,unid. loon,CONUS & Canada,Gaviiformes,Gaviidae,N/A; unidentified species,yes,yes
Geranoaetus polyosoma,Variable Hawk,Variable Hawk,Geranoaetus polyosoma,Uncertain origin,ACCIPITRIFORMES,Accipitridae,hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Variable Hawk,Geranoaetus polyosoma,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Gracula religiosa,Common Hill Myna,Common Hill Myna,Gracula religiosa,Introduced species,PASSERIFORMES,Sturnidae,ASI; AUS; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; US48,yes,NA,NA,NA,NA,NA,no,Common Hill Myna,Gracula religiosa,NA,Sturnidae (Starlings),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Haemorhous sp.; Carpodacus purpureus/cassinii/mexicanus,Haemorhous sp.; unid. Purple Finch/Cassin's Finch/House Finch,NA,NA,NA,NA,NA,NA,no,5195,unid. Purple Finch / Cassin's Finch / House Finch,Passeriformes,Fringillidae,Carpodacus purpureus / cassinii / mexicanus,yes,Haemorhous sp.,Haemorhous sp.,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Carpodacus purpureus / cassinii / mexicanus,unid. Purple Finch / Cassin's Finch / House Finch,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes,yes
Icterus bullockii x galbula,Bullock's x Baltimore Oriole (hybrid); hybrid Bullock's Oriole x Baltimore Oriole,NA,NA,NA,NA,NA,NA,no,5078,hybrid Bullock's Oriole x Baltimore Oriole,Passeriformes,Icteridae,Icterus bullockii x galbula,yes,Bullock's x Baltimore Oriole (hybrid),Icterus bullockii x galbula,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Icterus bullockii x galbula,hybrid Bullock's Oriole x Baltimore Oriole,CONUS & Canada,Passeriformes,Icteridae,N/A; hybrid species,yes,yes
Icterus bullockii/galbula,Bullock's/Baltimore Oriole; unid. Bullock's Oriole/Baltimore Oriole,NA,NA,NA,NA,NA,NA,no,5077,unid. Bullock's Oriole / Baltimore Oriole,Passeriformes,Icteridae,Icterus bullockii / galbula,yes,Bullock's/Baltimore Oriole,Icterus bullockii/galbula,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Icterus bullockii / galbula,unid. Bullock's Oriole / Baltimore Oriole,CONUS & Canada,Passeriformes,Icteridae,N/A; unidentified species,yes,yes
Larinae sp.; Gull sp.,gull sp.; unid. gull,NA,NA,NA,NA,NA,NA,no,534,unid. gull,Charadriiformes,Laridae,Gull sp.,yes,gull sp.,Larinae sp.,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Gull sp.,unid. gull,CONUS & Canada,Charadriiformes,Laridae,N/A; unidentified species,yes,yes
Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid); hybrid Western Gull x Glaucous-winged Gull,NA,NA,NA,NA,NA,NA,no,495,hybrid Western Gull x Glaucous-winged Gull,Charadriiformes,Laridae,Larus occidentalis x glaucescens,yes,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus occidentalis x glaucescens,hybrid Western Gull x Glaucous-winged Gull,CONUS & Canada,Charadriiformes,Laridae,N/A; hybrid species,yes,yes
Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher; unid. Short-billed/Long-billed Dowitcher,NA,NA,NA,NA,NA,NA,no,2327,unid. Short-billed / Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus griseus / scolopaceus,yes,Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limnodromus griseus / scolopaceus,unid. Short-billed / Long-billed Dowitcher,CONUS & Canada,Charadriiformes,Scolopacidae,N/A; unidentified species,yes,yes
Lonchura atricapilla,Chestnut Munia,Chestnut Munia,Lonchura atricapilla,Introduced species,PASSERIFORMES,Estrildidae,ASI; AUS; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Chestnut Munia,Lonchura atricapilla,NA,Estrildidae (Waxbills and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Lophura nycthemera,Silver Pheasant,Silver Pheasant,Lophura nycthemera,Introduced species,GALLIFORMES,Phasianidae,ASI; CA; hol; NAM; nea; SAM,yes,NA,NA,NA,NA,NA,no,Silver Pheasant,Lophura nycthemera,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Loxia curvirostra/sinesciuris; Loxia sinesciuris/curvirostra,Red/Cassia Crossbill; Unid. Cassia Crossbill/Red Crossbill; unid. Cassia Crossbill/Red Crossbill,NA,NA,NA,NA,NA,NA,no,5212,unid. Cassia Crossbill / Red Crossbill,Passeriformes,Fringillidae,Loxia sinesciuris / curvirostra,yes,Red/Cassia Crossbill,Loxia curvirostra/sinesciuris,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Loxia sinesciuris / curvirostra,Unid. Cassia Crossbill / Red Crossbill,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes,yes
Machetornis rixosa,Cattle Tyrant,Cattle Tyrant,Machetornis rixosa,Uncertain origin,PASSERIFORMES,Tyrannidae,CAM; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Cattle Tyrant,Machetornis rixosa,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Melanitta sp.,scoter sp.; unid. scoter,NA,NA,NA,NA,NA,NA,no,1657,unid. scoter,Anseriformes,Anatidae,Melanitta sp.,yes,scoter sp.,Melanitta sp.,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Melanitta sp.,unid. scoter,CONUS & Canada,Anseriformes,Anatidae,N/A; unidentified species,yes,yes
Melopyrrha violacea,Greater Antillean Bullfinch,Greater Antillean Bullfinch,Melopyrrha violacea,Extirpated,PASSERIFORMES,Thraupidae,CAR; hol; NAM; nan; nea; US48,yes,NA,NA,NA,NA,NA,no,Greater Antillean Bullfinch,Melopyrrha violacea,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Milvus migrans,Black Kite,Black Kite,Milvus migrans,Uncertain origin,ACCIPITRIFORMES,Accipitridae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; USak; UShi,yes,NA,NA,NA,NA,NA,no,Black Kite,Milvus migrans,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Molothrus aeneus/ater,Bronzed/Brown-headed Cowbird; unid. Bronzed Cowbird/Brown-headed Cowbird,NA,NA,NA,NA,NA,NA,no,4955,unid. Bronzed Cowbird / Brown-headed Cowbird,Passeriformes,Icteridae,Molothrus aeneus / ater,yes,Bronzed/Brown-headed Cowbird,Molothrus aeneus/ater,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Molothrus aeneus / ater,unid. Bronzed Cowbird / Brown-headed Cowbird,CONUS & Canada,Passeriformes,Icteridae,N/A; unidentified species,yes,yes
Nannopterum auritum/brasilianum; Nannopterum brasilianum/auritum,Double-crested/Neotropic Cormorant; unid. Neotropic/Double-crested Cormorant,NA,NA,NA,NA,NA,NA,no,1205,unid. Neotropic / Double-crested Cormorant,Suliformes,Phalacrocoracidae,Nannopterum brasilianum / auritum,yes,Double-crested/Neotropic Cormorant,Nannopterum auritum/brasilianum,NA,Phalacrocoracidae (Cormorants and Shags),Suliformes,yes,Nannopterum brasilianum / auritum,unid. Neotropic / Double-crested Cormorant,CONUS & Canada,Suliformes,Phalacrocoracidae,N/A; unidentified species,yes,yes
Numenius borealis,Eskimo Curlew,Eskimo Curlew,Numenius borealis,Critically endangered (possibly extinct),CHARADRIIFORMES,Scolopacidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; USak,yes,NA,NA,NA,NA,NA,no,Eskimo Curlew,Numenius borealis,Canadian Arctic; winters to southern South America (probably extinct),Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Nycticorax nycticorax/Nyctanassa violacea; Nycticorax/Nyctanassa nycticorax/violacea,Yellow-crowned/Black-crowned Night Heron; unid Black-crowned/Yellow-crowned Night-Heron,NA,NA,NA,NA,NA,NA,no,2035,unid Black-crowned / Yellow-crowned Night-Heron,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa nycticorax / violacea,yes,Yellow-crowned/Black-crowned Night Heron,Nycticorax nycticorax/Nyctanassa violacea,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Nycticorax / Nyctanassa nycticorax / violacea,unid Black-crowned / Yellow-crowned Night-Heron,CONUS & Canada,Pelecaniformes,Ardeidae,N/A; unidentified species,yes,yes
Pagophila eburnea,Ivory Gull,Ivory Gull,Pagophila eburnea,Near-threatened,CHARADRIIFORMES,Laridae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak; XX,yes,390,Ivory Gull,Charadriiformes,Laridae,Pagophila eburnea,yes,Ivory Gull,Pagophila eburnea,Arctic circumpolar (mainly associated with ice pack),"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Paroaria capitata,Yellow-billed Cardinal,Yellow-billed Cardinal,Paroaria capitata,Introduced species,PASSERIFORMES,Thraupidae,hol; NAM; nea; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Yellow-billed Cardinal,Paroaria capitata,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Parus major,Great Tit,Great Tit,Parus major,Uncertain origin,PASSERIFORMES,Paridae,AFR; ASI; EUR; hol; MID; NAM; pal; US48,yes,NA,NA,NA,NA,NA,no,Great Tit,Parus major,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Passerina amoena x cyanea,Lazuli x Indigo Bunting (hybrid); hybrid Lazuli Bunting x Indigo Bunting,NA,NA,NA,NA,NA,NA,no,5986,hybrid Lazuli Bunting x Indigo Bunting,Passeriformes,Cardinalidae,Passerina amoena x cyanea,yes,Lazuli x Indigo Bunting (hybrid),Passerina amoena x cyanea,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Passerina amoena x cyanea,hybrid Lazuli Bunting x Indigo Bunting,CONUS & Canada,Passeriformes,Cardinalidae,N/A; hybrid species,yes,yes
Pelecanus rufescens,Pink-backed Pelican,Pink-backed Pelican,Pelecanus rufescens,Uncertain origin,PELECANIFORMES,Pelecanidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Pink-backed Pelican,Pelecanus rufescens,locally in sub-Saharan Africa and Madagascar,Pelecanidae (Pelicans),Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Petrochelidon pyrrhonota/fulva,Cliff/Cave Swallow; unid. Cave Swallow/Cliff Swallow,NA,NA,NA,NA,NA,NA,no,6122,unid. Cave Swallow / Cliff Swallow,Passeriformes,Hirundinidae,Petrochelidon pyrrhonota / fulva,yes,Cliff/Cave Swallow,Petrochelidon pyrrhonota/fulva,NA,Hirundinidae (Swallows),Passeriformes,yes,Petrochelidon pyrrhonota / fulva,unid. Cave Swallow / Cliff Swallow,CONUS & Canada,Passeriformes,Hirundinidae,N/A; unidentified species,yes,yes
Phasianus versicolor,Green Pheasant,Green Pheasant,Phasianus versicolor,Extirpated,GALLIFORMES,Phasianidae,ASI; hol; NAM; nea; OCE; PAC; US48; UShi,yes,NA,NA,NA,NA,NA,no,Green Pheasant,Phasianus versicolor,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Phoebastria immutabilis,Laysan Albatross,Laysan Albatross,Phoebastria immutabilis,Near-threatened,PROCELLARIIFORMES,Diomedeidae,AFR; ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Laysan Albatross,Phoebastria immutabilis,breeds western Hawaiian and Revillagigedo islands; ranges North Pacific,Diomedeidae (Albatrosses),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Phoebastria nigripes,Black-footed Albatross,Black-footed Albatross,Phoebastria nigripes,Near-threatened,PROCELLARIIFORMES,Diomedeidae,ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Black-footed Albatross,Phoebastria nigripes,"western Hawaiian Islands, and Izu, Bonin, and southern Ryukyu islands (southern Japan)",Diomedeidae (Albatrosses),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Phoebetria palpebrata,Light-mantled Albatross,Light-mantled Albatross,Phoebetria palpebrata,Near-threatened,PROCELLARIIFORMES,Diomedeidae,AFR; ASI; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Light-mantled Albatross,Phoebetria palpebrata,circumpolar subantarctic islands; ranges north to 35°S,Diomedeidae (Albatrosses),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Picidae sp.; Woodpecker sp.,woodpecker sp.; unid. woodpecker,NA,NA,NA,NA,NA,NA,no,3920,unid. woodpecker,Piciformes,Picidae,Woodpecker sp.,yes,woodpecker sp.,Picidae sp.,NA,Picidae (Woodpeckers),Piciformes,yes,Woodpecker sp.,unid. woodpecker,CONUS & Canada,Piciformes,Picidae,NA,yes,yes
Pipilo maculatus/erythrophthalmus,Spotted/Eastern Towhee (Rufous-sided Towhee); unid. Spotted Towhee/Eastern Towhee,NA,NA,NA,NA,NA,NA,no,5871,unid. Spotted Towhee / Eastern Towhee,Passeriformes,Passerellidae,Pipilo maculatus / erythrophthalmus,yes,Spotted/Eastern Towhee (Rufous-sided Towhee),Pipilo maculatus/erythrophthalmus,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Pipilo maculatus / erythrophthalmus,unid. Spotted Towhee / Eastern Towhee,CONUS & Canada,Passeriformes,Passerellidae,N/A; unidentified species,yes,yes
Plegadis falcinellus/chihi,Glossy/White-faced Ibis; unid. Glossy Ibis/White-faced Ibis,NA,NA,NA,NA,NA,NA,no,1861,unid. Glossy Ibis / White-faced Ibis,Pelecaniformes,Threskiornithidae,Plegadis falcinellus / chihi,yes,Glossy/White-faced Ibis,Plegadis falcinellus/chihi,NA,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,yes,Plegadis falcinellus / chihi,unid. Glossy Ibis / White-faced Ibis,CONUS & Canada,Pelecaniformes,Threskiornithidae,N/A; unidentified species,yes,yes
Poecile atricapillus/gambeli,Black-capped/Mountain Chickadee; unid. Black-capped Chickadee/Mountain Chickadee,NA,NA,NA,NA,NA,NA,no,7353,unid. Black-capped Chickadee / Mountain Chickadee,Passeriformes,Paridae,Poecile atricapillus / gambeli,yes,Black-capped/Mountain Chickadee,Poecile atricapillus/gambeli,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Poecile atricapillus / gambeli,unid. Black-capped Chickadee / Mountain Chickadee,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Poecile carolinensis/atricapillus,Carolina/Black-capped Chickadee; unid. Carolina Chickadee/Black-capped Chickadee,NA,NA,NA,NA,NA,NA,no,7352,unid. Carolina Chickadee / Black-capped Chickadee,Passeriformes,Paridae,Poecile carolinensis / atricapillus,yes,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Poecile carolinensis / atricapillus,unid. Carolina Chickadee / Black-capped Chickadee,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Poecile sp.,chickadee sp.; unid. western chickadee species,NA,NA,NA,NA,NA,NA,no,7351,unid. western chickadee species,Passeriformes,Paridae,Poecile sp.,yes,chickadee sp.,Poecile sp.,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Poecile sp.,unid. western chickadee species,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Psittacara erythrogenys,Red-masked Parakeet,Red-masked Parakeet,Psittacara erythrogenys,Introduced species Near-threatened,PSITTACIFORMES,Psittacidae,CAR; hol; NAM; nea; pal; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-masked Parakeet,Psittacara erythrogenys,arid littoral of western Ecuador and northwestern Peru,Psittacidae (New World and African Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Psittacara mitratus,Mitred Parakeet,Mitred Parakeet,Psittacara mitratus,Introduced species,PSITTACIFORMES,Psittacidae,hol; NAM; nea; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Mitred Parakeet,Psittacara mitratus,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Pterodroma hasitata,Black-capped Petrel,Black-capped Petrel,Pterodroma hasitata,Endangered,PROCELLARIIFORMES,Procellariidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Black-capped Petrel,Pterodroma hasitata,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Pycnonotus cafer,Red-vented Bulbul,Red-vented Bulbul,Pycnonotus cafer,Introduced species,PASSERIFORMES,Pycnonotidae,ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-vented Bulbul,Pycnonotus cafer,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Pycnonotus jocosus,Red-whiskered Bulbul,Red-whiskered Bulbul,Pycnonotus jocosus,Introduced species,PASSERIFORMES,Pycnonotidae,AFR; ASI; AUS; hol; MID; NAM; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-whiskered Bulbul,Pycnonotus jocosus,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle; unid. Boat-tailed Grackle/Great-tailed Grackle,NA,NA,NA,NA,NA,NA,no,5135,unid. Boat-tailed Grackle / Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus major / mexicanus,yes,Boat-tailed/Great-tailed Grackle,Quiscalus major/mexicanus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Quiscalus major / mexicanus,unid. Boat-tailed Grackle / Great-tailed Grackle,CONUS & Canada,Passeriformes,Icteridae,N/A; unidentified species,yes,yes
Rallus elegans/crepitans; Rallus crepitans/elegans,King/Clapper Rail; unid. Clapper/King Rail,NA,NA,NA,NA,NA,NA,no,2090,unid. Clapper / King Rail,Gruiformes,Rallidae,Rallus crepitans / elegans,yes,King/Clapper Rail,Rallus elegans/crepitans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus crepitans / elegans,unid. Clapper / King Rail,CONUS & Canada,Gruiformes,Rallidae,N/A; unidentified species,yes,yes
Selasphorus rufus/sasin,Rufous/Allen's Hummingbird; unid. Rufous Hummingbird/Allen's Hummingbird,NA,NA,NA,NA,NA,NA,no,4335,unid. Rufous Hummingbird / Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus rufus / sasin,yes,Rufous/Allen's Hummingbird,Selasphorus rufus/sasin,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus rufus / sasin,unid. Rufous Hummingbird / Allen's Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,N/A; unidentified species,yes,yes
Setophaga townsendi x occidentalis,Townsend's x Hermit Warbler (hybrid); hybrid Townsend's Warbler x Hermit Warbler,NA,NA,NA,NA,NA,NA,no,6686,hybrid Townsend's Warbler x Hermit Warbler,Passeriformes,Parulidae,Setophaga townsendi x occidentalis,yes,Townsend's x Hermit Warbler (hybrid),Setophaga townsendi x occidentalis,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi x occidentalis,hybrid Townsend's Warbler x Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,N/A; hybrid species,yes,yes
Setophaga townsendi/occidentalis,Townsend's/Hermit Warbler; unid. Townsend's Warbler/Hermit Warbler,NA,NA,NA,NA,NA,NA,no,6685,unid. Townsend's Warbler / Hermit Warbler,Passeriformes,Parulidae,Setophaga townsendi / occidentalis,yes,Townsend's/Hermit Warbler,Setophaga townsendi/occidentalis,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi / occidentalis,unid. Townsend's Warbler / Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,N/A; unidentified species,yes,yes
Sphyrapicus sp.,sapsucker sp.; unid. sapsucker,NA,NA,NA,NA,NA,NA,no,4022,unid. sapsucker,Piciformes,Picidae,Sphyrapicus sp.,yes,sapsucker sp.,Sphyrapicus sp.,NA,Picidae (Woodpeckers),Piciformes,yes,Sphyrapicus sp.,unid. sapsucker,CONUS & Canada,Piciformes,Picidae,NA; no interactions from BOW bc incorporated into species above,yes,yes
Spinus spinus,Eurasian Siskin,Eurasian Siskin,Spinus spinus,Uncertain origin,PASSERIFORMES,Fringillidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Siskin,Spinus spinus,"northern Palearctic; winters Mediterranean region, China, and Ryukyu Islands (southern Japan)","Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Spodiopsar cineraceus,White-cheeked Starling,White-cheeked Starling,Spodiopsar cineraceus,Uncertain origin,PASSERIFORMES,Sturnidae,ASI; CA; hol; NAM; nea; OCE; PAC; pal; USak,yes,NA,NA,NA,NA,NA,no,White-cheeked Starling,Spodiopsar cineraceus,northeastern Asia; winters in southern China and Philippines,Sturnidae (Starlings),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Sporophila bouvronides,Lesson's Seedeater,Lesson's Seedeater,Sporophila bouvronides,Uncertain origin,PASSERIFORMES,Thraupidae,CA; CAM; hol; NAM; nan; nea; SAM; TT,yes,NA,NA,NA,NA,NA,no,Lesson's Seedeater,Sporophila bouvronides,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Sporophila torqueola,Cinnamon-rumped Seedeater,Cinnamon-rumped Seedeater,Sporophila torqueola,Introduced species,PASSERIFORMES,Thraupidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cinnamon-rumped Seedeater,Sporophila torqueola,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Sporophila torqueola,Cinnamon-rumped Seedeater,Mexico,Passeriformes,Thraupidae,NA,yes,yes
Sterninae sp.; Tern sp.,tern sp.; unid. tern,NA,NA,NA,NA,NA,NA,no,634,unid. tern,Charadriiformes,Laridae,Tern sp.,yes,tern sp.,Sterninae sp.,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Tern sp.,unid. tern,CONUS & Canada,Charadriiformes,Laridae,N/A; unidentified species,yes,yes
Sturnella sp.,Sturnella meadowlark sp.; unid. Meadowlark,NA,NA,NA,NA,NA,NA,no,5012,unid. Meadowlark,Passeriformes,Icteridae,Sturnella sp.,yes,Sturnella meadowlark sp.,Sturnella sp.,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Sturnella sp.,unid. Meadowlark,CONUS & Canada,Passeriformes,Icteridae,NA,yes,yes
