scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data
Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay; unid. California Scrub-Jay/Woodhouse's Scrub-Jay,NA,NA,NA,NA,NA,NA,no,4810,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,Passeriformes,Corvidae,Aphelocoma californica / woodhouseii,yes,California/Woodhouse's Scrub-Jay,Aphelocoma californica/woodhouseii,NA,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,yes,Aphelocoma californica / woodhouseii,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,CONUS & Canada,Passeriformes,Corvidae,N/A; unidentified species,yes,yes
Apus nipalensis,House Swift,House Swift,Apus nipalensis,Uncertain origin,APODIFORMES,Apodidae,ASI; AUS; CA; CAR; hol; NAM; nea; OCE,yes,NA,NA,NA,NA,NA,no,House Swift,Apus nipalensis,NA,Apodidae (Swifts),Apodiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Archilochus colubris/alexandri,Ruby-throated/Black-chinned Hummingbird; unid. Ruby-throated/Black-chinned Hummingbird,NA,NA,NA,NA,NA,NA,no,4295,unid. Ruby-throated / Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus colubris / alexandri,yes,Ruby-throated/Black-chinned Hummingbird,Archilochus colubris/alexandri,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Archilochus colubris / alexandri,unid. Ruby-throated / Black-chinned Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,N/A; unidentified species,yes,yes
Ardea sp.; Ardeid sp.,Ardea sp.; unid. heron/egret,NA,NA,NA,NA,NA,NA,no,1945,unid. heron / egret,Pelecaniformes,Ardeidae,Ardeid sp.,yes,Ardea sp.,Ardea sp.,NA,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,yes,Ardeid sp.,unid. heron / egret,CONUS & Canada,Pelecaniformes,Ardeidae,N/A; unidentified species,yes,yes
Ardenna bulleri,Buller's Shearwater,Buller's Shearwater,Ardenna bulleri,Vulnerable,PROCELLARIIFORMES,Procellariidae,ASI; AUS; CA; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Buller's Shearwater,Ardenna bulleri,breeds islands off New Zealand; wide trans-Pacific dispersal,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Ardenna carneipes,Flesh-footed Shearwater,Flesh-footed Shearwater,Ardenna carneipes,Near-threatened,PROCELLARIIFORMES,Procellariidae,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; oin; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Flesh-footed Shearwater,Ardenna carneipes,southern Indian and southwestern Pacific Oceans; winters to Arabian Sea and northwestern Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Ardenna creatopus,Pink-footed Shearwater,Pink-footed Shearwater,Ardenna creatopus,Vulnerable,PROCELLARIIFORMES,Procellariidae,ASI; AUS; CA; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Pink-footed Shearwater,Ardenna creatopus,Mocha and Juan Fernández islands off Chile; ranges to North Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Ardenna grisea,Sooty Shearwater,Sooty Shearwater,Ardenna grisea,Near-threatened,PROCELLARIIFORMES,Procellariidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Sooty Shearwater,Ardenna grisea,"breeds southern South America, New Zealand, and southeastern Australia; winters to North Pacific and North Atlantic",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Artemisiospiza nevadensis/belli,Sagebrush/Bell's Sparrow (Sage Sparrow); unid. Sagebrush Sparrow/Bell's Sparrow,NA,NA,NA,NA,NA,NA,no,5740,unid. Sagebrush Sparrow / Bell's Sparrow,Passeriformes,Passerellidae,Artemisiospiza nevadensis / belli,yes,Sagebrush/Bell's Sparrow (Sage Sparrow),Artemisiospiza nevadensis/belli,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Artemisiospiza nevadensis / belli,unid. Sagebrush Sparrow / Bell's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,N/A; unidentified species,yes,yes
Aythya marila/affinis,Greater/Lesser Scaup; unid. Greater Scaup/Lesser Scaup,NA,NA,NA,NA,NA,NA,no,1489,unid. Greater Scaup / Lesser Scaup,Anseriformes,Anatidae,Aythya marila / affinis,yes,Greater/Lesser Scaup,Aythya marila/affinis,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Aythya marila / affinis,unid. Greater Scaup / Lesser Scaup,CONUS & Canada,Anseriformes,Anatidae,N/A; unidentified species,yes,yes
Baeolophus bicolor/atricristatus,Tufted/Black-crested Titmouse; unid. Tufted Titmouse/Black-crested Titmouse,NA,NA,NA,NA,NA,NA,no,7315,unid. Tufted Titmouse / Black-crested Titmouse,Passeriformes,Paridae,Baeolophus bicolor / atricristatus,yes,Tufted/Black-crested Titmouse,Baeolophus bicolor/atricristatus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Baeolophus bicolor / atricristatus,unid. Tufted Titmouse / Black-crested Titmouse,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Baeolophus inornatus/ridgwayi,Oak/Juniper Titmouse (Plain Titmouse); unid. Oak Titmouse/Juniper Titmouse,NA,NA,NA,NA,NA,NA,no,7332,unid. Oak Titmouse / Juniper Titmouse,Passeriformes,Paridae,Baeolophus inornatus / ridgwayi,yes,Oak/Juniper Titmouse (Plain Titmouse),Baeolophus inornatus/ridgwayi,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Baeolophus inornatus / ridgwayi,unid. Oak Titmouse / Juniper Titmouse,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
